Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Broekhuis Groep,1158774411.0,"Netherlands, Groningen, Groningen",https://www.linkedin.com/company/broekhuisnl,www.broekhuis.nl,"Broekhuis Groep is a family-owned business with over 60 locations across the Netherlands, specializing in comprehensive mobility solutions since 1932. The company offers a wide range of services, including car rentals, vehicle sales, maintenance, repairs, and leasing options, catering to both private and business clients. With a mission to provide reliable and personal service, Broekhuis aims to meet the diverse mobility needs of its customers, from startups requiring flexible vehicle solutions to established companies managing fleet operations. Their extensive fleet includes everything from budget-friendly cars to luxury vehicles, ensuring that clients can find the right vehicle for any occasion. Broekhuis is committed to efficiency, safety, and affordability, making it an ideal partner for businesses looking to enhance their mobility without the burden of long-term commitments.",Netherlands,1158.774411,,,
Vallei Auto Groep,356743395.0,"Netherlands, Utrecht, Veenendaal",https://www.linkedin.com/company/vallei-auto-groep,www.valleiautogroep.nl,"Vallei Auto Groep is een toonaangevende speler in de autobezitsector, met een breed scala aan diensten waaronder de verkoop van nieuwe en gebruikte voertuigen, shortlease en autoverhuur. Met meer dan 500 medewerkers, waaronder verkoopadviseurs, serviceadviseurs en gastvrouwen, streeft het bedrijf ernaar om klanten een uitstekende service te bieden en hen een 'thuisgevoel' te geven tijdens hun bezoek. De missie van Vallei Auto Groep is om mobiliteit toegankelijk te maken voor zowel particulieren als bedrijven, met een focus op klantvriendelijkheid en persoonlijke benadering. Hun klantenbestand omvat zowel consumenten als zakelijke klanten, waarbij ze zich richten op ondernemers en zzp'ers die behoefte hebben aan flexibele mobiliteitsoplossingen. Vallei Auto Groep werkt samen met diverse partners, waaronder autofabrikanten en financiële dienstverleners, om een breed scala aan voertuigen en diensten aan te bieden die voldoen aan de behoeften van hun diverse klantenkring.",Netherlands,356.743395,,,
Oostendorp Autogroep,310546409.0,"Netherlands, North Brabant, Uden",https://www.linkedin.com/company/oostendorp-autogroep,www.oostendorp-autogroep.nl,"Oostendorp Autogroep is a well-established car rental company with over 45 years of experience, specializing in providing tailored mobility solutions for business clients. The company offers a diverse fleet of vehicles, including compact city cars, spacious SUVs, and practical station wagons, ensuring that customers can find the perfect vehicle to meet their specific needs. With a commitment to customer satisfaction, Oostendorp Autogroep aims to deliver reliable service, including comprehensive insurance options, 24/7 support, and flexible rental terms. The target market primarily consists of businesses seeking short-term and long-term vehicle rentals, and the company adheres to industry standards set by BOVAG for rental services. Through its dedication to quality and customer care, Oostendorp Autogroep strives to be the go-to choice for corporate mobility solutions in the region.",Netherlands,310.546409,,,
Huiskes-Kokkeler,75000000.0,"Netherlands, Overijssel, Hengelo",https://www.linkedin.com/company/huiskes-kokkeler,www.huiskes-kokkeler.nl,"Huiskes-Kokkeler is a leading provider of sustainable mobility solutions, specializing in the leasing and sale of vehicles from renowned brands such as Volkswagen, Audi, SEAT, and Škoda. With over 40 years of experience in the automotive industry, the company is dedicated to offering a diverse range of options, including private and business leasing, vehicle rentals, and maintenance services. Their mission is to enhance mobility while prioritizing sustainability, catering to both individual and corporate clients.  The company partners with various businesses to provide tailored leasing solutions that meet the evolving needs of the market, ensuring a seamless experience for their customers. Huiskes-Kokkeler is committed to delivering high-quality service, as reflected in their impressive customer satisfaction rating of 8.9/10. Based in Twente, Huiskes-Kokkeler specializes in leasing and providing exclusive vehicles, particularly from prestigious brands like Audi and Volkswagen. As part of its comprehensive service offerings, Huiskes-Kokkeler Lease addresses a wide range of mobility needs, including business leasing, financing, private leasing, and insurance solutions. The company's vision is to be the go-to provider for all mobility-related inquiries, from electric vehicle charging solutions to high-end car leasing. Through strategic partnerships and a commitment to customer satisfaction, Huiskes-Kokkeler continues to enhance its reputation as a trusted name in the automotive leasing industry, ensuring that clients can enjoy their dream vehicles while navigating their mobility challenges.",Netherlands,75.0,,,
Autogroep Twente,68012230.0,"Netherlands, Overijssel, Harbrinkhoek, 175 Almeloseweg, 7615",https://www.linkedin.com/company/autogroep-twente,www.autogroeptwente.nl,"Autogroep Twente is a leading automotive company specializing in the sale of new and nearly new commercial vehicles, catering primarily to business clients across various sectors. With locations in Almelo, Hengelo, and Enschede, the company offers a diverse range of vehicles, including popular models like the Iveco Daily, Renault Trafic, and Ford Transit Custom, designed to meet the needs of professionals in transport, logistics, and trades. Autogroep Twente prides itself on providing transparent and expert advice, ensuring that clients find the perfect vehicle tailored to their specific requirements. The company's mission is to support mobility for businesses by offering reliable vehicles and exceptional customer service, while its vision encompasses being a trusted partner for all automotive needs, including maintenance, leasing, and vehicle rental services. With a commitment to quality and customer satisfaction, Autogroep Twente stands out as a versatile and dependable choice for entrepreneurs and established companies alike.",Netherlands,68.01223,,,
Enterprise Car Sharing & Rental,48458718.0,"Netherlands, North Holland, Amsterdam, 380 Nassaukade, 1054",https://www.linkedin.com/company/enterprise-rent-a-car-netherlands-sharing-matters-bv,www.enterprise.nl,"Enterprise Car Sharing & Rental is a leading provider of vehicle rental and car-sharing services, dedicated to offering flexible transportation solutions for both individuals and businesses. The company's mission is to deliver exceptional customer service while ensuring a seamless rental experience, with a focus on convenience and accessibility. Enterprise caters to a diverse clientele, including leisure travelers, corporate clients, and local residents, partnering with various organizations to enhance mobility options. The target market encompasses urban dwellers, tourists, and businesses seeking reliable transportation solutions, with a commitment to sustainability and innovation in the automotive rental industry. Through its extensive network of locations and a wide range of vehicle options, Enterprise aims to meet the evolving needs of its customers while promoting responsible driving practices.",Netherlands,48.458718,,,
Boekhorst Autoschade,38593294.0,"Netherlands, Utrecht, Veenendaal",https://www.linkedin.com/company/boekhorst-autoschade,www.boekhorst.nl,"Al ruim 75 jaar uw veelzijdige partner in autoherstel, autoverzorging en mobiliteit. Met inmiddels de derde generatie aan het roer is Boekhorst al ruim 75 jaar uw veelzijdige partner in autoherstel, autoverzorging en mobiliteit. Om dit in de toekomst ook te blijven garanderen innoveren wij continu onze dienstverlening. Dat doen wij door voortdurend op zoek te gaan naar nieuwe, slimme en klantvriendelijke oplossingen in de automotive branche. Uiteraard doen we nog steeds waarmee we groot zijn geworden, namelijk autoherstel en alles wat met herstel te maken heeft.  Gedurende de afgelopen jaren is ons dienstenpallet echter fors uitgebreid. Zo bieden we ook autoverhuur, wagenparkbeheer, hagelherstel en calamiteitenmanagement, caravan- en camperherstel en het ecologisch reinigen en poetsen van voertuigen. Onze vestigingen zijn te vinden in Almere, Arnhem-Noord, Arnhem-Zuid, Didam, Doetinchem, Ede, Groningen, Lichtenvoorde, Nieuwegein, Spankeren, Veenendaal, Zutphen en Zwolle. Met trots kunnen wij dan ook zeggen dat Boekhorst Autoschade altijd in beweging is!",Netherlands,38.593294,,,
Autohopper | Autoverhuur & Shortlease,34421046.0,"Netherlands, Gelderland, Apeldoorn",https://www.linkedin.com/company/autohopper,www.autohopper.nl,"Autohopper | Autoverhuur & Shortlease is een toonaangevend bedrijf dat zich richt op het verhuren van voertuigen, variërend van compacte personenauto's tot vrachtwagens, en biedt flexibele shortlease-opties voor zakelijke klanten. Met een focus op klanttevredenheid en duurzaamheid, introduceert Autohopper innovatieve voertuigen zoals de Mini Aceman Electric, die niet alleen stijlvol zijn, maar ook bijdragen aan een groenere toekomst. Het bedrijf bedient een breed scala aan klanten, van particulieren tot kleine en middelgrote ondernemingen, en biedt op maat gemaakte oplossingen die inspelen op de specifieke mobiliteitsbehoeften van zijn klanten. Autohopper streeft ernaar om de grootste en meest flexibele autoverhuurdienst in Nederland te zijn, met een wagenpark dat voortdurend wordt uitgebreid en geoptimaliseerd. Door samen te werken met diverse partners, zoals Ekris, en het aanbieden van unieke promoties, zoals de Autohopper verhuisservice, blijft het bedrijf zich onderscheiden in de competitieve markt van autoverhuur en shortlease.",Netherlands,34.421046,,,
KAV Autoverhuur,33364490.0,"Netherlands, North Holland, Amstelveen, 13 Kuiperij, 1185",https://www.linkedin.com/company/kavautoverhuur,kavautoverhuur.nl,"Met veel enthousiasme bieden wij dagelijks klanten zorgeloze mobiliteit. Trots dat we met twaalf vestigingen landelijk georienteerd zijn. Onze kernwaarden: toegankelijk, expertise en vertrouwen. Sinds 1971, al meer dan 50 jaar kennis van zaken. Ons verhaal KAV Autoverhuur heeft een team van enthousiaste medewerkers die dagelijks werken voor tevreden klanten en berijders. Met een netwerk van 12 cluster-vestigingen zijn wij een landelijke speler. Wij bieden zorgeloze mobiliteit en werken met de volgende kernwaarden; toegankelijk, expertise en vertrouwen. Sinds 1971, al meer dan 50 jaar kennis van zaken. KAV Autoverhuur is onderdeel van de RIVA holding. Overkoepeld : Wittebrug Bedrijfswagens (Volkswagen, Audi, SEAT en ŠKODA), de DAVO groep (Peugeot Hyundai, Fiat, Jeep, Alfa Romeo en Abarth) en Wittebrug Lease, Autoschade en verhuur. Door deze intensieve samenwerking zijn wij in staat om de klant een one stop shop propositie aan te bieden op gebied van mobiliteit van zowel personen, bestel- en vrachtauto’s.   De kracht van KAV is om snel en flexibel in te spelen op de vraag. Een ‘op maat ‘ oplossing waarbij binnen korte tijd een grote of specialistische opdracht aangenomen kan worden.   Missie De mobiliteit aanbieder voor alle vervoers-aanvragen. Van groot tot klein , KAV Kan Alles Vervoeren met de K van Kwaliteit. Huren is gemakkelijk , de service is groot en de medewerkers zijn trots op KAV     Visie De meest favoriete en no nonsens autoverhuurorganisatie in Nederland zijn met de beste mobiliteit oplossing voor zowel de zakelijke als particuliere markt.",Netherlands,33.36449,,,
Otravo,32453001.0,"Netherlands, North Holland, Amsterdam",https://www.linkedin.com/company/otravo,www.otravo.com,"Otravo is a leading European online travel organization. With our brands we enable travelers in over 50 countries to enjoy saving money while booking their flight tickets and holiday packages. We work closely with our partners like airlines, tour operators, hotels, car rentals, insurance companies etc. This way we guarantee our customers a complete and competitive offer. We make the shopping and booking process as easy, quick and enjoyable as possible. And with success: we process over 3 million reservations per year.  Otravo was established at the start of 2014 by the merger of Vliegtickets and WTC and added Schipholtickets to its brands in December 2015. In February 2016 Waterland Private Equity took a majority shareholding in the company, with the objective to become a leading European Online Travel Agency through the combination of internal growth and acquisitions. This led to the acquisitions of Flygstolen (Nordics) in July 2016, VakantieDiscounter (Benelux, Packages) in February 2017 and Interneto Partneris (Baltics) in October 2017. In May 2018 Travelgenio was added, which means Otravo now sells over 3 million trips/holidays per year, generating close to 2 billion EUR in gross Sales.",Netherlands,32.453001,,,
