Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
SIXT Polska,4432400000.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/sixtpolska,sixt.pl,"SIXT Polska is a leading car rental company with over 113 years of tradition, offering a wide range of premium vehicles for both short-term and long-term rentals. The company is committed to providing exceptional customer service and flexibility, allowing clients to change or cancel reservations without additional costs at most locations worldwide. SIXT Polska caters to a diverse clientele, including individual travelers, business professionals, and corporate clients, with tailored solutions for business car rentals. The company also emphasizes luxury and quality, featuring a selection of high-end models available for rent. With a focus on innovation, SIXT Polska aims to enhance the rental experience through convenient online booking and a variety of protection options to meet individual needs.",Poland,4432.4,,,
Express Car Rental,122064860.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/expresscarrental,www.express.pl,"Express Car Rental is a leading car rental service based in Kraków, Poland, offering a diverse fleet of vehicles for both short-term and long-term rentals. The company is dedicated to providing exceptional customer service and flexibility, allowing clients to easily rent cars from various strategic locations, including major airports and city centers. With a mission to enhance travel experiences through reliable transportation solutions, Express Car Rental caters to a wide range of customers, including tourists, business travelers, and local residents. The company also partners with businesses to provide fleet rental services, ensuring that organizations have access to the vehicles they need for operational efficiency. Committed to innovation, Express Car Rental is currently implementing a dynamic logistics management system to optimize its services and improve customer satisfaction.",Poland,122.06486,,,
Kaizen Rent S.A.,74001821.0,"Poland, Lower Silesia, Lubin",https://www.linkedin.com/company/kaizen-rent,kaizenrent.pl,"Jesteśmy wypożyczalnią samochodów 🚘 stawiającą na rozwój i nieustanne doskonalenie, bo motoryzacja to nie tylko biznes, ale nasza pasja. U nas wynajmiesz samochód na dni, na miesiące, bez długoterminowych zobowiązań na lata. W ponad 5 000 flocie znajdziesz szeroką gamę nowych i dostępnych od ręki samochodów: miejskie kompaktowe auta, popularne suv-y, komfortowe limuzyny, ale również przestronne busy i pakowne dostawczaki.   Naszym celem jest zapewnić Tobie mobilność, wygodę i bezpieczeństwo każdego dnia! W każdej chwili możesz liczyć na nasz Dział Obsługi Klienta i opiekę Assistance. Jesteśmy dla Ciebie dostępni przez całą dobę, 7 dni w tygodniu.  Jesteśmy dumni, że wywodzimy się z @Toyota & Lexus Dobrygowski, 12-krotnego Deelera Roku. Śmiało idziemy naprzód, czerpiąc wiedzę i doświadczenie ze źródeł. W latach 2020, 2021, 2022 i 2023 zdobyliśmy prestiżową nagrodę Fleet Derby w kategorii na najlepszy produkt mid-short term rental.   Każdego dnia indywidualnie oraz zespołowo pracujemy nad udoskonaleniem naszych produktów i jakości obsługi. Wiemy, jak ważna jest mobilność dla Ciebie, Twojej rodziny i Twojego biznesu. Kazein Rent masz #zNamiPoDrodze!  Ponad 80 000 – zadowolonych klientów biznesowych i indywidualnych  😊 Ponad 5 000 – nowych i bogato wyposażonych samochodów w naszej flocie 🚗 Ponad 300 – pełnych pasji  pracowników i kierowców 💪 Nasze 40 oddziałów – zlokalizowanych we wszystkich dużych miastach i  lotniskach 🛫 Chcemy być bliżej Ciebie. Zapytaj nas o dojazd pod Twoją lokalizację!  Kazein Rent masz #zNamiPoDrodze!  📌 Wynajmujesz z każdego miejsca na ziemi – nasi konsultanci są dostępni 24h/dobę 7 dni w tygodniu!  📌 Najnowsze, najbardziej pożądane modele ze wszystkich klas są w zasięgu Twojego smartfona! 📌 Kaizen Rent wypożyczalnia samochodów to minimum formalności już od samego początku! 📌 Rezerwuj gdzie chcesz, i kiedy chcesz. To nic nie kosztuje. A jeśli zmienisz plany, masz bezpłatną anulację do 24h przed odbiorem!",Poland,74.001821,,,
PANEK S.A.,69856074.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/panek-s-a-,ipanek.pl,"PANEK S.A. is a leading car rental company operating across Poland, the Czech Republic, Austria, and Slovakia, offering a diverse fleet of vehicles including luxury models like the Mercedes E200 and the innovative Toyota CHR. The company's mission is to provide exceptional mobility solutions that combine comfort, technology, and flexibility, catering to both business and leisure travelers. With a strong emphasis on customer satisfaction, PANEK boasts a high recommendation rate, with 9 out of 10 clients willing to refer the service to others. The company targets a wide range of clients, from individual travelers to corporate clients, and partners with various locations including airports and city centers to ensure convenient access to their services. PANEK's vision is to redefine the car rental experience by offering premium vehicles without the burdens of leasing, making luxury accessible to all.",Poland,69.856074,,,
Paged S.A.,54717954.0,"Poland, Warmia-masuria, Pisz",https://www.linkedin.com/company/paged-s-a-,www.inwestor.paged.pl,"Paged Group is a holding group controlled by Paged S.A. based in Warsaw. In 2014 the Group had 711 mln PLN (ca. 170 mln EUR) of sales, over 120 mln PLN (ca. 30 mln EUR) of EBITDA and 75 mln PLN (ca. 18 mln EUR) of net profit. The company has over 80 years of history and since 1996 it has been listed on the Warsaw Stock Exchange (WSE). Paged Group is an organisation with diversified business portfolio focused on the following 6 segments: - plywood segment represented by Sklejka-Pisz Paged S.A. based in Pisz and Paged-Sklejka S.A. based in Morąg, - furniture segment represented by Paged Meble S.A. based in Jasienica and BUK Ltd. based in Bury St. Edmunds (United Kingdom), - trade segment represented by Paged S.A. Warsaw Branch, - real estate segment represented by Paged Property Sp. z o.o. Sp. k. and Mineralna Development Sp. z o.o., both based in Warsaw, - other, including, inter alia, Europa Systems Sp. z o.o., a leading Central European manufacturer of internal transport systems and equipment as well as Ivopol Sp. z o.o., a leading car rental company operating under the brand Rent a Car Direct",Poland,54.717954,,,
99RENT,44775990.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/99-rent-,99rent.pl,"99RENT is a leading car rental company in Poland, established in 2008, with a robust fleet of over 5,000 modern vehicles. The company has carved out a prominent position in the rent-a-car industry, recognized for its excellence with prestigious awards such as the FLEET DERBY and DIAMENT FORBES. As a member of the Polish Vehicle Rental and Leasing Association, 99RENT is committed to providing reliable mobility solutions tailored to both personal and business needs. The company's mission focuses on enhancing customer experiences through innovative technologies and exceptional service, ensuring that clients have access to a diverse range of vehicles, from compact city cars to luxurious SUVs and premium models. 99RENT serves a wide array of clients, including individual travelers, families, business professionals, and tourists, making it a versatile choice for various rental needs. The company operates across 33 locations throughout Poland, including major cities and airports, ensuring accessibility and convenience for its customers. With a vision to remain a trendsetter in mobility, 99RENT is dedicated to adapting to evolving market trends and expanding its services to meet future demands. In addition to its core business, 99RENT actively engages in social responsibility initiatives, partnering with organizations such as the Polish Volleyball Federation and the Herosi Foundation to promote sports and community involvement. Customers consistently commend 99RENT for its professional and friendly staff, transparent pricing, and the excellent condition of its vehicles, reflecting the company's unwavering commitment to customer satisfaction and community engagement. Through its focus on quality, safety, and service, 99RENT aims to make car rental accessible and hassle-free for everyone.",Poland,44.77599,,,
Motorpol Wrocław,41722480.0,"Poland, Lower Silesia, Wrocław",https://www.linkedin.com/company/motorpol-wroclaw,www.motorpolwroclaw.pl,"Motorpol Wrocław specializes in long-term car rentals, offering a diverse range of vehicles from renowned brands such as Volkswagen, SEAT, CUPRA, and ŠKODA. The company’s mission is to provide a stress-free driving experience by bundling essential services, including full maintenance, insurance, and roadside assistance, into a single monthly payment. With rental agreements ranging from 12 to 48 months, Motorpol Wrocław caters to both individual consumers and businesses, ensuring flexibility and convenience in vehicle usage. The company prides itself on its professional advisory services and quick access to vehicles, making it an attractive option for clients seeking reliable transportation solutions without the burden of unexpected costs. By partnering with Volkswagen Financial Services, Motorpol Wrocław aims to deliver comprehensive mobility solutions tailored to the needs of its diverse clientele.",Poland,41.72248,,,
Rentis S.A.,35242704.0,"Poland, Greater Poland, Wysogotowo, 8 Serdeczna, 62-081",https://www.linkedin.com/company/rentis-s-a-,www.rentis.pl,"Rentis ensures a simple, low-cost and safe way to rent a car. Our fleet includes the best makes, for example BMW, Toyota, Lexus. Just try us www.rentis.com",Poland,35.242704,,,
TravelTECH,29330228.0,"Poland, Lesser Poland Voivodeship, Kraków",https://www.linkedin.com/company/traveltech,traveltech.pl,"IT company delivering software solutions and infrastructure to support travel industry in online reservation, sales and post-sales processes. •Operating since 2006, combined experience reaching 1999 •Headquarters in Central & Eastern Europe •Powering major consolidators, OTA’s and travel agents in region •Supporting customers from 12 countries and growing •More than 2500 travel agents globally uses our solutions on daily basis •Award-winning in travel technology sector All our products are developed in-house, constantly updated, improved and enriched with new functionalities, plugins and widgets. Our flagship products are: IRS - Powerful Internet Booking Engine providing access to regular and low-cost airline tickects booking, hotel accomodation, insurance, car hire and trains. Ready to be customized for any customer size and website. Available in API and mobile versions. Tripbooker - All-in-one type platform created in order to facilitate the agency sales and the company support. The platform enables immediate access to a vast range of both local and global offers allowing to select the best option for the client. Tool  dedicated to travel agencies and small companies. GalScan - Comprehensive mid-office software for managing the sales records and invoicing for airline tickets as well as passive segments (insurance, train tickets, hotels, rental cars, etc.). Dedicated to agent networks and tour operators. Each of these solutions has a modular structure allowing them to cooperate with desired system of your choice. Longtime experience, top performance products and portfolio of satisfied customers make us a strong partner in travel business",Poland,29.330228,,,
CarFree Rent A Car,22026690.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/carfree-rent-a-car,carfree.pl,"CarFree Rent A Car is a professional car rental company based in Katowice, Poland, dedicated to providing high-quality vehicle rentals for both short and long-term needs. With a mission centered on ensuring complete customer satisfaction, CarFree offers a diverse fleet of modern, well-maintained vehicles, including compact cars, SUVs, premium models, and spacious vans, catering to a wide range of travel requirements. The company prides itself on its flexibility, allowing clients to enjoy unlimited mileage and the option to drive across borders, making it an ideal choice for exploring the Silesian region and beyond. CarFree serves a diverse clientele, including individual travelers, families, and business professionals, ensuring that everyone has access to reliable transportation tailored to their specific needs. The company’s strategic partnerships with key locations, such as airports and major train stations, facilitate convenient vehicle pickup and drop-off, enhancing the overall customer experience. Committed to affordability and transparency, CarFree provides competitive pricing without hidden fees, making it an attractive option for both leisure and business travelers. The company emphasizes exceptional customer service, evident in its easy online reservation system and 24/7 support, ensuring a seamless experience from pickup to drop-off. Whether clients need a reliable city car for daily errands or a luxurious ride for a special occasion, CarFree Rent A Car is poised to meet their transportation needs with excellence. By maintaining a strong presence in the competitive car rental market, CarFree continues to enhance its service offerings and uphold its commitment to customer satisfaction.",Poland,22.02669,,,
Blue Sky Travel Sp. Z O.o.,19041497.0,"Poland, Greater Poland, Poznań",https://www.linkedin.com/company/blue-sky-travel,www.bluesky.pl,"Naszą działalność na rynku usług turystycznych rozpoczynaliśmy w 1990 roku, jako lokalne biuro podróży, sprzedające bilety lotnicze w Poznaniu. Dzisiaj, jako jeden z liderów rynku usług turystycznych, świadczymy kompleksowe usługi rezerwacji biletów i wycieczek. Nasi specjaliści mogą zaoferować praktycznie wszystkie usługi turystyczne - rezerwacje lotnicze, hotele, pakiety turystyczne (wakacje, narty). W naszej ofercie znajdują się ubezpieczenia turystyczne, wynajem samochodów, czartery samolotów. Zajmujemy się też organizacją imprez turystycznych, wyjazdów i obozów sportowych. Wiele z nich możesz zamówić bezpośrednio w internecie, a wszystkie pozostałe bezpośrednio w jednym z naszych biur lub korzystając z infolinii.",Poland,19.041497,,,
EuroCar,16167461.0,"Poland, Lesser Poland Voivodeship, Kraków, 174 Olszanicka, 30-241",https://www.linkedin.com/company/eurocar_rentacar,www.ieurocar.pl,Wypożyczalnia samochodów osobowych i dostawczych,Poland,16.167461,,,
OTOMOTO Lease,13319293.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/carsmile,carsmile.pl,"OTOMOTO Lease is a dynamic company specializing in vehicle leasing solutions, primarily focused on the Polish market. The company aims to provide accessible financing options for both private individuals and businesses, facilitating the acquisition of new and used vehicles. With a commitment to transparency and customer satisfaction, OTOMOTO Lease partners with authorized dealers and reputable automotive brands, ensuring a diverse selection of vehicles that meet various client needs. The target market includes individuals seeking personal vehicles as well as companies looking to expand their fleets, all while benefiting from flexible leasing terms and competitive financing options. As a leading provider of vehicle leasing and financing solutions in Poland, OTOMOTO Lease specializes in long-term car rentals that consolidate all costs into a single monthly payment. The company strives to simplify the vehicle acquisition process for its clients, offering a wide range of vehicles, including electric cars, and providing comprehensive service packages that cover maintenance, insurance, and tire management. OTOMOTO Lease collaborates with various banks and financial institutions to offer competitive financing options, ensuring clients can choose from multiple offers tailored to their needs. In addition to leasing, OTOMOTO Lease provides standard loans, such as the Standard Loan and Toyota Easy Loan, allowing customers to choose their final payment amounts. The company also offers attractive financing solutions for used cars, including the KINTO ONE leasing option, which features low monthly payments and minimal down payments. OTOMOTO Lease is dedicated to customer satisfaction, providing dedicated advisors to assist clients throughout the leasing process, making it easier than ever to drive their dream car. Furthermore, the company offers a range of original Toyota accessories for used vehicles and provides free vehicle appraisals for all brands, facilitating a seamless trade-in process. Through its innovative approach and commitment to comprehensive service, OTOMOTO Lease aims to meet the diverse needs of individual customers and businesses alike.",Poland,13.319293,,,
Auto Salvage,8181342.0,"Poland, Mazovia, Janczewice, 37 Ul. Jedności",https://www.linkedin.com/company/auto-salvage,www.autosalvage.pl,"Owner of Auto Salvage company: - auto service - mechanics, electrics, electronics, body work, painting, tires, air conditioning - troubleshooting / computer diagnostics - used and new car parts - substitute cars / car rental - all car models +48-501-444-133",Poland,8.181342,,,
Enterprise Rent-A-Car Polska,7629053.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/enterprise-rent-a-car-pl,www.enterpriserentacar.pl,"Enterprise Rent-A-Car Polska, based in Warsaw, is a licensed operator of the Enterprise Rent-A-Car brand, providing car rental services throughout Poland. The company focuses on delivering high-quality vehicles that are always clean, well-maintained, and insured, ensuring comfort and safety for customers during their travels. The mission of Enterprise is to provide exceptional customer service and flexibility in rentals, attracting both individual and business clients. By collaborating with a diverse range of partners, the company serves a broad market, including tourists, business travelers, and local enterprises that require vehicles for short or long-term use.  Since its establishment in 2014, Enterprise Rent-A-Car Polska has effectively operated in the Polish market, offering a wide selection of vehicles, including vans and cars adapted for individuals with disabilities. The company's commitment to continuous improvement in service quality aims to meet customer expectations and maintain its position as a leader in the car rental industry. Enterprise Rent-A-Car Polska caters to various customer groups, including private individuals, families, and businesses seeking flexible transportation solutions. By working with other entities in the industry, the company strives to enhance its services, allowing for better alignment of its offerings with market needs. With an extensive network of rental locations in 90 countries, customers can enjoy convenience and accessibility to services worldwide.",Poland,7.629053,,,
Lexus Warszawa Żerań,7037520.0,"Poland, Mazovia, Warsaw, 84 Jagiellońska, 03-303",https://www.linkedin.com/company/lexus-warszawa-zeran,lexuswarszawa-zeran.pl,"Salon samochodowy Lexus Warszawa - Żerań oferuje nowe samochody osobowe, używane auta na gwarancji, obsługę serwisową, naprawy blacharsko-lakiernicze, części i akcesoria. Oferujemy także wynajem samochodów w ramach działalności Toyota Marki Fleet Management. Zapewniamy pogwarancyjną obsługę serwisową samochodów. Możliwość finansowania zakupu kredytowego jak i w leasingu. Jedyną miarą sukcesu jest dla nas całkowite zadowolenie Klientów. Spełnianie Państwa oczekiwań jest podstawową motywacją działań Lexusa w Polsce. Ofertę budujemy w oparciu o wieloletnie doświadczenie co sprawia, że Klienci nie tylko powracają, ale i rekomendują nas swoim znajomym.",Poland,7.03752,,,
99CAMP,6163221.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/99camp,www.99camp.pl,"99CAMP is a leading car rental company based in Olsztyn, Poland, established in 2008. With a fleet of over 5,000 vehicles, the company has secured a prominent position in the rent-a-car industry, recognized with prestigious awards such as the FLEET DERBY and DIAMENT FORBES. 99CAMP operates under the brand 99RENT, specializing in short-term and medium-term vehicle rentals, and is dedicated to providing reliable mobility solutions for both personal and business needs. The company's mission is to ensure that customers can stay on the move in any situation, while its vision focuses on innovation and adapting to market trends to maintain its leadership in the mobility sector. 99CAMP caters to a diverse clientele, including local residents, tourists exploring the Warmia and Mazury region, and businesses in need of dependable transportation. The company actively partners with organizations like the Polish Volleyball Foundation and the Herosi Foundation, reflecting its commitment to social responsibility and community engagement. With nearly 40 branches across Poland, including major airports such as Poznań, Rzeszów, Kraków, Gdańsk, and Warsaw, 99CAMP ensures convenient access to its services for travelers. The company prides itself on exceptional customer service, emphasizing transparency and efficiency in the rental process. Clients can enjoy competitive rates starting from just 79 PLN per day, with flexible rental options available for short, medium, and long-term periods. 99CAMP's diverse fleet includes economical city cars, spacious SUVs, luxury models, and vans, catering to a wide array of customer needs. By collaborating with local service providers, 99CAMP enhances its offerings, making it a trusted choice for reliable transportation solutions in Poland.",Poland,6.163221,,,
Wypożyczalnia Samochodów CAR-RENTAL.PL,5340337.0,"Poland, Subcarpathian Voivodeship, Rzeszów",https://www.linkedin.com/company/wypożyczalnia-samochodów-car-rental-pl,car-rental.pl,"Jesteśmy profesjonalną firmą w dziedzinie wynajmu aut. Swoją pozycję na rynku osiągnęliśmy dzięki rzetelnej pracy nad jakością usług, rozbudowaniu floty samochodów możliwych do wypożyczenia oraz wyselekcjonowaniu zespołu doborowych fachowców.  Na tą chwilę możemy pochwalić się czterema oddziałami (Rzeszów, Sandomierz, Lublin o Radom) z licznymi punktami obsługi na obszarze południowo-wschodniej Polski. Nasza oferta obejmuje wynajem: - samochodów osobowych - aut dostawczych - pojazdów luksusowych - busów i vanów - lawet oraz auto-lawet Dodatkowo można u nas zamówić: - podstawienie i odbiór samochodu - wynajem auta z kierowcą Wypożyczamy samochody krótko- i długoterminowo na terenie nie tylko całego kraju, ale również wyjazdu  za granicę. Serdecznie zapraszamy na naszą stronę internetową!",Poland,5.340337,,,
