Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Preskok,32725368.0,"Slovenia, Ljubljana, Ljubljana, 40 Štukljeva Cesta, 1000",https://www.linkedin.com/company/preskok,www.preskok.si,"PRESKOK - B2B CAR REMARKETING Preskok is the leading international independent b2b car supplier in Adriatic region. We are specialized in buying/selling 0km and young used cars of all brands. Our 20 years of experience and strong partnerships testify the quality of our services and our strong commitment to deliver on our promises. .  We are aimed at providing our partners (buyers, suppliers and others) the best possible value for money. If you are a loan company or a car rental business, an official or independent dealer, an agent or a sales person we are able to organize complete purchase or sale. We organize the transport and the whole logistics, the finance and all needed documentation at every step. We are an agile young highly motivated team with passion for IT and business optimization. We work globally; we cover whole Europe (EU and non EU) as well we are developing the business outside Europe. We have clear strategy for car remarketing and mobility solutions. Using new IT solutions & tools and strong focus on our customer needs is the core of our philosophy. Rewards: -	2014/2015 – National Champion for EBA (European Business Awards) -	Multiple nominee for Slovenian award »Gazelle«, a reward for fast-growing companies. Business gazelles are small- to medium-sized companies with an annual 20% increase in sales and a base revenue of at least USD 100,000. The main criteria for nomination was sales growth in five-year period as well as other financial data and business achievements of the company since its establishment.",Slovenia,32.725368,,,
Avant Car Slovenia,19815254.0,"Slovenia, Ljubljana, Ljubljana, 140 Dunajska Cesta",https://www.linkedin.com/company/avantcar-d-o-o,www.avantcar.si,"Avant Car ranks as one of the top Slovenian providers of rent a car, chauffeur-driven service rental, business vehicle rental and fleet management services.  We are building trust and satisfaction from our customers with competitive features, such as fast and quality services, reliability, punctuality and high adaptability to the needs of our customers.",Slovenia,19.815254,,,
SIXT SLOVENIA,6067566.0,"Slovenia, Ljubljana, Ljubljana, 13 Brnčičeva Ulica, 1231",https://www.linkedin.com/company/sixt-slovenia,www.sixt.si,"Družba Anticus je bila ustanovljena leta 2005, ko je pridobila franšizo SIXT rent a car za Slovenijo. V izredno hitrem času je Anticus razširil poslovanje v Sloveniji, blagovna znamka SIXT pa je postala sinonim in prva izbira za kratkoročne, dolgoročne in poslovne najeme vozil. Leta 2010 je bila sprejeta odločitev o razširitvi delovanja na hrvaški trg, na katerem Anticus posluje prek hčerinskega podjetja. Odločitev se je izkazala za pravilno, saj hrvaški trg danes prispeva večino prihodkov Skupine Anticus. Skupina ima danes že blizu 30 poslovnih enot v Sloveniji in na Hrvaškem, skupno število zaposlenih pa znaša skoraj 150. Blagovna znamka SIXT ima v Sloveniji in na Hrvaškem več kot 25-odstotni tržni delež, ki si ga prizadeva še dodatno povečati in okrepiti svoj položaj na obeh trgih.",Slovenia,6.067566,,,
Europcar Slovenia,4403389.0,"Slovenia, Ljubljana, Ljubljana, 286 Celovška Cesta, 1000",https://www.linkedin.com/company/europcar-slovenia,www.europcar.si,"Europcar is the leader in car rental services in Europe. Europcar is the European leader in vehicle rental service and is also a major player in mobility markets. Present in 140 countries, the company provides customers with access to the world's largest vehicle rental network through its own operations, franchisees and partnerships.  With 6, 500 employees committed to delivering customer satisfaction and an average fleet of 190, 000 vehicles, Europcar is conscious of its corporate citizenship responsabilities.  Winner or the first World Travel Award recognizing the World's Leading Green Transport Solutions Company, Europcar also was honored with the Award in 2010 and 2011. Europcar shares (EUCAR) are listed on the Euronext Paris stock exchange.",Slovenia,4.403389,,,
Shuttle.si | Ljubljana Airport Shuttle And Private Transfer. Professional Service For Professionals.,2813000.0,"Slovenia, Ljubljana, Ljubljana, 9 Kunaverjeva, 1000",https://www.linkedin.com/company/shuttle-si,www.shuttle.si,"More than twenty years of experience in tourism, private car hire and ground transportation industry. As business owners our first jobs were in the hotel industry at the front desk and in sales. Through the years we have developed a rather acute sense of what you need and an understanding of your expectations. A simple airport transfer or a dedicated car charter for the day requires a professional approach with full support from a team you can trust. You are always first and we are not afraid to take the extra step to offer you an excellent service. Above all, we don`t make promises we can`t keep and are firm believers in your privacy. Your business is just that, YOUR business. Through the years we have had the pleasure of working with many of the best people in their departments. A number of businesses and agencies in Slovenia and abroad have entrusted their services to us. Among them you will also find Ministries, Embassies, Limo services,  Airlines, Travel agencies etc… that keep on sending repeat business. Individual travelers and families have used our services during holidays. Many of them have been with us for years. We have managed to develop a keen sense of what is right and how it should be done. That is why we believe that a chauffeured service should be reliable, efficient, and discreet, yet simple. When you book a service you should know exactly what it`s going to cost and what you are getting. Do not settle for less. We are not believers of big words and long eloquent introductions. Let us take this opportunity to welcome you to our company and express our hope that you found what you are looking for.",Slovenia,2.813,,,
Turistična Agencija Playa,2615600.0,"Slovenia, Ptuj, Ptuj, 21 Puhova Ulica, 2250",https://www.linkedin.com/company/turistična-agencija-playa,agencija-playa.si,"Turistična agencija Playa je nova turistična agencija na Ptuju. Nahajamo se v nakupovalnem centru Qcenter Ptuj. Naša glavna prednost je, da ponujamo vse turistične agencije na enem mestu. To pomeni, da lahko pri nas izbirate med najugodnejšimi ponudbami turističnih agencij Sonček, Relax, Palma, Kompas, ETI, Oskar, TUI, FTI in mnogimi drugimi. Poleg omenjenega lahko za vas poiščemo tudi najugodnejše letalske karte, želeni hotel, apartma ali ostalo namestitev, najem avtomobila, rezervacijo parkirišča na letališču, izdelavo vizuma in tako naprej. V Playi poleg dopustov v Sloveniji, na Jadranu in Mediteranu, ponujamo tudi eksotične počitnice širom sveta, avtobusne izlete in potovanja okoli celega sveta, celo na Antarktiko, križarjenja od Sredozemlja pa vse do daljnih Karibov in Avstralije, navijaška potovanja, smučanje in še veliko drugega. »Playa 🏖 Agencija s plažo ponudb«.",Slovenia,2.6156,,,
Auto Jardim Rent A Car,2614790.0,"Slovenia, Ljubljana, Ljubljana",https://www.linkedin.com/company/auto-jardim-rent-a-car,www.auto-jardim.com,Auto Jardim is Portugal´s leading car hire company in the leisure market in Portugal. Enter ao site now and watch out for our special offer of the day.,Slovenia,2.61479,,,
Car Target Group,2344916.0,"Slovenia, Ljubljana, Ljubljana, 1000",https://www.linkedin.com/company/car-target-group,www.car-target.com,"Car Target Group - A family of three brands with one promise: We make rentals simple!  Car Target Group is an international rent a car broker company that provides car rental solutions for both, travel businesses as well as end-customers. Through three different members of our Car Target Group family and our team of experts we offer best possible rent-a-car solutions around the world. •      Car Target:  B2B car rental platform – your connection to all big names in the rent a car industry  Our mission is to open growth opportunity windows for travel professionals in the rent-a-car world.  We believe that agility is one of the most influential attributes in this fast-paced industry. With this insight, we increase our limits of flexibility to meet each partner's unique needs.  Our B2B car rental solutions are user-friendly, visually appealing and adaptable for all travel businesses like airlines, accommodation sites, online travel agencies and online travel websites.  •	Vehicle Rent:  B2C car rental website – direct connection for end-customers to a global network of suppliers At the heart of CTG, we have our fastest growing online car rental broker business with the network that extends across the world.  Vehicle Rent is driven by passion and excellence in customer experience. To fulfill our customers' needs we make rentals friendly and simple.  •	Mehr als Mietwagen = More than Car Hire  This full-German premium brand is changing the definition of superior car rental customer experience by making it easy, transparent and as comfortable as possible. We deliver this by choosing only top-rated suppliers and offering an all-inclusive & hassle-free product.",Slovenia,2.344916,,,
Divo d.o.o.,2086124.0,"Slovenia, Ljubljana, Ljubljana, 24 Bratovseva Ploscad, 1000",https://www.linkedin.com/company/emonagram,www.divocars.si,"Prijazen najem vozil. Nudimo vam dolgoročni, kratkoročni najem, asistenčne ter klasične Rent A Car storitve na najvišjem nivoju - po najboljših cenah.",Slovenia,2.086124,,,
Direct Booker Slovenia - Digitalni Turizem d.o.o.,1888002.0,"Slovenia, Brežice, 5 Obrtna Ulica, 8250",https://www.linkedin.com/company/alpeadriabooker,www.digitalniturizem.com,"We are franchise of a young Croatian company/brand Direct-Booker. Direct Booker is an online agency providing booking and managing services for private accommodation. Looking at private homes, apartments, villas ,we saw an alternative to hotel accommodation, and so we started our story back in 2010. Today we are the leading agency in Croatia with headquarters in Dubrovnik and branch offices in Split, Zadar, Sibenik, Zagreb, Montenegro, Bosnia and Herzegovina and Slovenia. We are a liaison between home owners and those who want to feel at home. Personalized service, accommodation to your measure, experiencing destination in a unique way, not as a tourist but as a local, is something we pride ourselves in. With 150 000 reservations, 200 000 guests and more then 4000 accommodation units, we are the trusted partner when it comes to booking that special place, from rooms, apartments to luxury villas. Together with accommodation, we also offer various region excursions and tours in Dubrovnik and its surrounding area. For less stressful arrival to your accommodation we also organize a transfer or our affiliates car rental service can be arranged. Direct Booker is an open minded company which thrives on creating a great work environment and giving employees the trust to implement their ideas.",Slovenia,1.888002,,,
