Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Goldcar Rental,1085839394.0,"Spain, Galicia, Poio",https://www.linkedin.com/company/goldcar-rental,www.goldcar.es,"Goldcar Rental is a leading car rental company specializing in providing affordable and convenient vehicle hire services across over 96 destinations, primarily in Europe. With a mission to offer the best deals and a hassle-free rental experience, Goldcar aims to enhance travel adventures by ensuring customers have access to a modern fleet of vehicles and exceptional service. The company caters to a diverse clientele, including holidaymakers and business travelers, and partners with various companies in the transport and tourism sectors to develop promotional activities. Goldcar's target market includes individuals seeking cost-effective car rental solutions, with a focus on providing value through exclusive discounts and a loyalty program, the Goldcar Club. With features like express pickup services and comprehensive coverage options, Goldcar is committed to making every journey enjoyable and stress-free.",Spain,1085.839394,,,
Grupo Angal | Cadimar | Ditram | Jadisa | Valdisa,555158100.0,"Spain, Andalusia, Sevilla",https://www.linkedin.com/company/grupo-angal,www.grupoangal.com,"GRUPO ANGAL cuenta con más de 50 años de experiencia en el sector de la automoción distribuyendo como concesionario oficial 7 marcas en las provincias de Cádiz, Jaén, Lugo, Málaga, Pontevedra y Valencia representadas por 25 concesionarios en 17 instalaciones. Las marcas que representa el GRUPO ANGAL son Mercedes-Benz, Smart, Hyundai, Honda, Nissan, Opel y Fuso, pudiendo así ofrecer una amplia gama de vehículos en clase premium y generalista, y llegar a todo tipo de clientes para destino familiar o profesional. El GRUPO ANGAL es un referente en el sector de la automoción, ubicándose dentro de los 10 primeros grupos más importantes a nivel nacional y contando con una presencia online creciente a través de su línea de negocio online Automotor10. El grupo mantiene un compromiso total con sus marcas, clientes y empleados, cuidando todos los detalles para garantizar la máxima calidad.  Conformado por Cadimar, Cadimar V.I, Fevimar , Jadisa, Vip Jadisa, Jacarsa, Ditram, Ditramotor, Fergil, Indotur, Tradip Lucense, Vip Galicia, Valdisa, Valdisa V.I y Automotor10 El GRUPO ANGAL cuenta con una amplia cartera de productos aportando soluciones globales en el sector automovilístico. Entre sus productos más importantes cabe destacar: · Vehículos Turismos · Industrial Ligero (Furgonetas) · Industrial Pesado (Camiones) · Jahreswagen (Vehículos seminuevos) Siempre fiel a su política de satisfacción al cliente, el GRUPO ANGAL coordina todas sus acciones para ofrecer un valor añadido en la prestación de todos sus servicios de: · Atención comercial personalizada · Mantenimiento integral · Reparaciones de chapa y pintura · Venta de recambios y accesorios · Boutique oficial de marca · Alquiler de vehículos · Financiación a medida · Cobertura de seguros · Servicio de Asistencia 24 horas Emergencias",Spain,555.1581,,,
Fraikin Alquiler De Vehículos,357616270.0,"Spain, Catalonia, Granollers",https://www.linkedin.com/company/fraikin-alquiler-de-vehículos,www.fraikin.es,"Fraikin Alquiler De Vehículos is a leading vehicle rental company in Spain, specializing in providing a diverse range of industrial vehicles tailored to meet the specific needs of various sectors, including agriculture, construction, public administration, healthcare, and logistics. With a mission to deliver exceptional service and support, Fraikin offers an extensive fleet that includes trucks, vans, refrigerated vehicles, ambulances, and specialized transport platforms. The company operates through 21 strategically located branches across Spain, ensuring clients have easy access to their services and personalized assistance from dedicated representatives. Fraikin's vision is to optimize fleet management for its clients, fostering long-term relationships built on professionalism and reliability. Their target market primarily consists of professionals and businesses seeking flexible rental solutions for both short and long-term needs.",Spain,357.61627,,,
Chofer Vip,193205538.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/chofer-vip,www.chofervip.com,Somos una compañía de servicios de alquiler de coches con conductor en Madrid. 615169330,Spain,193.205538,,,
Centauro Rent A Car - Alquiler De Coches,119522258.0,"Spain, Valencia, Alicante",https://www.linkedin.com/company/centauro-rent-a-car,www.centauro.net,"Centauro Rent A Car es una empresa especializada en el alquiler de coches, con una sólida presencia en España, Italia, Portugal y Grecia. Su misión es ofrecer un servicio de calidad que combine precios competitivos con una atención al cliente excepcional, garantizando la satisfacción de sus usuarios a través de la mejora continua basada en sus comentarios. La compañía se enfoca en un amplio espectro de clientes, desde turistas que buscan explorar ciudades y paisajes hasta empresas que requieren vehículos para sus operaciones diarias. Centauro se distingue por su transparencia en precios, sin cargos ocultos ni depósitos excesivos, lo que la convierte en una opción confiable para quienes buscan alquilar un coche. Con oficinas en destinos clave como los aeropuertos de Mallorca, Alicante y Sevilla, Centauro Rent A Car ofrece una flota de vehículos que se renueva anualmente, incluyendo opciones económicas, familiares, descapotables y minibuses. La empresa se dirige a turistas nacionales e internacionales que desean descubrir la rica cultura, gastronomía y arquitectura de las regiones donde opera, facilitando el acceso a playas, monumentos históricos y rutas gastronómicas. Además, Centauro se asocia con diversas plataformas de turismo y ofrece servicios adicionales como asistencia en carretera y opciones de recogida rápida, garantizando así un servicio de calidad y atención al cliente. La visión de Centauro Rent A Car es ser la opción preferida para el alquiler de coches en España, destacándose por su transparencia en precios y la satisfacción del cliente. Con un compromiso firme hacia la accesibilidad y la eficiencia, Centauro se ha consolidado como una opción popular en el sector de alquiler de vehículos en Europa, ideal para aquellos que desean aprovechar al máximo su experiencia de viaje.",Spain,119.522258,,,
OK Mobility,86431800.0,"Spain, Balearic Islands, Palma",https://www.linkedin.com/company/ok-mobility-services,okmobility.com,"OK Mobility Group S.A. is a leading global mobility platform that specializes in a comprehensive range of transportation solutions, including car rentals, subscriptions, leasing, and vehicle purchases. Founded by Othman Ktiri, the company is dedicated to empowering freedom of movement and enhancing customer experiences through innovative and sustainable mobility services. With a strong focus on expansion, OK Mobility operates over 70 stores across 15 countries, catering to both residents and tourists, particularly in high-demand markets like the United States. The company’s mission is to create a more connected future by offering accessible and flexible mobility options that meet the evolving needs of its diverse clientele. OK Mobility is particularly well-known for its car rental services, providing flexible and convenient transportation solutions for travelers exploring various destinations, including the picturesque region of Montenegro. The company aims to enhance the travel experience by empowering clients to discover local attractions at their own pace, offering a diverse fleet of vehicles tailored to meet the needs of both leisure and business travelers. Targeting tourists visiting popular locations such as Tivat, Kotor, and Podgorica, OK Mobility partners with local businesses and tourism boards to create seamless travel experiences that highlight the beauty and charm of Montenegro. In addition to its core services, OK Mobility fosters partnerships and collaborations, exemplified by initiatives like ""The Showroom,"" which supports automotive professionals in establishing their own preowned vehicle dealerships. This commitment to collaboration and innovation positions OK Mobility as a forward-thinking leader in the mobility sector, dedicated to enhancing the overall travel experience while promoting sustainable practices.",Spain,86.4318,,,
Chofer De Lujo. Alquiler De Coches Con Chófer.,69816420.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/chofer-de-lujo,www.choferdelujo.com,"Chófer de Lujo is a premier car rental service specializing in high-end vehicles with professional chauffeurs, catering to both individual and corporate clients. The company is dedicated to providing a luxurious and discreet transportation experience, ensuring punctuality and efficiency for airport transfers, private events, and weddings. With a fleet exclusively featuring Mercedes-Benz vehicles, Chófer de Lujo emphasizes the importance of image and professionalism, making it an ideal choice for businesses looking to enhance their corporate image during client interactions and events. Their target market includes companies, institutions, and individuals seeking reliable and elegant transportation solutions across Spain, particularly in Madrid. The company prides itself on its commitment to customer satisfaction, offering tailored services and flexible solutions to meet the unique needs of each client.",Spain,69.81642,,,
Europcar España,67968072.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/europcar-spain,www.europcar.es,"Europcar es especialista en el alquiler de coches en España y el mundo: cuenta con más de 100.000 oficinas de alquiler de coches presentes en más de 150 países. Alquila un coche en aeropuertos, en estaciones de tren, principales ciudades y poblaciones. Europcar ofrece una amplia gama de vehículos que se adaptan a tus necesidades.",Spain,67.968072,,,
Grupo Samar,62989229.0,"Spain, Madrid, Madrid, Km Avda. Andalucía, 28021",https://www.linkedin.com/company/grupo-samar,samar.es,"Contamos con más de 100 años de historia, disponiendo de un amplio abanico de servicios de transporte en autobús🚌, de ámbito tanto regional como nacional, internacional, urbano y discrecional🚐. ✅Servicio de cercanías ✅Rutas nacionales ✅Alquiler de autobuses, servicio discrecional y turístico ✅Viajes de eventos musicales, culturales y deportivos ✅Eventos familiares, celebraciones y comidas/cenas de empresa ✅Alquiler de vehículos Somos tu partner de confianza a nivel de transporte, contacta con nosotros",Spain,62.989229,,,
Gaursa,60497596.0,"Spain, Basque Country, Bilbao",https://www.linkedin.com/company/grupo-gaursa,www.gaursa.com,"Concesionario oficial Renault, Dacia, Alpine, Nissan e Isuzu con sólida presencia en Bizkaia, Gipuzkoa y Araba.   En Grupo Gaursa llevamos trabajando más de 40 años con un objetivo claro: prestar el mejor servicio a nuestros clientes ofreciendo soluciones personalizadas que se adapten a sus necesidades.   Nuestro equipo de profesionales se esfuerza por buscar la mejora continua, promoviendo los avances tecnológicos del sector de la automoción para seguir siendo líderes de mercado. Ofrecemos un servicio integral: vehículos nuevos, vehículos de ocasión, vehículos eléctricos, servicio post venta, alquiler de vehículos.   #Gaursa #MoviéndonosContigo",Spain,60.497596,,,
