Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Gersec,1151071.0,"Germany, North Rhine-westphalia, Rheine, 99 Münsterstraße, 48431",https://www.linkedin.com/company/gersec,gersec.de,gersec® german Secur german security Group is a Cunsulting office for your matter of concern i will be more than your private Concierge-Service. I'm your consulter for your Security and business best regards Uwe Franz Lutze Münsterstraße 99 48431 Rheine NRW ufl@u-f-l.de ufl@alice.de gersec® ger sec® desitec® GmbH diamant.trade TM diamanthandel diamant-systembau TM diamant-maklerbüro TM Tel 0049 5971 80 18 19 12 Mobil 049 160 2588658 oder. 049 160 91 222 712,Germany,1.151071,,,
BHS - Eine Marke Der BENSDESK GmbH,5345794.0,"Germany, North Rhine-westphalia, Düsseldorf, 277 Grafenberger Allee, 40237",https://www.linkedin.com/company/bensdesk-gmbh,www.bhs-empfang.de,"Willkommen bei BHS Best Hospitality Services (eine Marke der BENSDESK GmbH)!  Als führender Anbieter von Empfangs- und Concierge-Dienstleistungen sind wir darauf spezialisiert, Ihren Gästen ein unvergessliches Willkommen zu bereiten. Unser engagiertes Team aus professionellen Empfangsmitarbeitern sorgt dafür, dass jeder Besucher den besten ersten Eindruck von Ihrem Unternehmen erhält. Unsere Philosophie basiert auf der Überzeugung, dass exzellenter Service der Schlüssel zu einer starken Kundenbindung ist. Wir bieten maßgeschneiderte Lösungen für Hotels, Bürogebäude, Einkaufszentren und mehr – immer mit dem Ziel, die Erwartungen Ihrer Gäste nicht nur zu erfüllen, sondern zu übertreffen. Mit BHS Empfang profitieren Sie von: - Professionellem Empfangspersonal: Freundlich, kompetent und stets hilfsbereit. - Individuellen Lösungen: Wir passen unsere Dienstleistungen an Ihre spezifischen Anforderungen an. - Hoher Servicequalität: Jedes Detail zählt, und wir legen großen Wert auf Professionalität und Effizienz. Lassen Sie uns gemeinsam dafür sorgen, dass Ihre Gäste sich willkommen und wertgeschätzt fühlen. Bei BHS Empfang stehen Ihre Bedürfnisse im Mittelpunkt!",Germany,5.345794,,,
Clear Security GmbH,1457568.0,"Germany, Bern, Berlin, 13e Meeraner Straße, 12681",https://www.linkedin.com/company/clear-security-gmbh,clearsecurity.de,"Wir von der Clear Security GmbH sind felsenfest davon überzeugt, dass die beste Sicherheit eine Kombination aus Technologie und menschlichem Know-how ist. Gute Beratung und Transparenz für Ihre Sicherheit stehen dabei an erster Stelle: Ein starker Sicherheitsplan kann schließlich nur entwickelt werden, wenn beide Aspekte berücksichtigt werden. Deshalb sehen wir uns als Experten an, die alles tun, um jedes potenzielle Risiko zu reduzieren und ein effizientes Schutzsystem zu gewährleisten 🔒. Unser Unternehmen verfügt über mehr als 15 Jahre Erfahrung im Bereich Objektschutz.  Wir entwickeln und stetig weiter, um Ihre individuelle Sicherheitserfahrung noch flexibler und individueller zu gestalten. Das macht das vertrauensvolle Verhältnis zwischen unseren Kunden und dem Expertenteam aus. Unsere Leistungen:  🔹 Objektschutz 🔹 Baustellenbewachung 🔹 Brandsicherheitswache 🔹 Einbruchsschutz 🔹 Empfangsdienst und Concierge 🔹Guard 🔹 Werkschutz Nehmen Sie Kontakt mit uns auf und lassen Sie uns gemeinsam nach innovativen Wegen suchen, um Ihre Veranstaltung oder Objekt bestmöglich abzusichern 🙌! Besuchen Sie uns online unter https://www.clearsecurity.de/kontakt/ und vereinbaren Sie ein unverbindliches Gespräch.",Germany,1.457568,,,
Suite Homes,626883.0,"Germany, Berlin, Berlin",https://www.linkedin.com/company/suite-homes,,"Suite Homes & Co is a global proptech company that is reinventing the way people live with its curated network of quality, turnkey homes in great locations around the globe, accessible for stays of a month, longer and holiday homes in some locations. Suite Home’s tech-enabled platform provides a fully digitized experience with great support and access to daily necessities from apartment cleanings, grocery delivery, concierge services, and more, providing a seamless experience from end to end. Aiming to fill the gap in the market for high-quality rental accommodation, Suite Homes  offers a new home rental solution combining sophisticated European design with a truly enjoyable customer experience. With the objective of tackling the shortage of affordable quality accommodation, the Company  ensures to make their customers’ lives effortless.",Germany,0.626883,,,
ELITE IMMOBILIEN,1880649.0,"Germany, Hamburg, Hamburg, 23 Neumuehlen, 22763",https://www.linkedin.com/company/elite-immobilien,www.eliteimmogroup.com,"Real Estate, Sales and rentals of high-class real estate • international properties • furnished apartments • short & long term rentals • serviced apartments in Hamburg, Berlin, Cologne, Duesseldorf, Munich • water view apartments • bay & ocean front apartments international • Florida Condo Apartments • Open House Events • Customized evaluations and preparation of expert surveys and estimates • Sale and procurement of investment property • international network • Project development • Marketing client services • Relocation + Expat Services • Expat help • Company On-Site Support •  Team Relocation & Expat Concierge Services:  If professional success has brought you to Hamburg, GER, you’ll want to feel at home here as soon as possible. You can count on full support and commitment. ELITE EXPAT CONCIERE SERVICES offers individualized service and tailors its services to each new employee and each company's specific needs. We organize all of the time consuming work of finding a new home or apartment and the difficulties of relocation to a new city. Our team also provides additional services such as translations, visa assistance, and introduction to local accounting firms, attorneys, and banking + financial services. Many years of experience, trust, flexibility and professionalism speak for themselves: we’re determined to exceed our clients’ expectations.",Germany,1.880649,,,
JOBOSTAYS,665977.0,"Germany, Lower Saxony, Oldenburg, 52 Rosenstraße, 26122",https://www.linkedin.com/company/jobostays,www.airbnb.de,"Wir, bei JOBOSTAYS, revolutionieren die Immobiliennutzung und schaffen Mehrwert für Eigentümer und Mieter gleichermaßen. Unser Ansatz geht weit über die klassische Ferienvermietung hinaus: Wir mieten Wohnungen und Gewerbeflächen langfristig an und vermieten diese mit der Zustimmung der Eigentümer kurzfristig über Plattformen wie AirBnB und Booking. 🌍📲   --- Vorteile für Eigentümer: Unsere innovative Lösung bietet Eigentümern eine attraktive Alternative zur klassischen Langzeitvermietung. Durch unsere Partnerschaft profitieren Sie von:   - Sicheren Einnahmen💰: Langfristige Mietverträge garantieren stabile Erträge.   - Flexibler Nutzung 🔄: Keine Bindung an dauerhafte Einzelmieter.    - Rundum-Service 🛠️: Wir übernehmen Management, Gästebetreuung, Reinigung und Instandhaltung.    - Hoher Rendite 📈: Mehr Einnahmen durch kurzfristige Vermietungen bei geringem Aufwand.   - Wenig Abnutzung 🧹: Regelmäßige Reinigung und überwiegend nächtigende Gäste halten Verschleiß und Nutzung minimal.   --- Wir suchen: 🏘️ Neue Objekte & Eigentümer! Unser Fokus liegt auf dem Aufbau langfristiger Partnerschaften. Wir sind stets auf der Suche nach neuen Objekten und Eigentümern, die innovative Ansätze schätzen und ihre Immobilien rentabler nutzen möchten.   --- Gemeinsam zum Erfolg: 🤝   Egal ob Sie eine Wohnung, ein Gewerbeobjekt oder mehrere Einheiten besitzen – mit JOBOSTAYS wird Ihre Immobilie zu einer erfolgreichen Investition. Wir freuen uns auf eine Zusammenarbeit, die Mehrwert schafft.   --- Kontaktieren Sie uns: 📞✉️   Lassen Sie uns über Ihre Immobilie sprechen und gemeinsam eine optimale Lösung finden!   Viele Grüße,   Jan Bogena 🚀",Germany,0.665977,,,
CareTaker AG,4166495.0,"Germany, Brandenburg, Potsdam, 30 Friedrich-ebert-straße, 14467",https://www.linkedin.com/company/caretaker-gmbh,www.caretaker.de,"Zielorientiertes Arbeiten, wegweisender Service und tonnenweise Herzblut. Das sind wir. Empfangsdienste ·     Als professionelle Anlaufstelle für Ihre Mitarbeiter und Besucher besetzen wir Ihren Empfang mit einem Lächeln. Concierge-Service ·    Wir kümmern uns um alles. Und wachsen über uns hinaus. Neben dem Empfangsdienst umsorgen wir gerne Ihr gesamtes Haus mit zeitsparenden Concierge-Services. Recruiting für Sie ·    Wir finden die Richtigen für Sie! Als erfahrener Spezialist im Service-Bereich  finden wir auch für Sie die menschlich passende und langfristige Lösung für  Ihren Empfang oder Ihre Assistenz. Mit der Gründung vor bald 20 Jahren haben wir in Hamburg den Grundstein für Concierge-Dienstleistung in Deutschlang gelegt. Heute genießen wir deutschlandweit das Vertrauen unserer Kunden. Und überzeugen täglich aufs Neue mit unserem Service, unserer Herzlichkeit und Professionalität.",Germany,4.166495,,,
Deltapro Immobilien GmbH,1880649.0,"Germany, Bavaria, Gilching, 4 Dornierstraße, 82205",https://www.linkedin.com/company/deltapro-immobilien-gmbh,www.deltapro-immobilien.de,"Unsere Immobilien folgen individuellen Konzepten – aber immer mit den Grundwerten hochwertig, außergewöhnlich und flexibel. Für unsere Objekte verstehen wir uns nicht als Bauherr und Vermieter, sondern als Generalentwickler und Concierge.",Germany,1.880649,,,
W&N Immobilien-Gruppe,4388181.0,"Germany, Bavaria, Dachau, 3 Newtonstraße, 85221",https://www.linkedin.com/company/wnvimmobilien,www.w-n-v.de,"W&N entwickelt und realisiert tragfähige Standort- und Immobilienkonzepte. Spezialgebiete sind qualitätsvolle Wohn- und Ferienobjekte, die wertigen Lebensraum bieten und zugleich als attraktive Kapitalanlage dienen können. Um das zu erreichen, sind drei Fachbereiche rund um die Immobilie entscheidend: Kaufberatung und Vertrieb, Entwicklung und Umsetzung von Immobilien und Standortkonzepten sowie Betrieb und Verwaltung von Immobilien. Mit diesem umfassenden Know-how gewährleistet W&N, dass Investments realistisch und dauerhaft tragfähig sind.  Projektentwicklung & Netzwerke - Immobilienentwicklung -Projektrealisierung als Bauträger - Standort- und Quartiersentwicklung - Beratung für Gemeinden, Städte und Investoren - Investorenvermittlung Immobilienvertrieb & -verkauf - Immobilien- und Vertriebskonzepte - Kaufberatung für Kapitalanleger, Erwerber und Investoren  - Vertriebskoordination  - Begleitung der Kaufabwicklung - Beratung für Bauträger/Entwickler, Gemeinden, Städte und Investoren - Grundstücksakquisition Ferienvermietung & -betrieb mit Ostseetraum Ferienwohnungen GbR - Vermarktung - Buchungsmanagement - Online-Buchung - Betrieb Ferienimmobilien - Rezeption mit 24-h-Service - Verwaltung für Eigentümer - Hotelbetrieb",Germany,4.388181,,,
König Sylt,4283295.0,"Germany, Sylt, 34 Dr.-ross-str., 25980",https://www.linkedin.com/company/koenig-sylt,koenig-sylt.de,"Das Unternehmen König Sylt steht seit Jahrzehnten für Zuverlässigkeit und Qualität – als Immobilienberatung, Ferienvermietung, Gastgeber und Projektentwicklung auf höchstem Niveau. Folgende Unternehmungen gehören zur König Sylt DACH-Gruppe: ▶️ König Project: Projektentwicklung ▶️ König Immobilien: Immobilienberatung ▶️ König Appartement: Ferienvermietung ▶️ I Love Sylt Hotels & Hideaways: Hotel & Hideways ▶️ Stück vom Glück: Gemeinnütziger Verein Mit uns gehen Sie den Königsweg!",Germany,4.283295,,,
