Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Privilege Services Luxembourg,7461540.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/privilege-services,www.privilege-services.lu,"Privilege Services, LA référence en matière de Personnel Premium depuis 2012. Nous proposons des services d’assistance sur-mesure à destination des personnes privées et des entreprises : conciergerie & assistance privée, recrutement de personnel de maison, services d’accueil & secrétariat en outsourcing, formations. Nous mettons toute notre énergie au service de nos prestigieux Clients que nous sommes fiers de représenter et d’assister au quotidien. Nous sommes une agence réputée en recrutement & placement de personnel de maison haut-de-gamme au Luxembourg et en Europe.",Luxembourg,7.46154,,,
Parc-Immo Gestion,661258.0,"Luxembourg, Differdange, 23 Rue Adolphe Krieps, 4605",https://www.linkedin.com/company/parc-immo-gestion,parcimmo.lu,"With over 20 years of experience, Parc-Immo Gestion Sàrl is established as a leading player in the trustee of co-proprieties, real estate and facilities management fields in the Grand Duchy of Luxembourg. Thanks to all the years of experience, Parc-Immo Gestion Sàrl is adapting to the specificities of your residence and pays attention to your needs.  We are managing your residence in complete transparency, while optimizing your co-propriety fees through our framework contracts and integrating the rules of the new accounting decree. Choosing Parc-Immo Gestion Sàrl as trustee is choosing a rigorous, flexible and professional management of your co-propriety.  We are offering a whole range of services, such as: •	Property estimation •	Establishment of place current state •	Selling and renting •	Trustee of residences •	Rental Management •	Construction supervision •	Conciergerie If you need more information, do not hesitate to contact us on here or by phone: (+352) 58 08 40. *** Fort d´une expérience de 20 années, Parc-Immo Gestion Sàrl s´impose comme acteur de premier plan dans le métier de syndic de copropriété au Grand-Duché de Luxembourg. C´est grâce à cette expérience et tout à l´écoute de vos souhaits, que Parc-Immo Gestion Sàrl s´adapte aux spécifités de votre résidence. Gérer votre résidence en toute transparence, tout en optimisant vos charges de copropriété au travers de nos contrats cadres et en ayant intégré les règles du nouveau décret comptable, choisir Parc-immo Gestion Sàrl comme syndic c´est choisir une gestion rigoureuse, flexible et professionnelle de votre copropriété. Nous offrons une gamme de services, tels que: •	Estimation de propriété •	Etat de lieu •	Ventes et locations •	Syndic •	Gestion •	Gérance locative •	Surveillance des chantiers •	Conciergerie Si vous avez besoin de plus d'informations, n'hésitez pas à nous contacter ici ou par téléphone: (+352) 58 08 40 *** Mit einer Erfahrung von mehr als 20 Jahren auf dem luxemburgischen Immobilienmarkt, ist die Firma Parc-Immo Sàrl eine der ersten Anlaufstellen für Hausverwaltung, technische Immobilienverwaltung sowie -bewertung. Dank dieser Erfahrung und immer auf Augenhöhe mit der Kundschaft agierend, versichern wir, Parc-Immo Gestion, Ihnen einen zuverlässigen Service rund um Ihre Liegenschaft. Die transparente Hausverwaltung Ihrer Liegenschaft, die Optimisierung Ihrer Nebenkosten sowie die Begleitung Ihrer Renovierungsarbeiten liegt uns am Herzen. Unsere Angebotspalette umfasst die folgenden Kernpunkte : •	Immobilienbewertung und Expertise •	Bestandsaufnahme •	Verkauf und Vermietung •	Hausverwaltung •	Gérance locative •	Überwachung von Renovierungsmassnahmen •	technische Hausverwaltung, Conciergerie",Luxembourg,0.661258,,,
Mybnb,3761298.0,"Luxembourg, Luxembourg, Luxembourg, 228 Route D'esch, l-1471",https://www.linkedin.com/company/mybnb,www.mybnb.lu,"Affilié à Altea Immobilière et créé en 2017, Mybnb.lu est une conciergerie pour tout utilisateur de Airbnb.  L'objectif de cette plateforme est de permettre à chaque propriétaire de bénéficier d'un mode de gestion unique basé sur l'utilisation de la célèbre plateforme Airbnb.",Luxembourg,3.761298,,,
Sofirom Business Center,4847424.0,"Luxembourg, Pommerloch Pommerloch, 30 An Der Gaass, 9638",https://www.linkedin.com/company/sofirom-conseil,www.sofirom.com,"Sofirom business center est un incubateur privé 🇱🇺 Nous présentons un collectif d’experts dans les domaines de compétences suivants: Création de sociétés 🇱🇺🇧🇪🇪🇺 Fiscalité et comptabilité 🇱🇺🇧🇪🇪🇺 Domiciliation de sociétés 🇱🇺🇧🇪🇪🇺🇨🇦 Digitalisation, e-commerce 🔑 Présence sur les réseaux sociaux 🔑 Graphisme. Visibilité sur Google et autres moteurs de recherche🔑 La conversion est notre spécialité 🔑 Mise en conformité RGPD 🇪🇺Attestation juridique de conformité émise par un cabinet d’avocats indépendant 🇱🇺🇧🇪🇪🇺🇨🇦🇹🇷  Conseils juridiques 🇱🇺🇧🇪🇪🇺🇨🇦🇹🇷 Blockchain 🇱🇺🇧🇪🇪🇺🇨🇦 Recouvrement de créances amiables et judiciaires 🇱🇺🇧🇪🇪🇺🇨🇦 Renting de véhicules 🇱🇺🇧🇪🇪🇺 Conciergerie comptable et fiscale 🇱🇺🇧🇪🇪🇺🇨🇦 Audit « expert » en vidéoconférence  🇱🇺🇧🇪🇪🇺🇨🇦🇹🇷 Relation directe avec les institutions gouvernementales 🇱🇺🇧🇪🇪🇺🇨🇦 🇹🇷  Développement d’image de marque et de distribution de produits 🇱🇺🇧🇪🇪🇺🇨🇦 🇹🇷  Prise en charge de A à Z. Notre consortium représente plus 400 personnes de niveau universitaire ou équivalent.",Luxembourg,4.847424,,,
EMRESA Sympass,6481926.0,"Luxembourg, Bascharage, 105 Boulevard J.f Kennedy, l-4930",https://www.linkedin.com/company/emresa-sympass,www.sympass.lu,"Give equal advantages to all your colleagues, Improve purchasing power of all staff members with a minimal budget for the employer, Avoid workload for Human Resources departments. Network with over 1 100 trading partners, Around thirty activity sectors covered: cinemas, amusement parks, swimming pools, wellness centres, zoos, gift vouchers, sports activities, perfume and cosmetics stores, travel, fashion, fuel oil… Benefits in Luxembourg, France, Belgium and Germany. Sympass also negotiates B2B discounts to allow clients savings in their recruitment budget, training, end-of-year gifts, teambuilding, etc. Our company concierge services Our concierge service was specifically developed for Luxembourg, with the aim of ensuring staff well-being and motivation for our clients. Sympass, the reference! With over 400 professional clients and a loyalty rate of 95%, Sympass is the uncontested staff benefits leader in Luxembourg, Our clients count from 5 to over 4 000 staff and are spread throughout all activity sectors.",Luxembourg,6.481926,,,
Dupont & Jensen,557518.0,"Luxembourg, Luxembourg, Luxembourg, 41a Avenue Du Bois, l-1251",https://www.linkedin.com/company/dupont-jensen,www.dupontandjensen.com,"Le groupe L’agence de voyage Dupont & Jensen est une société Luxembourgeoise créée  en 2017. Elle est la filiale de la société Luxembourgeoise Jeverk qui regroupe les sociétés suivantes : •	La société suisse IBC Aviation, spécialisée dans la location de jets d’affaires à travers le monde, qui possède une succursale en France et un bureau de représentation à Monaco, •	La société Square Strategy Services spécialisée dans l’intelligence économique et la sureté. Elle est la société sœur  de la société Square Strategy basée à Paris et de la société Atlas Development Consulting à Casablanca.  De plus, les dirigeants travaillent dans le milieu de la Conciergerie de Luxe depuis 15 ans. Cette expérience ultra exigeante a permis de bâtir un réseau mondial de relations sur lesquelles s’appuyer, mais aussi de constamment tirer vers le haut le niveau de prestations proposées.  De ces métiers très exigeants est né l’ADN qui est commun à l’ensemble de nos collaborateurs, à savoir un sens exclusif du service à la clientèle. L’agence de voyages Dupont & Jensen Dupont & Jensen est une jeune agence de voyages spécialisée dans la création de voyages sur-mesure personnalisés à destination d’une clientèle exigeante et désireuse de service haut de gamme. Son équipe est à l’écoute de ses clients pour les  conseiller dans l’élaboration de leur projet de voyage aussi bien sur le plan professionnel que personnel et, ainsi, mettre à leur service son savoir-faire. Dupont & Jensen répond aux critères légaux de la profession (membre IATA), possède les garanties financières nécessaires, et travaille avec le principal GDS, Amadeus.  La force de Dupont & Jensen L’agence se distingue par les avantages suivants : •	Un haut sens du service hérité de ses activités dans l’aviation d’affaires et la Conciergerie de Luxe •	Un réseau mondial de relations •	Une disponibilité 24/7 •	Un interlocuteur unique •	Une confidentialité à toute épreuve",Luxembourg,0.557518,,,
ALGEAN GROUP,3144710.0,"Luxembourg, Luxembourg, Luxembourg, 44 Bld. Grande-duchesse Charlotte, l-1330",https://www.linkedin.com/company/algean-group,www.algeangroup.com,"ALGEAN GROUP invests in businesses with innovative concepts in the service economy.   Our portfolio to date covers the following sectors: marketing strategy advisory, event production and management, a travel, real estate research advisory and sales and lifestyle concierge services. We invest heavily in young talented people. We welcome them to our teams, train them and manage them as they become dynamic and effective executives, managers and leaders.   We have presence in Athens, London and Luxembourg.",Luxembourg,3.14471,,,
Templus - Conciergerie Par SMS,1080500.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/templus-conciergerie,templus.co,"Libérez-vous!  Templus est votre conciergerie par SMS. Déléguez vos tâches du quotidien par un simple SMS: pressing, ménage, courses, conduite de votre véhicule au garage ou pour le nettoyage et bien +. Envoyez nous votre demande par un simple SMS au +352 691 543212 et nous vous répondons en moins de 5 minutes ! ( sans frais ) La qualité et la confidentialité sont nos maîtres mots. Nos partenaires sont triés sur le volet afin de toujours garantir un service exemplaire. Vous pouvez également nous contacter par e-mail si vous souhaitez avoir des informations complémentaires : info@templus.co.",Luxembourg,1.0805,,,
The Key,994872.0,"Luxembourg, Luxembourg, Luxembourg, 11 Rue De La Gare, 1611",https://www.linkedin.com/company/thekey,www.the-key.ch,"The Key is an event agency based in Geneva, specialized in private events organisation. The Key is specialized to meet the expectations of a demanding clients, mainly from the Middle East and Russia. With an international network of contacts and a large experience in the luxury sector, the team works in the privacy of our customers quickly and accurately to them provide the best in compliance with their culture and traditions. Business trips, private parties, dinner, concierge...",Luxembourg,0.994872,,,
Privilèges D'Entreprises,3247770.0,"Luxembourg, Esch-sur-alzette, Esch-sur-alzette",https://www.linkedin.com/company/privilèges-d'entreprise,privilegesdentreprises.com,Privilèges d’Entreprise est leader en matière de Conciergerie d’entreprise au Grand-Duché du Luxembourg 	 Privilèges d’Entreprise est une solution souple proposée aux entreprises souhaitant mettre en place des programmes de services à la personne en entreprise.	 Privilèges d'Entreprise a déjà obtenu la confiance de dizaine d’entreprises composées de 1 à 1500 collaborateurs et nous avons développé un partenariat avec plusieurs centaines de fournisseurs. Privilèges d'Entreprise s'appuie sur une équipe d’une quinzaine de collaborateurs motivés et multilingues.,Luxembourg,3.24777,,,
