Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
AtysaFacilityServices SLU,52181.0,"Spain, Catalonia, Barcelona, 52 Carrer Rector Triadó",https://www.linkedin.com/company/atysafacilityservicesslu,www.atysa.com,"ATYSA Facility Services es una empresa de servicios externalizados fundada en 1990 en España. ATYSA Facility Services ofrece servicios externalizados como: limpieza general, gestión de infraestructuras deportivas, servicios técnicos especializados en limpiezas traumáticas, limpieza y desinfección de conductos (conducción de aire, conductos grasos y campanas), conserjería, recepción y control de accesos, formación y agencia de colocación. Todos los servicios de ATYSA Facility Services  son realizados por personal altamente cualificado formado en nuestro centro homologado. Contamos con las certificaciones ISO 14001 de gestión medio ambiental, ISO 9001 de sistema de calidad, OSHAS 18001 de sistema de gestión de salud y seguridad y SA 8000 de responsabilidad social internacional otorgados por el INSTITUTO CERTIFICAZIONE INTERNACIONAL I.C.I. ATYSA Facility Services se estructura en tres grandes divisiones de negocio:               ATYSA SERVICES: limpieza e higienización, servicios auxiliares y servicios técnicos especializados.               ATYSA SPORT: limpieza técnica deportiva y gestión deportiva.               ATYSA PRESTIGE: Servicios integrales para Real State A su vez, estas divisiones tienen el soporte de cuatro áreas de trabajo: •	I + D •	RECURSOS HUMANOS •	CONTABILIDAD Y FINANZAS",Spain,0.052181,,,
MANGLOBAL 2013 SL,1888002.0,"Spain, Tres, 38 Local 8 Sector Pueblos, 28760",https://www.linkedin.com/company/manglobal-2013-sl,www.manglobal2013sl.com,"¡Bienvenido Manglobal 2013 SL! Queremos acompañarte en cualquier momento del año por eso hemos formador Manglobal 2013 SL, la manera más fácil y sencilla de olvidarte de la limpieza y/o del mantenimiento. ¿Quienes somos? Somos una sociedad dedicada a todos los servicios integrales de mantenimientos conservaciones de edificios, instalaciones públicas y privadas, con una clara especialización en los sectores de Limpieza, Conserjería y Jardinería.   La experiencia de la empresa ha llevado a un alto grado de especialización en mantenimientos y conservaciones de todo tipo de instalaciones, tanto comunidades de propietarios como mancomunidades y empresas, así como otro tipo de instalaciones públicas o privadas.   Nos ponemos a su disposición una estructura de servicios profesionales de mantenimientos y conservaciones, con personal cualificado en cada caso,  así como maquinarias y productos de primera calidad. ¿Cuál es nuestro objetivo?  Nuestro objetivo es prestar un servicio de calidad y satisfacción personal al cliente, dando la máxima prioridad al cumplimiento las peticiones del cliente y ofrecer la calidad-precio más competitivo. ¿Como funcionamos?  Disponemos de una plantilla actualmente amplia de trabajadores con personal de supervisión, es decir, la satisfacción esta garantizada",Spain,1.888002,,,
GESPA S.L.,106313687.0,"Spain, Valencia, Paterna, 14 Ronda Isaac Peral, 46980",https://www.linkedin.com/company/gespa-s.l.,www.gespaterna.es,"•Gestión y Servicios de Paterna S.L.U. (GESPA) nace con el fin de gestionar de la forma más eficiente posible los servicios municipales que realiza, y con ello satisfacer las necesidades y expectativas de los ciudadanos de Paterna.  •La creación de GESPA se materializó el 23 de diciembre de 2.008, en sesión plenaria del Ayuntamiento de Paterna.  •Desde su inicio queremos que GESPA se caracterice por una absoluta orientación y vocación al ciudadano y la excelencia en el servicio.  •Cercanía, Implicación con el proyecto y Calidad del trabajo son nuestro valor añadido y la imagen que queremos transmitir. Los servicios que GESPA presta en la actualidad son: JARDINERÍA PODA BRIGADAS ORNATO LIMPIEZA EDIFICIOS LIMPIEZA VIARIA CONSERJERÍA NOTIFICACIONES MANTENIMIENTO EDIFICIOS ALUMBRADO PUBLICO TEATROS EVENTOS CENTROS SOCIALES GUARDERIAS TRANSPORTES ESPECIALES",Spain,106.313687,,,
Servicios CETEO,7330473.0,"Spain, Castille And León, Valladolid, 12 Camino Viejo De Simancas, 47008",https://www.linkedin.com/company/servicios-ceteo,www.ceteo.es,"CETEO SL es un Centro especial de empleo especializado en Servicios de Limpieza profesional, Servicios externos, Asesoría laboral, Enclaves laborales y Suministros para empresas. El servicio de Limpieza profesional incluiría Oficinas, Industrias, Instituciones, Inmuebles y cualquier persona que necesite un servicio profesional de limpieza.  El servicio de asesoría en integración laboral ayuda de manera integral a las empresas, a incorporar en su proceso productivo personas con discapacidad. Realizamos diversos servicios externos incluyendo: Conserjería, Control de accesos y recepción, Repartos, Conductores, Mantenimiento, Peonaje, Servicios industriales y logísticos, Telefonistas, Servicios administrativos, Gestión de documentación, Informática, Atención telefónica y telemarketing.  Respecto a los Enclaves laborales son servicios contratados entre una empresa y CETEO S.L. que serán realizados por trabajadores con discapacidad en el centro de trabajo de aquella.  Por último se ofrecen Suministros a precios competitivos tales como Consumibles informáticos, Material de Oficina, Regalo publicitario, Lotes de Navidad, Productos de limpieza, Vestuario de trabajo de alta calidad Los servicios o suministros contratados pueden utilizarse para cumplir las medidas alternativas , en caso de no cumplir el cupo mínimo de contratación del 2% del personal .",Spain,7.330473,,,
Mantenimiento De Comunidades Maxi Pool S.L.,100493.0,"Spain, Madrid, Sevilla, 16 Calle San Isidro, 28609",https://www.linkedin.com/company/mantenimiento-de-comunidades-maxi-pool-s-l,www.maxipoolsl.com,"Nuestra empresa:   Nos complace presentarles, MANTENIMIENTO DE COMUNIDADES MAXI  POOL S.L., una empresa con gran experiencia en el Servicio de Mantenimiento de Piscinas y Comunidades en Madrid. Gracias a la confianza de nuestros clientes y al servicio que les prestamos, somos un referente entre las empresas de servicios integrales.   Nuestro continuo esfuerzo por innovar, el uso de las últimas tecnologías y la especialización de nuestro personal nos permite ofrecerle un servicio de la más alta calidad, respetando el medio ambiente, a un precio realmente competitivo y garantizarle una excelente relación calidad/precio.   El trabajo diario con nuestros clientes nos permite desarrollar sistemas de trabajo que optimicen la calidad. Por ese motivo, podemos ofrecerle soluciones profesionales a cualquier problema relacionado con nuestras actividades.   Nuestra empresa está especializada en servicios de piscinas, limpieza y conserjería; limpieza de oficinas, empresas, comunidades.  MANTENIMIENTO DE COMUNIDADES MAXI POOL S.L., está compuesta por un equipo humano altamente cualificado para el desarrollo de servicios integrales en toda la Comunidad de Madrid, seleccionado de manera minuciosa y especializada en sus trabajos, debidamente uniformado con vestuario laboral, dando una excelente imagen y seriedad ante nuestros clientes.                                                              Un cordial saludo Nikoleta Yordanova Departamento Comercial",Spain,0.100493,,,
Grup Gies S.L.,73588.0,"Spain, Catalonia, El Vendrell, 21-23 Local 2 Carretera Santa Oliva, 43700",https://www.linkedin.com/company/grup-gies-s-l-,www.grupgies.com,"Empresa de servicios de mantenimiento a oficinas, particulares, naves, oficinas, etc.. en la provincia de Tarragona. Los servicios de mantenimiento que ofrecemos son de jardinería, limpieza y servicios auxiliares (mantenimiento informático, etc...) Además de estos servicios, nuestra empresa se ha especializado en la limpieza de casas de alquiler vacacional, ofreciendo nuestros servicios en toda Catalunya.",Spain,0.073588,,,
ALREAL SERVICIOS AUXILIARES SL,782765.0,Spain,https://www.linkedin.com/company/alreal-servicios-auxiliares-sl,www.alreal.es,"ALREAL SERVICIOS AUXILIARES SL  EMPRESA DE GESTIÓN DE CONSERJERÍA, LIMPIEZA Y MANTENIMIENTO DE COMUNIDADES",Spain,0.782765,,,
Mister Net S.L.,925235.0,"Spain, Valencia, Valencia/valència, 135 Avenida De Peris Y Valero, 46005",https://www.linkedin.com/company/mister-net-s-l-,www.misternetsl.com,"Somos una empresa de servicios de limpieza y mantenimiento con casi 500 clientes en Valencia y alrededores. Nuestros servicios van desde el mantenimiento integral de Comunidades de Propietarios (garaje, conserjería, limpieza, jardines, piscinas...) hasta la limpieza de empresas, despachos, guarderías, hoteles, etc...Todo ello con una trayectoria de 20 años de trabajo comprobado.",Spain,0.925235,,,
HISCONSA,5586716.0,"Spain, Madrid, Pozuelo De Alarcón",https://www.linkedin.com/company/hisconsa,www.hisconsa.es,"HISCONSA es una compañía que ofrece servicios generales a empresas en España desde hace casi 30 años. Nuestra empresa siempre ha hecho una apuesta seria por la calidad real y la honestidad profesional, obteniendo y actualizando las certificaciones de calidad más importantes. Desde su puesta en marcha, Hisconsa ha hecho una apuesta seria por la calidad real y la honestidad profesional, como base de nuestra organización y única forma de corresponder a la confianza que nuestros clientes depositan en nosotros. Por todo ello, disponer de la confianza de nuestros clientes, es el mayor exponente de la fiabilidad de nuestra compañía. Los servicios que ofrecemos a nuestros clientes son, entre otros:  - Conserjeria: Seleccionamos, formamos y ponemos a su disposición, personal para su servicio de conserjería y portería. - Recepcionistas: Seleccionamos y formamos a personal adecuado en función de los requerimientos del cliente en cuanto a experiencia y conocimiento de idiomas extranjeros, para los servicios de recepción en empresas de primer nivel. - Azafatas: Seleccionamos y formamos, en función de las características requeridas por el cliente a personal para su servicio de azafatas y puestos de información. - Mozos de Almacén: Seleccionamos, formamos y ponemos a su disposición personal para los servicios de mozos de almacén. - Limpieza: Realizamos todo tipo de limpieza, tanto interior como exterior, en empresas y comunidades. - Triaje: Ponemos a su disposición personal cualificado y formado en las tareas de selección y clasificación de residuos en Plantas de Gestión de Residuos Sólidos Urbanos. - Jardinería: Realizamos el diseño y mantenimiento de parques y jardines, con los recursos humanos y técnicos más avanzados.",Spain,5.586716,,,
Suit Multiservicios S.L.L.,48000.0,Spain,https://www.linkedin.com/company/suit-multiservicios-s-l-l-,www.suitmultiservicios.es,"SUIT MULTISERVICIOS, S.L.L. es una empresa que tiene por objetivo la subcontratación de servicios. Desarrollamos nuestra actividad en el campo de los servicios auxiliares.  Para hacer cumplir las necesidades de nuestros clientes, encontrando los mejores resultados.  Nuestra labor es la de contratar o subcontratar la realización de servicios diversos, mediante un precio cerrado y tenemos como finalidad la realización de un servicio mediante el correspondiente contrato de arrendamiento de obra o servicio.  La mayor diferencia con otras empresas de Servicios es la especialización, trato directo, rápido y “a medida”. Nuestro objeto social es la prestación de servicios relacionados con: - CONSERJERÍA - LIMPIEZA - CONSERVACIÓN - SANEAMIENTO - MANTENIMIENTO INTEGRAL Tanto en urbanizaciones, comunidades de propietarios, pisos, locales comerciales e industriales, oficinas, viviendas y edificios tanto de carácter público como privados. CNAE (Clasificación Nacional de Actividades Económicas)",Spain,0.048,,,
