Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Radisson Hotel Group,9197716410.0,"Belgium, Brussels Capital, Brussels, 44 Avenue Du Bourget, b-1130",https://www.linkedin.com/company/radisson-hotel-group,www.radissonhotels.com,"Radisson Hotel Group is one of the world's largest hotel groups with ten distinctive hotel brands, and more than 1,700 hotels in operation and under development in 120 countries. Its signature service philosophy is Every Moment Matters. Radisson Hotel Group portfolio includes Radisson Collection, art'otel, Radisson Blu, Radisson, Radisson RED, Radisson Individuals, Park Plaza, Park Inn by Radisson, Country Inn & Suites by Radisson, and prizeotel, brought together under one commercial umbrella brand Radisson Hotels.  Radisson Rewards is our global rewards program that delivers unique and personalized ways to create memorable moments that matter to our guests. Radisson Rewards offers exceptional loyalty benefits for our guests, meeting planners, travel agents and business partners.  Radisson Meetings places its guests and their needs at the heart of its offer and treats every meeting or event as more than just a date on the calendar. Radisson Meetings is built around three strong service commitments: Personal, Professional and Memorable, while delivering on the brilliant basics and our signature Yes I Can! service spirit and being uniquely 100% Carbon Neutral.  More than 100,000 team members work at Radisson Hotel Group and at the hotels licensed to operate in its systems.  For more information, visit radissonhotels.com.",Belgium,9197.71641,,,
Prize By Radisson,580842470.0,"Belgium, Brussels Capital, Brussels",https://www.linkedin.com/company/prizeotel---the-economy-hotel-by-karim-rashid,www.prizeotel.com,"Prize By Radisson is a dynamic hospitality brand that focuses on providing exceptional experiences for travelers through its innovative rewards program, Radisson Rewards. The company's mission is to create memorable moments for guests while fostering a sense of community and sustainability. Prize By Radisson caters to a diverse clientele, including leisure and business travelers, and partners with various organizations to enhance its offerings and community impact. The brand's target market includes individuals seeking value through loyalty rewards, such as free award nights and exclusive benefits, while also emphasizing responsible business practices that benefit both people and the planet. Through its commitment to ethical operations and community support, Prize By Radisson aims to be a leader in sustainable hospitality.",Belgium,580.84247,,,
DoubleTree By Hilton Brussels City,236930730.0,"Belgium, Brussels Capital, Brussels",https://www.linkedin.com/company/crowne-plaza-brussels,brusselscity.doubletree.com,"DoubleTree by Hilton Brussels City is a premier hotel situated in the heart of Brussels, designed to offer a seamless blend of comfort and convenience for both business and leisure travelers. As a proud member of the Hilton portfolio, the hotel is dedicated to delivering exceptional hospitality, ensuring that every guest feels welcomed and valued from the moment they arrive. The hotel's mission is to create a warm and inviting atmosphere, exemplified by their signature warm chocolate chip cookie welcome, which sets the tone for a memorable stay.  Catering to a diverse clientele, DoubleTree serves corporate travelers attending meetings and events, families on vacation, and tourists exploring the vibrant city of Brussels. The hotel actively partners with local businesses and organizations to enhance the guest experience and support community engagement, reflecting its commitment to sustainability and positive contributions to the local environment.  With a focus on creating memorable experiences, DoubleTree by Hilton Brussels City aims to be the top choice for travelers seeking quality accommodations and outstanding service in a central location. The hotel offers contemporary accommodations, thoughtful amenities, and unique dining experiences, all designed to make guests feel at home while traveling. As part of Hilton's broader vision, the hotel is positioned for growth and expansion in key markets worldwide, reinforcing its commitment to hospitality and human connections.",Belgium,236.93073,,,
OFF,114538788.0,"Belgium, Wallonia, Wavre, 412 Chaussée De Bruxelles",https://www.linkedin.com/company/offmeeting,www.off.be,"A hybrid space immersed in nature, designed for meetings, events and celebrations that carry meaning. With 28 bedrooms, 16 meeting spaces, and multiple terraces, OFF offers the scale of a professional venue with the intimacy of a getaway. Interiors are composed with care, balancing comfort and clarity, while flexible formats adapt to every need—from team-building to private celebrations. Just a short drive from Brussels.",Belgium,114.538788,,,
Femma,81429462.0,"Belgium, Brussels Capital, Brussels, 5 Urbain Britsierslaan, 1030",https://www.linkedin.com/company/femmavzw,www.femma.be,"Femma Wereldvrouwen maakt een wereld waar iedereen zich vrij voelt, en evenwicht vindt tussen werken, zorgen en tijd voor zichzelf.  In onze vrouwennetwerken dagen we elkaar uit om bewust tijd te maken voor vrije tijd.  We halen er kracht uit in verbinding met onszelf en met anderen.  Samen kijken we kritisch naar de wereld, maken we een vuist tegen onrecht en ontwerpen we een nieuwe samenleving.  Hier hebben we recht op!  Allemaal.",Belgium,81.429462,,,
Horeca International,76149414.0,"Belgium, Vlimmeren, 1b Gooskens, 2340",https://www.linkedin.com/company/horeca-international,www.horeca.international,"Horeca International is uw partner in professionele keukens voor de horeca, gespecialiseerd in UNOX ovens!",Belgium,76.149414,,,
Martin's Hotels,75000000.0,"Belgium, Brussels Capital, Brussels",https://www.linkedin.com/company/martin's-hotels,www.martinshotels.com,"9 Belgian cities - 12 hotels - 8 restaurants - 4 spa The key to Martin’s brand image is a great respect for heritage. Nearly every Martin’s hotel, villa, and restaurant has been built on sites with history and, often, drama. In 1904 a Spa Resort was built in Genval, later to become Schweppes’ first soft drink factory in Europe before being transformed into the Château Du Lac, a five star luxury resort, followed by a Victorian Country House restored as Martin’s Manoir du Lac. A 16th century Maison Morillon converted into a Convent in Leuven before becoming Martin’s Leuven, and, last but not least, Martin’s Patershof, a church converted into a modern hotel in the centre of Mechelen. Not forgetting of course Bruges and Bilzen – two highlights of Belgium’s destinations! With roots set deep in the past, each of these hotels has its own character and a story to tell. They combine quietness and romanticism with modern facilities, unique atmosphere and authentic values, and a warm welcome from a motivated staff! Inspired by the exceptional location of its hotels in the immediate proximity of golf clubs, Martin's Hotels offer golfers from all over Europe easy access to reservations and, often, good deals! In 2016, Martin's Red, home of the Red Devils in Tubize opened its doors and is accessible to everyone, athletes and non-athletes alike. A “must” visit for Belgian fans. Now Martin’s Agora, located in the university town Louvain-la-Neuve, attracts young and not so young alike, with a great restaurant, B’Comme, and beautiful pool and fitness facilities! In growing Martin's Hotels keep future generations in mind by taking care of the environment because today lays the foundations for tomorrow. Several hotels obtained the Green Key certification. More on tomorrowneedstoday.com Martin’s, a professional, family run hotel group, where passion is the driving force of this successful enterprise.",Belgium,75.0,,,
Ferm Huishoudhulp,73512692.0,"Belgium, Wijgmaal, 4 Remylaan, 3018",https://www.linkedin.com/company/puuur-huishoudhulp,www.samenferm.be,"Ferm Huishoudhulp is a dedicated provider of household assistance services, specializing in delivering high-quality cleaning and domestic support to clients in need. The company's mission is to enhance the quality of life for individuals and families by offering reliable and professional household help, allowing them to focus on their personal and professional commitments. Ferm Huishoudhulp primarily serves busy households, elderly clients, and individuals with disabilities, ensuring that their living environments remain clean and comfortable. The company collaborates with local partners to maintain a strong community presence and to ensure that its services are accessible to a diverse clientele. With a vision centered on trust, efficiency, and customer satisfaction, Ferm Huishoudhulp aims to be the go-to choice for household assistance in its market.",Belgium,73.512692,,,
Intersoc,71114742.0,"Belgium, Brussels Capital, Schaarbeek, 579 Haachtsesteenweg, 1030",https://www.linkedin.com/company/intersoc,www.intersoc.be,"Intersoc vzw is een reisorganisatie die vakanties aanbiedt aan CM-leden. Met een omzet van € 30 miljoen en meer dan 45.000 vakantiegasten per jaar zijn we sinds enkele decennia toonaangevend voor het familiaal toerisme in België. Naast gezinsvakanties organiseren we ook groepsreizen, sneeuwklassen en bedrijfsincentives. Ons hoofdkantoor bevindt zich in Brussel, maar de hoofdactiviteit speelt zich af in onze hotels in Frankrijk en Zwitserland. We hebben dus zowel in België als in het buitenland contractuele medewerkers.  Medewerkers in onze hotels helpen om het hele winter- of zomerseizoen alles in goede banen te leiden. In onze hotels helpen ook vrijwilligers. Zij krijgen de kans om deel uit te maken van een hotel- of animatieteam en zo bij te dragen aan de vakantiebeleving van onze gasten. In ruil voor hun inzet voorzien we vervoer en verblijf in volpension. In hun vrije tijd kunnen onze vrijwilligers genieten van de prachtige omgeving. Interesse in een betaalde job in het binnen- of buitenland bij Intersoc vzw? Surf naar www.intersoc.be/nl/jobs Liever meegaan als vrijwilliger? Ga dan naar www.intersocwerkvakanties.be/nl",Belgium,71.114742,,,
Plateforme Citoyenne - BELREFUGEES - Burgerplatform,71034211.0,"Belgium, Brussels Capital, Brussels",https://www.linkedin.com/company/plateforme-citoyenne-de-soutien-aux-réfugiés-bxl-refugees-,www.belrefugees.be,"« Pour une société plus ouverte et plus inclusive à l’égard des personnes en migration, la Plateforme Citoyenne – BelRefugees vise à mobiliser et fédérer les énergies citoyennes et associatives pour transformer les représentations et attitudes sociétales au sujet des personnes en migration et contribue à offrir une réponse à leurs besoins qui soit fondamentalement humaine et de qualité en développant, si nécessaire, de nouvelles solutions. » Confrontée à la mauvaise gestion de l’accueil en Belgique, la Plateforme Citoyenne de Soutien aux Réfugiés est fondée en septembre 2015 et se définit alors comme un espace de rencontre et de coordination des initiatives individuelles et collectives concernées par les questions migratoires. Depuis, la Plateforme Citoyenne assure, dans la mesure de ses moyens, un accueil inconditionnel, une réponse aux demandes d’information, de formation et d’assistance des exilé.e.s, migrant.e.s, demandeur.se.s d’asile, primo-arrivant.e.s et sans papiers, dans le plein respect de l’individu et de ses choix. Elle œuvre ainsi à l’intégration de ces personnes dans leur nouvel environnement. La Plateforme Citoyenne encourage au respect d’une politique migratoire en accord avec les conventions internationales, et dans le respect des droits de chacun. Elle est persuadée que seule une solution durable et solidaire, fondée sur le respect des droits humains et la fraternité universelle, peut être mise en place pour faire face à la crise mondiale de l’accueil que traverse notre époque. Fondée par des bénévoles, la Plateforme Citoyenne compte aujourd’hui sur la mobilisation et le travail quotidien plus de 220 salarié.e.s et mobilise plusieurs centaines de bénévoles par jour.",Belgium,71.034211,,,
