Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Valamar Riviera,283731000.0,"Croatia, Istria, Poreč, 1 Kaligari, 52440",https://www.linkedin.com/company/valamar,valamar-riviera.com,"Valamar Riviera is the leading Croatian tourism company that manages 36 hotels and resorts and 15 camping resorts along the Adriatic coast - in Istria, on the islands of Krk, Rab and Hvar, Makarska and Dubrovnik, and in Obertauern, Austria, accommodating more than 58,000 guests per day. Steered by sustainability and social responsibility, Valamar leads the innovative management of leisure tourism and creates new value for guests, employees, shareholders and local communities in partnership with its destinations.  Our vision To create really good holidays. Our mission Our mission is to create holidays that  are good for our guests, destinations, employees and the environment while aiming to create value for our share-  holders and partners. In doing so we aspire to be the leading holiday  provider in the Adriatic and the Alps. Our tagline Holiday as you are Our core values Good for our guests WELCOMING Each guest is unique, so holidays should be too. By crafting  holiday experiences tailored for the individual, we ensure every guest feels welcome, valued and amazed. ATTENTION TO DETAIL We are devoted to every detail  as to ensure guests leave with  lasting memories, deep  connections, and enriching  experiences, all while celebrating their true selves. Good for our employees PROUD EMPLOYER We believe our employees  breathe life into our assets. We strive to offer more than just a job, ensuring purpose and growth for every team member. INSPIRING We ensure competitive  benefits, foster a supportive work environment and en-courage continuous learning, enhancing our team’s well- being and career progression. Good for destinations COMMITTED Committed to sustainability,  we advocate for eco-friendly strategies aimed to efficiently manage and preserve all our  resources, protecting our  locals for future generations. RESPONSIBLE We support our communities and act responsibly in  business, understanding that  as our environment thrives  with us, we flourish with it",Croatia,283.731,,,
Maistra Hospitality Group,174811000.0,"Croatia, Istria, Rovinj, 6 Obala Vladimira Nazora, 52210",https://www.linkedin.com/company/maistrahospitalitygroup,posao.maistra.com,"Maistra Hospitality Group, part of the Adris Group concern, is successfully developing high-quality & luxury tourism in internationally recognised destinations in Rovinj, Vrsar, Zagreb, and Dubrovnik. Explore our job offer and join us!",Croatia,174.811,,,
Amadria Park,146005488.0,"Croatia, Šibensko-kniniska, Šibenik, 22000",https://www.linkedin.com/company/amadriapark,www.amadriapark.com,"Welcome to Amadria Park hotels. WHO IS AMADRIA PARK? Amadria Park is a leading Croatian family owned hotel brand created by the merger of two successful hotel brands Milenij hoteli from Opatija and Solaris Beach Resort from Šibenik.  https://buff.ly/2j4OxTE OUR VENUES Amadria Park represents a new style of hotels with a high service standard, designed for modern, informed travellers. A distinct guest experience complements our hotel offer. You can find our high category hotels in three outstanding locations – Opatija, Šibenik, and Zagreb. Opatija provides five hotels and two guest attractions, while Šibenik has four hotels and four guest attractions. A prestigious, heritage hotel represents our Zagreb offer. OUR CROATIAN HERITAGE We have a long-standing hospitality heritage in the Adriatic region. Since 1904 in fact. At the heart of our philosophy is a high standard of hospitality combined with continuous innovation. Our forward-thinking service approach lets us manage your needs individually. Your stay matters to us - business or leisure. We look forward to hosting You! Enjoy our clear sea, pristine nature, vibrant culture, local food, and wine traditions, and explore our towns and cities. We have unique 4 and 5-star properties in our two beautiful locations, so You can immerse yourself in a different world and draw inspiration from the unique surrounds. CONTACT AND INFO Booking: info@amadriapark.com Contact telephone numbers: Zagreb Tel: +385 51 278 007 Opatija Tel: +385 51 278 007 Šibenik Tel: +385 22 361 001   MICE contact: E-mail: mice@amadriapark.com Telephone: +385 22 361 054",Croatia,146.005488,,,
Arena Hospitality Group,127754802.0,"Croatia, Istria, Pula, 3 Smareglina, 52100",https://www.linkedin.com/company/arenahospitalitygroup,www.arenahospitalitygroup.com,"Arena Hospitality Group is a well-established hospitality group which owns, co-owns, leases, operates and develops full-service hotels, self-catering holiday apartment complexes and campsites in Croatia, Germany and Hungary. We have the exclusive right to operate and develop the recognized international Park Plaza® brand in 18 countries in the Central and Eastern Europe region (the ‘CEE region’), allowing us to further grow our Group.   Our primary objectives are to become a dynamic hospitality group in the upscale, upper upscale and lifestyle market segments in the CEE region, whilst striving to create and realize shareholder value. Our exclusive right to operate and develop hotels under the Park Plaza® brand covers 18 countries and provides us with excellent growth prospects across the region.   Our portfolio includes 27 owned, co-owned, leased and managed properties with over 10,000 units located in major gateway cities such as Berlin, Cologne and Budapest, and select resort destinations in Istria, Croatia. Our revenue is generated from different market segments – predominantly holidaymakers in Croatia and a diversified business mix in Germany and Hungary, catering for business and leisure travelers, as well as conference delegates and trade fair attendees.",Croatia,127.754802,,,
Sun Gardens Dubrovnik,85589424.0,"Croatia, Dubrovačko-neretvanska, Dubrovnik, 1 Na Moru, 20235",https://www.linkedin.com/company/sun-gardens-dubrovnik,www.sungardensdubrovnik.com,"Sun Gardens Dubrovnik, a 22 – hectare luxury resort set on the beautiful Adriatic coast, is located in Orašac, only 11 kilometres from the UNESCO World Heritage city of Dubrovnik. The resort is a part of The Leading Hotels of the World (Leading Hotels), a prestigious collection of independent luxury hotels.  Sun Gardens Dubrovnik features a 201-room hotel and 207 fully – appointed residences. Resort facilities include private beach, three pools, an awarded world-class spa, multifunctional sports centre, conference facilities, a variety of restaurants and bars featuring local and international cuisine, children programms and facilities and retail shopping area.",Croatia,85.589424,,,
Adriatic Luxury Hotels,68928092.0,"Croatia, Dubrovačko-neretvanska, Dubrovnik, 17 Vukovarska, 20000",https://www.linkedin.com/company/adriatic-luxury-hotels,www.adriaticluxuryhotels.com,"Adriatic Luxury Hotels management company is a premier hotel group managing luxurious hotels and villas in Dubrovnik, Croatia. The luxurious properties managed by ALH are distinctive for their diversity, providing guests with friendly hospitality and a warm welcome in luxurious facilities that offer: The hotels are located in magnificent settings in the city of Dubrovnik, one of the most beautiful cities on the Mediterranean. Our portfolio includes some of the most prestigious, award-winning properties in Croatia: Hotel Excelsior Dubrovnik Hotel Bellevue Dubrovnik Villa Agave Villa Orsula Villa Sheherezade Grand Villa Argentina Hotel Dubrovnik Palace Hotel Croatia Cavtat Villa Glavic Hotel Kompas Dubrovnik Hotel Odisej Mljet Hotel Supetar Cavtat",Croatia,68.928092,,,
MOGA - Mobile Gastronomy,68597406.0,"Croatia, City Of Zagreb, Buzin, 2 Buzinski Prilaz, 10010",https://www.linkedin.com/company/moga,moga.hr,"MOGA mobile gastronomy is a brand emerged from the 40-year tradition and experience of a family business engaged in metal industry. The production plants are rather advanced and fully equipped, and launch top quality and high-end products embraced on the European market. Today our products are known for their appearance and technical characteristics, and are designed and redesigned according to a customer’s needs. In the production, we utilize all of our potentials. MOGA is featured by the latest production technology and has an annual production capacity of 200 units.",Croatia,68.597406,,,
Aminess Hotels & Resorts,66898843.0,"Croatia, Novigrad, 8 Škverska, 52466",https://www.linkedin.com/company/laguna-novigrad-dd,www.aminess.com,"With over 55 years of experience in hospitality, Aminess Hotels & Resorts is one of the leading hospitality groups in Southeast Europe, specifically the Adriatic region. The Group’s presence is encapsulated in its entrepreneurial and progressive values, aspiring for excellence with the purpose to be a lifestyle provider for a modern traveler. The Group’s growth path has taken Aminess Hotels & Resorts from a homegrown owner-operator to a regional leader operating 16 hotels, 5 campsites and 3 resorts with villas and apartments in 8 beautiful destinations across the Adriatic. With its outstanding geographically-diversified reach, the Group’s portfolio consists of upscale and upper-midscale properties covering unique and picturesque locations across three coastal regions of the Adriatic, from north to south. With new locations under opening Aminess Hotels & Resorts continues its growth momentum, expanding the world of Aminess to our guests, our employees, and the local communities we serve. As part of its strategic redevelopment program, Aminess Hotels & Resorts is slated for an extensive investment plan to further reposition its portfolio, diversify its lodging and brand spectrum, expand its operating capabilities, and continue its sustainable growth momentum. Aminess Hotels & Resorts is the proud home of over 2000 employees – an integral part of the Group’s growth journey – a collection of diverse talent sharing the enthusiasm for friendly service, progress, and building lasting relations.",Croatia,66.898843,,,
Lošinj Hotels & Villas,66277199.0,"Croatia, Mali, 1 Dražica, 51550",https://www.linkedin.com/company/lo-inj-hotels-&-villas-by-jadranka-hoteli-ltd,www.losinj-hotels.com,"Lošinj Hotels & Villas is a distinguished collection of upscale and luxury hotels and villas situated on the picturesque island of Lošinj, Croatia. The brand strives to provide guests with unique experiences, blending local traditions with modern luxury in an enchanting, natural setting. The island of Lošinj has a rich heritage of healing dating back to the late 19th century, and Lošinj Hotels & Villas is dedicated to preserving and promoting this legacy of luxury and wellness. Lošinj Hotels & Villas owns and operates several properties, including Hotel Bellevue, Boutique Hotel Alhambra, and a number of ultra-luxury historic villas such as Captain’s Villa Rouge, Villa Hortensia, Villa Mirasol, and Villa Hygeia, as well as the latest addition to the collection, Villa Sea Princess Nika, set to open this July. Each property offers guests an unparalleled experience, combining the island's history, natural beauty, and commitment to well-being with world-class accommodations and services. Guests can immerse themselves in the island's healing traditions, indulge in rejuvenating spa treatments, and enjoy the finest in luxury hospitality at Lošinj Hotels & Villas.",Croatia,66.277199,,,
Liburnia Hotels & Villas,53788015.0,"Croatia, Opatija, 198 Ulica Maršala Tita, 51410",https://www.linkedin.com/company/liburnia-riviera-hotels,www.liburnia.hr,"At Liburnia Hotels & Villas, we redefine the hospitality experience through our collection of exquisite hotels and villas nestled in some of the most picturesque destinations along the pristine coast of the Riviera in the North Adriatic. With our rich heritage spanning over 75 years, we are renowned for our unwavering commitment to creating unforgettable memories for our guests. Our diverse portfolio of 18 properties features a range of accommodations, from elegant boutique hotels to lavish seaside villas, each offering a unique blend of modern comforts and authentic charm. At the heart of our operations lies a passionate team of hospitality professionals – a driving force behind our success – who are striving to create an environment that values excellence and promotes empowerment. As we continue to expand and evolve, we are on a mission to become the most progressive lifestyle provider in the region.",Croatia,53.788015,,,
Turisthotel DD,44053380.0,"Croatia, Nin, 78 Dražnikova Ulica, 23232",https://www.linkedin.com/company/turisthotel-dd,www.turisthotel.com.hr,Turisthotel DD is a company based out of Croatia.,Croatia,44.05338,,,
