Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
CPI Hotels,124608132.0,"Czech Republic, Praha, Prague, 17 Vladislavova, 100 00",https://www.linkedin.com/company/cpi-hotels,www.cpihotels.com,"CPI Hotels is one of the largest hotel groups in the Czech Republic. Our hotels can be found in 6 European countries and 15 destinations. In our portfolio you can find stylishly-furnished hotels from the brands Clarion, Quality, Comfort, Mamaison, Holiday Inn, Buddha-Bar, Spa & Kur, as well as other hotels that boast their very own brand. The chain of 4-star and full-service Clarion Hotels covers strategically the most important regional towns, currently involving 9 Clarion hotels in 7 Czech towns with a future view that Hotel Černigov operated by CPI Hotels in Hradec Králové will be presented under the Clarion brand. In January 2009 CPI Hotels introduced the unique project of the 5-star Buddha-Bar Hotel Prague, the first hotel of the international chain Buddha-Bar Hotels & Resorts. CPI Hotels operates a total of 3 middle-category hotels under their own brand Fortuna Hotels and 2 spa hotels under the brand Spa & Kur Hotels in Frantiskovy Lazne. In 2014 the portfolio of CPI Hotels has expanded by Mamaison Hotels & Residences brand. The company now therefore operates 9 hotels and residences of this brand in Prague, Ostrava, Bratislava, Warsaw, Budapest and Moscow. The independent Parkhotel Vienna Bielsko-Biała in Poland was added to the company portfolio. The CPI Hotels portfolio is supplemented by an offer of long-term and affordable accommodation at Ubytovny.cz.",Czech Republic,124.608132,,,
Hote OYA***,89365428.0,"Czech Republic, Praha, Prague, 1337/109 Na Pankráci, 14000",https://www.linkedin.com/company/hote-oya-,www.hoteloya.cz,"Hotel OYA*** is a mid-range hotel in Prague downtown. All members of staff including me tries to perform bespoken services with a friendly but professional approach.  The hotel is within walking distance of the brand-new Arkady shopping mall and the historical Vyšehrad area, which will certainly suit both groups. Close surroundings of the hotel also include for example the Prague Congress Centre or Pankrac office centre. Furthermore, visitors can relax in the local large park Kavči hory that offers a tremendous view of the Prague Castle and a breathtaking panorama of the city.",Czech Republic,89.365428,,,
Restaurant BLUE WAGON,76963000.0,Czech Republic,https://www.linkedin.com/company/restaurant-blue-wagon,www.bluewagon.cz,"Motto - Užijte si čas „být tady“... Co - Blue Wagon vám nabízí moderní gastronomii tak, jak má vypadat. Vaříme z kvalitních a čerstvých surovin, které zpracováváme šetrnými, zdravými metodami. Jak - K dobrému jídlu vám pochopitelně doporučíme vhodné víno – nabízíme nejen česká, francouzská či španělská, ale především vína rakouská, jejichž výběr máme největší v Praze. Proč - Skvělé jídlo a vynikající víno by ovšem neznamenalo nic bez dokonalého servisu. Vaše návštěva je pro nás vždy svátkem, a proto servis patří mezi klíčové ukazatele vaší spokojenosti. Kde - Blue Wagon naleznete na Královských Vinohradech, nedaleko od Náměstí Míru. Světlý a vzdušný interiér vás osloví svou jednoduchostí a důrazem na detail. Něco navíc - Rádi pro vás připravíme firemní setkání, jako jsou business obědy, promoce, pro teambuildingové aktivity nabízíme řízené degustace s naším sommelierem nebo pro vás připravíme speciální akce na objednávku. Anebo přijďte jen na romantickou večeři...",Czech Republic,76.963,,,
Zátiší Group,76149414.0,"Czech Republic, Praha, Prague, 5 Novotneho Lavka Prague",https://www.linkedin.com/company/zatisi-catering-group,www.zatisigroup.cz,"Zátiší Group is our family – yours and ours alike. It has had its ups and downs since its establishment in 1991 developing into a group of four exceptional restaurants V Zátiší, Bellevue, Mlýnec and Žofín Garden, Zátiší Catering providing services all over Europe and innovative Fresh&Tasty division.",Czech Republic,76.149414,,,
Hotel Perla,66709404.0,"Czech Republic, Praha, Prague, 412/1 Perlová, 110 00",https://www.linkedin.com/company/hotel-perla,www.perlahotel.cz,Hotel Perla in Prague.,Czech Republic,66.709404,,,
Pytloun Hotels,54752058.0,"Czech Republic, Liberecký, Liberec, 206 Hodkovická",https://www.linkedin.com/company/pytloun-hotels-group,www.pytloun-hotels.cz,"Zažijte českou pohostinnost tam, kde toto slovo naplňuje svůj pravý smysl. PYTLOUN HOTELS ve své stále rostoucí nabídce nabízí pohostinnost a péči o hosta již od roku 2003 a to ve 12ti ubytovacích zařízeních, která uspokojí jedinečné cestovní potřeby domácích i zahraničních hostů. PYTLOUN HOTELS patří k ceněným českým značkám. Jsou rodinou designových i tradičních hotelů nacházejících se jak v srdci hlavního města Prahy nebo v centru Liberce, tak i v krásných horských lokacích. Díky důsledné diverzifikaci portfolia nabízí ubytování pro všechny typy cestujících. Hostí si mohou vybrat z mnoha typů ubytování i odpovídajících cenových hladin. Díky nedávným akvizicím nyní skupina disponuje kapacitami pro městskou turistiku nebo business a konference, stejně jako pro pobyty v přírodě a wellness. Nesmí chybět potěšení způsobené skvělým jídlem umocněné čerstvými, nejlépe místními surovinami. Každý segment portfolia má svou vlastní osobnost a styl. Všechny ale sdílejí stejný závazek poskytovat klientům vynikající služby, moderní vybavení a výjimečnou hodnotu. K hodnotám, které považujeme za důležité, patří životní prostředí: Používáme pouze ekologickou kosmetiku a ekologické čistící prostředky v obalech ze 100% rozložitelného plastu. Recyklujeme teplo z použité odpadní vody. Používáme pouze energeticky úsporné zařízení, automatické řízení pokojů, efektivní hospodaření s energií (např. led žárovky, automatické elektrické závěsy, apod.). Máme dobíjecí stanice pro elektromobily. Ing. Lukáš Pytloun majitel",Czech Republic,54.752058,,,
Jan Hotels,52143124.0,"Czech Republic, Praha, Prague, 492 Teplická",https://www.linkedin.com/company/jan-hotels,www.janhotels.cz,"Our hotels are different in style but have in common the same principles of high hospitality standards. We make sure that when you enter any of our properties, you will be positively surprised, personally pampered and you will sense our family atmosphere. Hotel DUO Hotel Duo offers a wide range of quality and value for money services for leisure and business. Organize your perfect meeting in our newly-refurbished conference center with a big congress hall and 10 smaller meeting rooms. Tired after a long day? Enjoy your well-deserved relax in our Sport Center. Hotel Růže Hotel Růže is a celebration of Czech heritage. Unparalleled luxury and incredible attention to detail are what you'll experience from the moment you arrive at the hotel Hotel Old Inn OLDINN is a hotel of real charm, comfort, and service appealing to today’s sophisticated traveler seeking for local authenticates. We are here to provide you with all the needed information making sure you don’t miss a thing. Hotel Leonardo Enjoy an oasis of elegance and sophisticated hospitality located directly in the Old Town. Hotel Leonardo enjoys a very unique central and quiet location and offers.",Czech Republic,52.143124,,,
Scott.Weber Workspace,41985373.0,"Czech Republic, Hlavní Město Praha, 47 Václavské Náměstí, 110 00",https://www.linkedin.com/company/scott-&-weber,www.scottweber.cz,"Scott.Weber Workspace is more than just offices—we create inspiring environments where productivity meets wellbeing. Since 2009, we’ve been redefining the way people work, becoming the leader in premium flexible offices and event spaces in the Czech Republic. With 17 locations, nearly 67,000 m² of workspace, and over 8,500 workstations, we offer tailored solutions that blend flexibility, comfort, and community. We go beyond workspace. Our members enjoy professional workshops, networking events, and curated programs designed to foster professional growth. Wellbeing is just as essential—with dedicated spaces for fitness, yoga, massages, and even an in-house barber. To complete the experience, our Executive Chef crafts fresh, high-quality cuisine and exceptional coffee, creating an atmosphere where collaboration and creativity thrive. Our motto, Live Your Workday, captures our mission: integrating work and life seamlessly so everyone can grow, succeed, and feel inspired",Czech Republic,41.985373,,,
Mamaison Hotels & Residences,40906710.0,"Czech Republic, Praha, Prague, 26 Na Porici",https://www.linkedin.com/company/mamaison-hotels-&-residences,www.mamaison.com,"Mamaison Hotels & Residences – as individual as you! Mamaison Hotels & Residences are a unique collection of Boutique Hotels, Business & Conference Hotels, and All-Suites Residence Hotels, all leaders in the hospitality world across Central & Eastern Europe’s finest destinations like: Prague – Czech Republic Warsaw – Poland Bratislava – Slovakia Budapest – Hungary Moscow - Russia Appealing to both discerning leisure and business travelers alike, our individual flair is felt in everything that we do. From our charm and cuisine, to our service and facilities; we are as special and original as the people who stay with us. Each of our properties is individually designed, with attention to detail ensuring that our signature touches of welcoming warmth and coziness are present at every stage. Staying true to our name Mamaison, guests feel as comfortable as they do at home, while enjoying personalized service and truly stunning surroundings at some of the more famous historical, cultural and business hotspots within the heart of New Europe’s most beautiful, exciting and prestigious cities. With its blend of unique midscale to upscale deluxe properties and offering spacious rooms and suites, Mamaison both fulfils the expectations of international standards and exceeds them, while still providing excellent value-for-money for short and extended stays.",Czech Republic,40.90671,,,
Clarion Congress Hotel Prague,38599455.0,"Czech Republic, Praha, Prague, 33 Freyova",https://www.linkedin.com/company/clarion-congress-hotel-prague,www.cchp.cz,"Clarion Congress Hotel Prague - this leading congress hotel property in Prague is focused on international conferences, congress events and business travellers. The hotel is also very convenient for leisure. This multi functional property provides wide range of services under one roof – restaurants, bars, wellness & fitness centre, shopping mall, indoor garage parking and an easy access to historical city centre thanks to the underground station, busses and trams.",Czech Republic,38.599455,,,
