Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Tallink Hotels,47829384.0,"Estonia, Harjumaa, Tallinn, 5 A. Laikmaa, 10145",https://www.linkedin.com/company/tallink-hotels,www.tallinkhotels.com,"Tallink Hotels is part of the Tallink Group. Our hotels are located in Tallinn and Riga, next to the old town. We offer guests of all ages comfortable and flexible accommodation options, exquisite taste experiences, invigorating relaxation experiences and top-level event management. We are the preferred destination of both locals and foreign visitors for relaxation, active vacations and professional achievements. Let’s create unique experiences together!",Estonia,47.829384,,,
Legend Hotels & Spas,26432028.0,"Estonia, Harjumaa, Tallinn, 3 Rävala Pst",https://www.linkedin.com/company/legend-hotels,www.legendhotels.eu,"Legendhotels is multinational White Label hotel operating company. We are hotel professionals who operate various hotels owned by different property owners. With over 30 years of experience in the Industry, we are dedicated to excellence.",Estonia,26.432028,,,
Unique Hotels Group,23285358.0,"Estonia, Harjumaa, Tallinn, 23 Toompuiestee, 10137",https://www.linkedin.com/company/unique-hotels-group,www.uhotelsgroup.com,"5 hotels in Tallinn & Lahemaa National Park. Making your travel easy with sustainable, business-friendly accommodations.",Estonia,23.285358,,,
Brammer,15104016.0,"Estonia, Saare, Kuressaare",https://www.linkedin.com/company/brammer,www.karluti.ee,"Look at our homelist www.karluti.ee Majutuskoht asu Eesti suuremal saarel,Saaremaal,Kuressaare linnas.Hostel asub kesklinnas ja on avatud aastaringi.Kõik mugavused ja parim teenindus.Auto-ja jalgrattarent ning muud teenused.Linna suurim vaatamisväärsus,Kuressaare loss-kindlus asub hostelist 500 meetri kaugusel.",Estonia,15.104016,,,
Hermitage Group,12586680.0,"Estonia, Harjumaa, Tallinn, 2 Nooruse Tn",https://www.linkedin.com/company/hermitage-group,hermitagegroup.eu,"Hermitage Group is a General Sales Agent (GSA) — Sales, Marketing and PR consultancy to the travel & hospitality industry. We offer a full spectrum of services in Europe and the CIS countries. Our company has a unique experience and deep knowledge in promoting the luxury products and event management – from business breakfasts to gala dinners, roadshows and signature events. We can be your representatives to maintain the image of your brand and increase the sales!",Estonia,12.58668,,,
Pädaste Manor,12586680.0,Estonia,https://www.linkedin.com/company/p-daste-manor,www.padaste.ee,"Pädaste Manor is a five-star sanctuary on the island of Muhu. A 16th-century island haven set in lovely grounds overlooking the Baltic Sea. Pädaste Manor is a grand but homely Estonian hideaway promising excellent food, fantastic scenery, privacy, tranquillity and a unique selection of indigenous spa treatments.  An eye for detail, unashamed comfort and the power of the elements surrounding us make Pädaste Manor a very special destination. The estate is a haven of peace with wonderful places to relax and dream, yet it also inspires to exercise and explore, it invites to experience a very individual Spa concept and finest dining options. Above all there is the ambience, the charm and the service expertise that can only be found in a privately owned hotel.",Estonia,12.58668,,,
Ibis Styles Tallinn,11957346.0,"Estonia, Harjumaa, Tallinn, 19 Toompuiestee, 10137",https://www.linkedin.com/company/ibisstylestallinn,lermitagehotel.ee,"The 4-star Hotel L'Ermitage has a total of 122 guest rooms. The interior design of the comfortable and quiet rooms is inspired by the timeless elegance of the North, mixed with the hottest contemporary design trends. Windows open to spectacular views of Hirvepark (Deer Park), Toompea (Cathedral Hill), and Kassisaba (Cat’s Tail) – one of Tallinn’s oldest sub-districts.  In addition to guest rooms, the hotel also features two restaurants - L'Ermitage and Katze – an all-new contemporary conference hall, and a private sauna with a Jacuzzi.  A complimentary buffet breakfast is served in the modern Cafe Katze and also classically furnished restaurant L’Ermitage. At the lobby bar, guests can relax by the fire and enjoy a drink.  Hotel has outside parking lot and garage on the basement floor for an extra cost. All hotel is covered with fast and free WiFi connection.",Estonia,11.957346,,,
Hotellab.io,11957346.0,"Estonia, Harjumaa, Tallinn, 4 Keemia Tn, 10616",https://www.linkedin.com/company/hotellab-io,hotellab.io,"Transforming hotel pricing to profitability. Discover our unique blend of innovative revenue management strategies. Our solutions are tailored to enhance your hotel's profitability right from the start, whether you're a hotel chain or a charming boutique establishment. Ready to uncover the potential? Sign up for an audit with hotellab experts now: https://hotellab.io/en/demo",Estonia,11.957346,,,
Nordic Hotel Forum,10946885.0,"Estonia, Harjumaa, Tallinn, 3 Viru Väljak, 10111",https://www.linkedin.com/company/nordic-hotels-o-,www.nordichotels.eu,"At the heart of things - Nordic Hotel Forum is a modern four-star superior business and conference hotel in the very heart of Tallinn, at the prominent location on the edge of the picturesque Tallinn Old Town, a UNESCO World Heritage site. Tripadvisor Travellers´ Choice Awards Winner 2024.",Estonia,10.946885,,,
SPA TOURS OÜ,10508150.0,"Estonia, Harjumaa, Viimsi, 11 Randvere Tee",https://www.linkedin.com/company/viimsi-tervis-spa-hotel,www.spatallinn.ee,"SPA TOURS OÜ is the biggest SPA Hotel company in Estonia. The company owns three SPA Hotels across Estonia - Tallinn Viimsi SPA Hotel, Grand Rose SPA Hotel and Meresuu SPA & Hotel. The company also owns Atlantis H2O Aquapark, Viimsi Cinema, Black Rose Pub, Restaurant Rose and Viimsi SPA Spordiklubi.",Estonia,10.50815,,,
Hotell Pärnu OÜ,8810676.0,"Estonia, Pärnumaa, Pärnu, 44 Rüütli",https://www.linkedin.com/company/parnu-hotell,www.hotelparnu.com,,Estonia,8.810676,,,
LaSpa,7766893.0,"Estonia, Harjumaa, Laulasmaa, 4 Puhkekodu Tee, 76702",https://www.linkedin.com/company/laspalaulasmaa,www.laspa.ee,"Nestled between the long, sandy beach and the pine trees, LaSpa is a place for enjoying, relaxing and feeling and being well – both in body and soul. LaSpa is for the couple dreaming about some romantic days tête-a-tête. It is for family fun and, also, for you who travel alone and just want to pamper yourself with some “me-time”. LaSpa is for you who feel like working a few days away from the office while enjoying nature, the spa and the body treatments and the sporting facilities, a “wellbeing workation”. LaSpa is also a perfect place to meet up for teams and groups in a location very different from the office. Spending time here in Laulasmaa, in the middle of nature, enjoying fun activities as part of the conference, certainly boosts both creativity and team spirit. Our spa hotel is also a place to celebrate – birthdays, weddings, years of love, successes or that you are finally seeing the light in the tunnel after a challenging time. Finally, it is an amazing venue for a two-tree day trip with the girls or the guy gang. The LaSpa hotel consists of two separate buildings: LaSpa main house and LaSpa beach house. In the main building, you are close to the pool, the Naudi wellness spa, the restaurants, the lobby and the conference rooms. All the common parts have been beautifully renovated, but not yet our main house rooms. In the main building, there are 104 rooms, of which all seaside rooms have balconies.  At the end of 2022, we opened the doors to the totally renovated beach house. We hope you instantly feel that you are our guest in a warm, exclusive, Nordic beach house. We have chosen exclusive Swedish Carpe Diem beds, Nordic design furniture and details, and local art for you. The beach house is located 30 meters from the main building and is ideal for couples, single guests and for executive company groups who are looking for comfort, calm, privacy and beauty. In our beach house, we have 38 rooms, out of which 8 are spacious junior suites.",Estonia,7.766893,,,
NVOI Hospitality Consulting,7763146.0,"Estonia, Harjumaa, Tallinn",https://www.linkedin.com/company/nvoihospitality,www.nvoihospitality.com,"In a chaotic world, a hotel is where we feel at home. It’s where we feel the emotion. We help luxury hotels shape their brand to become associated with exceptionally unique and memorable experiences, while ensuring deep emotional connection between the brand and the guest.",Estonia,7.763146,,,
Kalev Spa Hotel & Water Park,7688146.0,"Estonia, Harjumaa, Tallinn, 18 Aia",https://www.linkedin.com/company/6866013,kalevspa.ee,"Kalev Spa Hotel and Water Park is a health, wellness and fitness company based in Tallinn, Estonia. We enrich the relaxing and active holidays of the residents and visitors of Tallinn through various well-being services provided at the heart of Tallinn in our contemporary and conveniently located Spa Hotel and Water Park.",Estonia,7.688146,,,
TallinnHotels,6922674.0,"Estonia, Harjumaa, Tallinn",https://www.linkedin.com/company/tallinnhotels-o-,www.tallinnhotels.ee,"TallinnHotels, an Estonian Hotel company, since 2005, is operating tree superbly located hotels at the edge of Old Town:  Savoy Boutique Hotel 5*, Hotel Palace 4*SUPERIOR and Hotel Bern as well two restaurants, representing modern fusion and Estonian cuisine in two different ways the Old Town of Tallinn: Konrad and MEKK. Both restaurants are nominated in the list of 50 all best restaurants of Estonia, and also at White Guide Nordic. The vision of TallinnHotels is representing Estonia. Welcome to Tallinn! P.S. BOOK YOUR STAY ONLINE  - www.tallinnhotels.ee",Estonia,6.922674,,,
Dzingel,6922674.0,"Estonia, Harjumaa, Tallinn, 89 Männiku Tee, 11213",https://www.linkedin.com/company/dzingel,www.dzingel.ee,"Dzingel is a multifunctional hotel located only 5 km away from the Tallinn (Estonia) city center. A spacious hotel with an accommodation capacity up to 600 guests, 8 conference rooms, a restaurant and a wide variety of extra services make Dzingel a convenient choice for both business and leisure travelers. Everyone feels at home in our hotel: active leisure devotees, families with children, tourists and businessmen traveling by car, couples dreaming of a romantic vacation in the fabulous city of Tallinn, pet owners, students, organized tourist groups, school field trips, sports teams and everyone who is looking for great quality services for an affordable price.",Estonia,6.922674,,,
Hotel Lydia,6853141.0,"Estonia, Tartu, Tartu, 14 Ülikooli, 51003",https://www.linkedin.com/company/lydiahotel,www.lydia.ee,"Hotel Lydia, which blends the atmosphere of the Old Town with architecture that is every inch contemporary, welcomes guests on the slope of Toomemägi Hill just behind Tartu’s Town Hall Square. Hotel Lydia is 4 star superior hotel Lydia that has 70 rooms, a spa lounge offering a variety of saunas and other relaxation options, a fitness club, the Hõlm restaurant and an event centre with cutting-edge sound, lighting and video solutions.",Estonia,6.853141,,,
Hedon SPA & HOTEL,6363128.0,"Estonia, Pärnumaa, Pärnu, 1 Ranna Puiestee, 80012",https://www.linkedin.com/company/hedon-spa-hotel,www.hedonspa.com,"Its slogan - Pleasures live here – is the best ambassador of what to expect at Hedon SPA & HOTEL. Hedon as a building is a unique mix of old traditions and modern opportunities. The spa-side of the building is old and gracious – a beautiful example of neo-classistic architecture built already in 1926-27 – it is the symbol of Pärnu and its long spa traditions. The sea-side of the building, where the hotel and the two restaurants are situated, on the other hand, is modern, Northern and minimalistic. The old and the new part are in perfect harmony.  There are 75 bedrooms in the Hedon SPA & HOTEL of which 7 are located in the unique historic Mud Bath building and 68 rooms are in the modern part of the building. All bedrooms have air-conditioning, bath robes for guests, slippers and spa bags with an extra towel to make the visit to the spa comfortable. All hotel rooms are non-smoking. Each room has a tea and coffee making facilities and mini bar for extra charge. Rich breakfast with sparkling wine, bathing area and gym are included in the room rate.  Two conference rooms for meetings or seminars are located on the ground floor (one room 68 m2 up to 70 customers and other room 32 m2 up to 20 customers). For more private meetings we recommend to book a suite. A modern boutique spa in the unique historic Mud Bath building gathered inspiration from ancient traditions of beauty and well-being all over the world. We have collected a selection of the best treatments. We invite you to an exciting journey to the most beautiful places in the world – the original ancient beauty rituals offer fascinating new pleasures, the joy of recognition and the opportunity to switch off the everyday life for a while. Two superb restaurants offer marvellous taste experiences. Restaurant Akord offers delicious grilled dishes and a´la carte restaurant Raimond offers heavenly gourmet experiences.  We hope to see You soon at Hedon SPA & HOTEL!",Estonia,6.363128,,,
Hotel Telegraaf,6143560.0,"Estonia, Harjumaa, Tallinn, 9 Vene, 10123",https://www.linkedin.com/company/hotel-telegraaf,www.telegraafhotel.com,"Hotel Telegraaf is part of medieval Tallinn’s Old Town, which dates back to as far as the 13th century. The magnificent hotel building was constructed as an exchange station for the Estonian Telegraph company in 1878 and is situated next to the gabled houses, half-hidden courtyards and the Town Hall Square. Unparalleled service and a mix of historic ambience make it the ideal choice for discerning business and leisure travellers. Location Hotel Telegraaf is ideally located at the beginning of Vene Street. City centre, fashion  boutiques and cultural institutions are only walking distance away. Travelling by plane, the  hotel is less than 15 minute drive away. Travel from harbour and train station is around 10 minutes.",Estonia,6.14356,,,
Metropol Spa Hotel,6067566.0,"Estonia, Harjumaa, Tallinn, 9 Roseni, 10111",https://www.linkedin.com/company/metropol-spa-hotel,www.metropol.ee,Only a few steps from the legendary Tallinn Old Town. The best place to be.,Estonia,6.067566,,,
Dorpat Hotel & Restaurant,5699890.0,"Estonia, Tartu, Tartu, 6 Soola, 51013",https://www.linkedin.com/company/dorpat-hotel-restaurant,www.dorpat.ee,"Dorpat Hotel & Restaurant is located in Tartu city centre, in the middle of the main business area. Many rooms enjoy views over the city or the Emajõgi River – scenes of Tartu you’ll never forget! The Dorpat restaurant, with a view over the Emajõgi River, offers a fine selection of Estonian and international cuisine. The restaurant has been recognised for its quality several years in a row. If you wish to taste the wonderful South-Estonian flavours, this is the place to be!",Estonia,5.69989,,,
Seven & Sons Hospitality Group,5699890.0,"Estonia, Tartu, Tartu, 7 Ülikooli",https://www.linkedin.com/company/seven-sons-hospitality-group,www.sevensons.ee,"""Seven & Sons on kamp muhedaid sõpru, keda liidab siiras soov inimesi õnnelikemaks teha"" Teame, et ainult jagatud rõõm on tõeline rõõm, ning seetõttu oleme võtnud oma missiooniks luua maailmasse kohti, kus on kõigil mõnus aega veeta. Seven & Sons Hospitality Group pakub igapäevaselt restoranide ja baaride elamust, millele lisaks tegeleme meid kõiki ühendava catering´iga. Kariibi mere kokteilid segatuna maailmaköögiga – kõik on võimalik. Meie miljööde võtmesõnadeks on hubasus, vaba õhkkond ja südamlik teenindus. Võtame külalised alati vastu siira heatahtlikkuse ja külalislahkusega ning teeme kõik, et nad tunneksid end meie seltsis oodatuna. Lahkudes on igaüks veelgi rõõmsam kui saabudes. Meie spirit animal on jõuline tiiger, mis sümboliseerib teenuse kõrget kvaliteeti ning tema mõnulev olek jällegi inspireerivat ja muhedat ellusuhtumist. #keepitsimplestupid Meie gruppi kuuluvad: Kolm Tilli 🍕 Pepe's Bistro & Social Club 🍝 RIKI-TIKI 🧉 Väike Kuuba Tartu & Pärnu 🌞",Estonia,5.69989,,,
Revify,5656358.0,"Estonia, Harjumaa, Tallinn, 5 Narva Mnt, 10117",https://www.linkedin.com/company/revify,www.revify.net,"Established in early 2019 Revify is a dynamically growing leader in providing remote business services for the tourism sector. We are focused on providing strategic engagements to independent hotels, resorts, and small chains.",Estonia,5.656358,,,
Mövenpick Hotel Tallinn,5482513.0,"Estonia, Harjumaa, Tallinn, 12 Lembitu, 10114",https://www.linkedin.com/company/movenpickhoteltallinn,movenpicktallinn.ee,L'Embitu Hotel Tallinn has rebranded into Mövenpick Hotel Tallinn.  We make moments!,Estonia,5.482513,,,
Pirita Marina Hotel & SPA,5034672.0,"Estonia, Harjumaa, Tallinn",https://www.linkedin.com/company/pirita-marina-hotel-spa,piritamarinahotel.ee,1980 Tallinn Olympic regatta changed Tallinn Pirita Marina Hotel & SPA is a former Olympic Village and a part of Tallinn Olympic Sailing Center. Hotel hosted first guests in July 1979  during Spartakiade of Nations. Olympic Village was officially opened in 28.06.1980 Tallinn Olympic Sailing Center was rewarded in 1983 with special prize of Union Internationale des Architectes (UIA) biennale and therefore Hotel is under heritage protection as an architectural monument because for unique concrete construction and numerous objects of interior design.,Estonia,5.034672,,,
Roosta Puhkeküla,5025637.0,"Estonia, Lääne, Noarootsi Vald Elbiku, Elbiku, 91202",https://www.linkedin.com/company/roosta-puhkeküla,www.roosta.ee,"Successful seminars and conferences, relaxing vacations and unforgettable adventures all take place here, because we know how to make your dreams come true. The beautiful nature of Läänemaa stimulates your senses and the comfortable holiday houses provide cosy accommodation all year round. You are always welcome at the Roosta Holiday Village, the meeting place of good thoughts!",Estonia,5.025637,,,
ESTONIA Resort Hotel & Spa 4*,5025637.0,"Estonia, Pärnumaa, Pärnu, 4a/6 A.h. Tammsaare Pst, 80010",https://www.linkedin.com/company/estonia-resort-hotel-spa,www.spaestonia.ee,"ESTONIA Resort Hotel & Spa**** is a spa and conference hotel in Pärnu with a new concept that opened in July 2015. The hotel has a total of 106 guest rooms, all air-conditioned and non-smoking. The first floor of the spa and conference building boasts an international conference center for more than 300 guests. The second and third floor offer guests a unique spa and sauna center where one can mindfully balance their body and soul. The hotel’s interior and conception of service absorbs inspiration from Estonian nature, ethnic traditions, crafts, and culture.",Estonia,5.025637,,,
CRASHBED,4755513.0,"Estonia, Harjumaa, Tallinn, 10118",https://www.linkedin.com/company/crashbed,www.crashbed.com,"CrashBed Hospitality offers a flexible monthly payment solution for modular homes, designed for tourism and short-term rental operators. Fully furnished and perfect for 2–4 guests, these homes help expand accommodation options quickly with minimal upfront investment.  Simple, flexible, and profitable!",Estonia,4.755513,,,
SOHO Hotel And Restaurant,4755513.0,"Estonia, Tartu, Tartu, 9 Rüütli, 51007",https://www.linkedin.com/company/soho-hotel-and-restaurant,www.hotellsoho.ee,"SOHO is not just a hotel. SOHO’s not just a restaurant either. Located in the center of Tartu, SOHO is a hub bringing together anyone from family and friends to various other groups of visitors for a truly memorable time. Our guests can also stay overnight in one of our 59 rooms and dine in style. SOHO is ideal for anyone who loves a great location. A location where restaurants, cafes, entertainment and shopping are within walking distance, and one can care freely immerse in the legendary vibe of Tartu. SOHO is here for you when it comes to either business or pleasure. SOHO – your next stop in Tartu!",Estonia,4.755513,,,
