Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Comfort Vilnius Hotel,96934000.0,"Lithuania, Vilnius, Vilnius",https://www.linkedin.com/company/comfort-vilnius,www.comfort.lt,"Cozy and Comfortable, 3 star hotel in Vilnius Old Town, Comfort Vilnius, located in  Geliu str 5.  57 Comfortable, rooms, with unforgettable view of Vilnius Old Town. Only 5 minutes walk to main Vilnius street, all activities, bars, night clubs, theaters and concert Halls. Few minutes walk from Bus and train station, and only 6 km, from International Vilnius Airport VNO, and Exhibition center Litexpo.",Lithuania,96.934,,,
Europa Group,46144485.0,"Lithuania, Vilnius, Vilnius, 6 Ausros Vartu Str., lt-01129",https://www.linkedin.com/company/europa-group,www.groupeuropa.com,"Europa Group Hotels chain was founded in 2000. In 2001 the first hotel Europa Royale opened its doors in Vilnius, the capital of Lithuania. Since then Europa Group Hotels is known as one of the most occupied and successfully operating hotels in the market. Europa Group Hotels offer three unique concepts brands designed to provide additional value for diverse customer segments via differentiated service, whilst maintaining local flavours: 'Europa Royale Hotels' for the up-market class hotels. 'Europa City Hotels' for the mid-range category hotels. 'Europa Stay Hotels' for the smart budget hotels. We are the specialists in the hospitality industry, aiming to offer our guests only delightful experiences of exceptional value. One of the main objectives is to spread the recognition of prime leading brands in the Baltic’s and Central & Easter Europe as a sphere of excellence that manages and operates the finest hotels located in city centres. Our goals, views and values are the cornerstone of our personalised service provided on the behalf of our guests through which we aim to satisfy the differing needs of our customers. Our success is based on excellent communication, transparency and clear understanding between our hotel staff and guests’ needs. This allows us to monitor, improve and innovate for our differing customers' needs and provide extra value. Our model warrants fair accomplishment to our employees, customers and the company’s long term future.",Lithuania,46.144485,,,
Vilnius Grand Resort,39648042.0,"Lithuania, Vilnius, Vilnius, 14200 Ezeraiciu Str.2",https://www.linkedin.com/company/vilnius-grand-resort,www.vilniusgrandresort.com,"Vilnius Grand Resort is situated just 20 minutes outside of downtown Vilnius. The luxury resort is set within its own expansive grounds, surrounded by lakes, pine and birch forests. Vilnius Grand Resort is a leading Lithuanian hospitality company with the combination of service: a well-appointed rooms hotel, an amazing championship golf course The V Golf Club, a revitalizing wellness center The V SPA & Wellness center, different cuisines restaurants and the largest venue for corporate events, meetings, weddings and celebrations in Lithuania.  With 240 guest rooms, there is a variety of accommodation spanning from classic guestrooms to family rooms, to suites, all with modern comforts and luxury amenities.  Vilnius Grand Resort offers you the highest standards of comfort and service.",Lithuania,39.648042,,,
Hotel PACAI Vilnius,21016300.0,"Lithuania, Vilnius, Vilnius, 7 Didžioji, lt-01128",https://www.linkedin.com/company/hotelpacai,www.hotelpacai.com,"Built in 1677 as the most magnificent mansion in the Grand Duchy of Lithuania, owned by a national legend and cultural ambassador of Lithuania Kazimieras Mykolas Pacas, the building's legacy as a hotel begins in 2018 Spring. As the first Design Hotels member in Baltic States, Hotel PACAI is located on the most stunning Vilnius Old Town street, lined by thousands of historical touches. Here, bold cosmopolitan, design-savvy travelers come together to experience the history, local culture, outstanding design and fine food that all celebrates a vibrant life.  Hotel PACAI is created by the passionate team of local architects and designers. Rich past elements are masterfully blended into fresh approach to luxury and contemporary design solutions. The hotel captures the spirit of Vilnius itself: historic, passionate, making you feel awaited, vibrant and young in its spirit. As soon as you step into the lobby, the atmosphere pulsing new experiences. The 104 rooms & suites is the perfect synthesis of multiple creative visions coming together in a historical building that is as much a remarkable heritage as it is a place celebrating the present uniqueness of Lithuania and Baltic culture.  Selected by Michelin Guide, Restaurant PACAI invites guests to discover Lithuanian nature's hidden gems and present them in a way that showcases their true brilliance on the plate. The newly renovated 17th-century building also has three meeting rooms and an exclusive courtyard, which brings the sense of the informal splendor. Hotel features an award winning SPA PACAI with treatment rooms, sauna, fitness, making this place perfect for a restful getaway.  Bringing together the ideas that might seem unrelated, creating a common theme that relates to the singularity of the site's history, Hotel PACAI follows the principal: to be a liberating experience. It is our ambition of hospitality that we wish to make a way of life.",Lithuania,21.0163,,,
Amberton Hotel group,17361291.0,"Lithuania, Kaunas, Kaunas, 8 V. Kuzmos G., 44280",https://www.linkedin.com/company/amberton-hotels,www.ambertonhotels.com,"Amberton hotel group is one of the biggest Lithuanian hotel chains currently managing four different hotels: Amberton Hotel in Vilnius offering professional and pleasant service, comfort and quality right in the heart of Vilnius,  Amberton Cosy in Kaunas offering warm atmosphere, home feeling, professional staff and personal attention to everyone in the heart of Kaunas Old Town! Amberton Klaipeda - the biggest hotel in Western Lithuania, a unique project that is more accurately called “City within the City” instead of a “hotel”. Amberton Green Apartments Palanga - offering a unique location allowing to enjoy the view of Raze streamlet and dive into the live symbol of summer capital - J.Basanavicius promenade. Our mission is to provide value and opportunities for our employees, value for money for our customers and money for our shareholders.  For more information please visit www.ambertonhotels.com",Lithuania,17.361291,,,
National Hotel,15533787.0,"Lithuania, Klaipėda County, Klaipėda, 21 Žvejų Str, lt-92405",https://www.linkedin.com/company/national-hotel,nationalhotel.lt,"Hotel National is located in the very heart of Klaipeda's Old Town, it is a historically and architecturally unique building. Resurrected from the ashes in 1855, it is now a 4* cozy boutique hotel with the spirit of Klaipeda's past, where hospitality traditions are cherished.",Lithuania,15.533787,,,
Apex Alliance Hotel Management,12447721.0,"Lithuania, Vilnius, Vilnius, 19 Šeimyniškių Str.",https://www.linkedin.com/company/15203619,www.apexalliance.eu,"Apex Alliance is an international hospitality group headquartered in Lithuania, specializing in hotel development and management. With a total investment portfolio of €627 million, the group has recently expanded its managed hotel portfolio to 17 properties across Italy, Romania, Poland, Lithuania, Latvia, and Estonia. Three more hotels are expected to open by the end of 2025. Its operating company, Apex Alliance Hotel Management, manages internationally recognized franchise brands, including Hilton, Marriott, and Radisson.",Lithuania,12.447721,,,
Gradiali,10508150.0,"Lithuania, Klaipėda County, Palanga, 15 Vanagupės G.",https://www.linkedin.com/company/wellness-spa-gradiali,www.gradiali.lt,"Residential complex and wellness center located in an astonishing place of a pine forest on the banks of the Baltic sea side.  Gradiali has 275 comfortable and modern rooms: single, double, mini suites, luxury suites and apartments.  Gradiali Spa‘s menu is a dedication to health and wellness, complemented by beauty procedures, modern SPA complex, bathouse and pool area, injections and laser procedures. The complex was created with the aim of escaping the stressful urban life, relaxing the body and soul with wide selection of SPA and wellness procedures. Does it look like usual treatments? Of the first sight – maybe. But the secreat of uniqueness hides in the mineral water that is used in all procedures containing water .  Gradiali offers a variety of health promotion services: spacious swimming pools, Turkish steam baths, luxury whirlpool baths, abundant body massages, herbal bubble mineral water bath, mud treatments and many other procedures. Wellness resort specializes in treating a series of illnesses, including neurological, cardiological, pulmonological, endocrinal, gynecological, as well as illnesses connected to the movement-support apparatus and the digestive system. Gradiali has 570 m depth mineral water bore.  Gradiali conference centre are ideal for a variety of events. The conference hall is furnished with high quality audio and video equipment, a large screen and has other conference facilities, which ensures the high quality of the service. Gradiali Restaurant “Pineta” is surrounded by pinewood, enabling you to enjoy the nature at your elbow while tasting the most popular Mediterranean dishes.  Roof top terrace “Pineta” is located in 8th floor and invites guests to enjoy amazing sunsets with a glass of nice cocktail. For those who are longing for recreation amidst peace and quiet, want to enjoy a breath of fresh air – Wellness & SPA Gradiali is the perfect venue.",Lithuania,10.50815,,,
Hilton Garden Inn Vilnius City Centre,9137521.0,"Lithuania, Vilnius, Vilnius, 44b Gedimino Prospektas, 01110",https://www.linkedin.com/company/hilton-garden-inn-vilnius-city-center,www.hgivilnius.hgi.com,"The first Hilton in Lithuanian capital Vilnius. Hotel is perfectly located in the main street of Vilnius - Gediminas Avenue, running between the Seimas parliamentary hall and historical  Lukiškės Square. In the neighborhood - new oﬃce building, Ministry of the Foreign aﬀairs, Lithuanian Parliament, museums, and newly reconstructed Lukiskiu square - popular meeting spot for locals.  Hotel is a part of an 18,000-square-metre multi - functional complex Live Square, opened in 2019, where one  can nd business center, retail gallery, cafés, restaurants, luxury apartment building and open public space. UNESCO protected Old Town is at mere 20 minutes walking distance and Vilnius International airport only 5,5 km from the hotel. You  will  find  yourself  in  the  midle  of  history  and  culture.",Lithuania,9.137521,,,
Panorama Hotel,8810676.0,"Lithuania, Vilnius, Vilnius, 14 Sodu Gatve, 01313",https://www.linkedin.com/company/panorama-hotel-vilnius,www.panoramahotel.lt,"Panorama Hotel guests can stay in 224 rooms which comply with requirements set for 3 plus star hotels. Guests can enjoy an impressive panorama of the Old Town and skyscrapers of Vilnius through the hotel windows. Panorama Hotel has a cozy and spacious restaurant, inviting you to enjoy a hearty breakfast and a quick business lunch. The restaurant’s alacarte menu offers classic European cuisine. A nearby bar is open for guests every day. Hotel’s modern conference center, one of the largest in the capital, offers eight differently sized functional halls. Local and international conferences and seminars, different entertainment events, parties, and exhibitions are hosted here.",Lithuania,8.810676,,,
