Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
AccorInvest,4475615900.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/accor-invest,www.essendi.com,"We dedicate our resources to locations, spaces and cities which offer opportunities for the future. We magnify existing assets to restore their full attractiveness. We design smart buildings to meet tomorrow’s challenges: more connected, more environmentally friendly, accessible to all and in touch with their surroundings. We satisfy our guests’ expectations and needs, by offering them an exceptional quality of welcome and service, and enabling them to enjoy new experiences. We are a strongly-bond group of exceptionally talented people, whose inventiveness and passion enable us to look to the future with confidence. Every day, we empower our teams to achieve their full potential. We do far more than build, invest, operate. We create sustainable value for the hospitality of tomorrow. We are AccorInvest. AccorInvest is present in 26 countries, with more than hotels managed by Accor. As a hotel investor and owner, AccorInvest’s mission is to manage and optimize its assets in the economy and midscale segments. We have high ambitions to generate capital which will accelerate our growth: we renovate existing assets to boost their potential, we acquire property to expand our portfolio, we build new hotels to take advantage of the most dynamic locations and markets and we select the best, most experienced brands to manage our hotels and maximise the value of our properties. In this way, we create value for all stakeholders, from our employees and guests to our shareholders and partners. Thanks to their unfailing support, AccorInvest is increasingly becoming a strong reference on the hospitality market.",Luxembourg,4475.6159,,,
DoubleTree By Hilton Luxembourg,401326990.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/doubletree-luxembourg,www.luxembourg.doubletree.com,"DoubleTree by Hilton Luxembourg is a premier hotel located in the heart of Luxembourg, offering a blend of comfort and hospitality to both business and leisure travelers. As part of the globally recognized Hilton brand, the hotel is committed to its mission of spreading the light and warmth of hospitality, ensuring that every guest feels welcomed and valued. The hotel caters to a diverse clientele, including corporate guests, families, and tourists, providing a range of amenities such as spacious accommodations, meeting facilities, and dining options. With a focus on creating memorable experiences, DoubleTree by Hilton Luxembourg aims to uphold Hilton's vision of being the most hospitable company in the world, supported by a strong workplace culture that prioritizes the well-being and growth of its team members. The hotel also engages with local communities and partners to enhance its service offerings and contribute to the region's economic development.",Luxembourg,401.32699,,,
Candrian,103468000.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/candrian,www.candrian.com,"Die Candrian Catering AG ist ein Gastronomieunternehmen mit eigenen Restaurations- und Hotelbetrieben im Grossraum Zürich und der Stadt Basel. Mit einem Mitarbeiterbestand von rund 1‘000 Mitarbeitenden zählt sie mit insgesamt 40 Restaurationsbetrieben und Take Outs, sowie 2 Hotels zu den grössten und gepflegtesten Gastronomieunternehmungen der Schweiz.",Luxembourg,103.468,,,
Hotel Le Royal Luxembourg,93959778.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/hotel-le-royal-luxembourg,luxembourg.leroyal.com,"Le Royal Hotels & Resorts - Luxembourg is a five-star Superior hotel in the heart of Luxembourg and member of the Leading Hotels of the World. Brasserie ""Amélys"" and the Piano Bar epitomize culinary excellence, while the Health Club offers professional spa treatments, a fitness centre and an indoor swimming pool. Golden Keys Concierge service, airport shuttle bus, parking and a lovely boutique complete the first-class experience.",Luxembourg,93.959778,,,
Excellence Group,85589424.0,"Luxembourg, Clervaux Clervaux, 14 Grand-rue",https://www.linkedin.com/company/excellence-hotels-luxembourg,excellence-group.lu,"Excellence Group, located in the picturesque town of Clervaux, Luxembourg, specializes in providing unique event experiences through its innovative concept, ""Rent a City."" This exclusive offering allows companies to privatize the entire historic pedestrian center of Clervaux for corporate events, accommodating groups of 150 to 200 people. The company's mission is to create unforgettable gatherings by combining exceptional hospitality with a vibrant atmosphere, featuring gourmet food stalls, personalized decorations, and lively entertainment. Excellence Group caters to a diverse clientele, including businesses seeking memorable team-building experiences and unique corporate gatherings. With a focus on delivering all-inclusive event solutions, the company partners with its hotels to provide seamless accommodations and services, ensuring every detail is meticulously planned for a successful event.",Luxembourg,85.589424,,,
Hôtel Le Place D'Armes,33092752.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/11060597,hotel-leplacedarmes.com,"Hôtel Le Place D'Armes is a luxurious hotel located in the heart of Luxembourg, offering an exquisite blend of historical elegance and modern comfort. The hotel features opulent accommodations, including the stunning Suite Cristal, which showcases a grand salon and antique furnishings reminiscent of the 17th century. With a mission to provide an unparalleled guest experience, the hotel caters to both business and leisure travelers, ensuring a serene and sophisticated environment. Its amenities include 24-hour room service, complimentary Wi-Fi, and soundproof windows, making it an ideal choice for discerning clients seeking relaxation or a productive stay. The hotel aims to create memorable experiences for families, business groups, and couples alike, positioning itself as a premier destination in Luxembourg's hospitality landscape.",Luxembourg,33.092752,,,
Adventure Valley Durbuy,28949364.0,"Luxembourg, Durbuy, 1 Rue De Rome, 6940",https://www.linkedin.com/company/adventure-valley-durbuy,www.adventure-valley.be,"With its many years of experience, Adventure Valley is your ideal partner for the organisation and management of your tailor-made events! We offer a wide range of possibilities (activities, accommodation, catering...). Our team is at your disposal to personalise your stay according to your expectations. Many companies have already found their way to Durbuy, which is why that is why we continue to invest in the reception of groups and the organisation of new activities.",Luxembourg,28.949364,,,
Château D'Urspelt ****S Luxembourg,14474682.0,"Luxembourg, Urspelt Clervaux, Am Schlass, 9774",https://www.linkedin.com/company/ch-teau-d'urspelt,www.chateau-urspelt.lu,"Located in a green stunning environment, our establishment has been entirely renovated between 2005 & 2008, trying to fully respect the original heritage of the building and giving it all the comfort and charm of a particularly refined 4 **** Superior resort.  Since then, we are very happy to welcome all year round many groups of individuals, as well quality, luxury & unforgettable events.  First Award-winning Historical Castle Resort in Grand-Duchy of Luxembourg.",Luxembourg,14.474682,,,
RegiÔtels,13216014.0,"Luxembourg, Luxembourg, Luxembourg, 2 Rue De La Chapelle, 1325",https://www.linkedin.com/company/regiotels,www.regiotels.com,"At RegiÔtels, we are passionate about lending our expertise to clients who need it most: independent hotels who struggle with growing their revenue and profits. Since being founded in May 2017, our great team of experts with global experience actively work for hotels in the areas of digital marketing, revenue management, e-commerce as well as sales and marketing.  Being part of RegiÔtels means being able to benefit from the experience and skillsets of the team to make a real difference in hoteliers’ lives.     We believe that jobs of the future will involve tasks requiring social intelligence, complex critical thinking, creative problem solving, as well as initiative taking. As such, we operate on a very personal level with our hotel partners and are in constant touch with them to improve their livelihood and to advance regional hotel industry standards.",Luxembourg,13.216014,,,
Cercle Munster,10046014.0,"Luxembourg, Luxembourg, Luxembourg, 5-7 Rue Munster, l-2160",https://www.linkedin.com/company/le-cercle-munster,munster.lu,"The Cercle Munster was founded in 1982 by a group of entrepreneurs who sought to create a Luxembourg club modeled on the Anglo-Saxon tradition of a Gentleman’s Club. In their view, the economic and social development of Luxembourg had reached a point that justified the creation of a top quality service that would attract corporate executives, senior partners and representatives of the international institutions as its members. Recruitment was, and still is, based on the model whereby a candidate member must be proposed and seconded by two existing Members, and subsequently approved by the Admissions Committee. Since its creation, the Cercle Munster has consistently set a standard in the Grand Duchy with respect to culinary excellence, event management and receptions. The artistic, musical and culinary evenings held at the Cercle provide a perfect ambience in which to meet up with professional acquaintances or personal friends, while providing an opportunity to make new acquaintances.",Luxembourg,10.046014,,,
