Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Db Hotels + Resorts,412593681.0,"Malta, Saint Paul’s Bay, Triq It-turisti",https://www.linkedin.com/company/db-hotels-resorts,www.dbhotelsresorts.com,"db has a vision which is as clear as it is ambitious. We run hotels and resorts which strive to be rated by guests amongst the top ten in Europe. db has a story to tell. About itself and what it stands for. About where we see ourselves in the world. Above all, it is a story of the people who enter our hotels as guests and leave as friends.",Malta,412.593681,,,
AX Hotels,348618481.0,"Malta, Il-mosta, Mosta, Triq Id-difiża Civili",https://www.linkedin.com/company/2276836,www.axhotelsmalta.com,"Over the past four decades, AX Hotels has grown into one of the most renowned and successful homegrown hotel operators in Malta. What sets us apart is our diverse range of hospitality experiences which cater to travellers and holidaymakers of all stripes. Whether guests are seeking a highly exclusive hotel experience, a romantic getaway, a fun family-friendly stay, or a stylish business holiday, there is an AX Hotel property that’s pitch-perfect for their tastes, needs, and budget.",Malta,348.618481,,,
Preluna Hotel,78810029.0,"Malta, Tas-sliema, Sliema, 124 Tower Road",https://www.linkedin.com/company/preluna-hotel,www.preluna.com,"Welcome to Preluna Hotel – Malta’s Iconic Seafront Escape. Situated in the heart of Sliema, The Preluna Hotel offers a perfect blend of comfort, style, and authentic Maltese hospitality. Our 300-room property features panoramic sea views, multiple dining experiences, a luxurious spa, Seaside beach club, and easy access to Malta’s vibrant culture and nightlife. Whether you're visiting for business, a romantic getaway, or a family holiday, Preluna provides exceptional service, tailored experiences, and modern amenities to make your stay unforgettable.",Malta,78.810029,,,
Waterfront Hotel,71392614.0,"Malta, Tas-sliema, Sliema, 1028 Triq Ix Xatt Tas-sliema Slm, 1028",https://www.linkedin.com/company/the-waterfront-hotel,www.waterfronthotelmalta.com,"Overlooking the city of Sliema, the open seas and the unmistakable silhouette of the capital city Valletta, The Waterfront Hotel is the perfect choice for discerning travellers.  An enchanting destination, The Waterfront Hotel retains its charm throughout the seasons. Guests can unwind in the hotel’s bright and comfortable guest rooms or chill in the Hotel’s Lobby Bar where one can keep in touch with friends and family with internet access. The 165 rooms and suites, most of which are Sea view, are maintained to a very high standard and have spacious balconies and set with amenities to make every stay a memorable one.",Malta,71.392614,,,
Ramla Bay Resort Malta,65829553.0,"Malta, Mellieha Mlh, Triq Ir-ramla",https://www.linkedin.com/company/ramla-bay-resort-malta,www.ramlabayresort.com,"Location Set in one of the most captivating parts of Malta, surrounded by the Mediterranean Sea  and Maltese countryside, the Resort boasts of a truly unbeatable location if one wishes to make the most of the natural beauty in the area. The surrounding area is also free from traffic and noise pollution and is ideal for leisurely country walks or for a refreshing jog in the countryside. Guests can experience the relaxing lifestyle of the local culture on visits to nearby villages of Mellieha or Mġarr or take a short boat trip to the sister island of Gozo and visit quaint villages or the Megalithic Temples of Ġgantija. Trips to the Blue Lagoon in Comino can easily be taken from our water sports centre located next to our small private beach. The on site diving centre offers amazing experiences of the seabed of one of the most popular diving destinations in Europe. A dive trip to Malta is not complete without going to Cirkewwa, the Blue Hole and Inland Sea.  The New Project We shall be replacing the old wing with three new buildings featuring the distinctive atrium and indoor lush garden concept that has rapidly become synonymous with the Ramla Bay Resort. The project is expected to be completed by summer 2024.   The new addition will feature 400 guest rooms and suites thoughtfully designed to maximise on the views of the Mediterranean or the countryside and four distinct dining options and two bars offering the flavours of the Mediterranean and beyond. Complementing our award-winning Carisma Spa, a new family pool and fitness centre will also feature. Conference facilities will also be available offering 960m2 of flexible event space, with the largest venue taking over 600 in theatre. There will also be ample retail space and scattered relaxation areas. Upon completion, guests can make use of three outdoor pools and kids pool, rocky sunbathing areas at the water’s edge and a small private sandy beach. The external areas will also incorporate lush vegetation.",Malta,65.829553,,,
Be.hotel Malta,62120846.0,"Malta, St. Julian's Stj, St. Georges Bay",https://www.linkedin.com/company/be-hotel-malta,www.behotelmalta.com,"be.hotel The designer-styled 4 star be.hotel is conveniently located within the Bay Street Tourist Complex which is sited right in the very heart of Malta’s top leisure and entertainment destination – St Julian’s. The hotel is within easy walking distance of the blue-flagged sandy beach of St George’s Bay and the vibrant nightlife of Paceville and St. Julian’s that offer a wealth of choice in restaurants, bars, casinos, marinas, cinemas, a bowling centre and other entertainment establishments. be.hotel with its new design of modern urban luxury, oozes a pleasing look-and-feel. The hotel prides itself on its strict guidelines that provides the conscientious guest with peace of mind as regards quality and service that is commensurate with the hotel’s credo of making all guests feel special as in fact, they are.  The Property consists of two wings built around a pedestrianised retail and dining mall which is open from 10am to 10pm seven days a week, making be.hotel the perfect affordable choice for both business travellers as well as young fashion and design savvy holiday makers. Guests have a choice of 216 Deluxe rooms (100 with balconies), 18 Studio apartments, 26 Deluxe rooms with Sea Views and 8 Deluxe Suites, all meticulously finished to a designer-led concept. All rooms and apartments are equipped with en-suite bathrooms, air-conditioning, direct-dial telephone, in-room safe, flat screen interactive HDTV and a frigo bar which can be stocked to your choice (at a charge). Free WiFi and tea and coffee making facilities are also provided in all rooms. be.hotel amenities include, a roof-top swimming pool (May to Oct) with its own bar, hair and beauty salon, fitness room, a tenth floor Conference Suite with natural sunlight, a fully equipped language school, 650 square meters of amusement area, a Bistro and other dining venues. An indoor car park is also available (at a charge). be.hotel adheres to a strict non-smoking and no-pet policy.",Malta,62.120846,,,
DoubleTree By Hilton Malta,48213194.0,Malta,https://www.linkedin.com/company/1795044,www.hilton.com,"We’re located on the seaside resort of Qawra, with beautiful views of the Mediterranean Sea and St. Paul’s Island. Our coastal haven offers a variety of restaurants, shops, entertainment & conference and meeting facilities.",Malta,48.213194,,,
Cavalieri Art Hotel A Member Of Radisson Individuals,47286017.0,"Malta, St. Julian's, Spinola Road, stj 3019",https://www.linkedin.com/company/cavalieri-art-hotel,www.cavalierihotel.com,"The Cavalieri Hotel is a four star Malta Hotel set in a quiet and unique location directly overlooking the popular and picturesque St. Julians Bay, Malta. The hotel is also located on the doorstep of the Portomaso Yacht Marina and within easy walking distance to the popular resort’s attractions. These attractions include Malta’s most popular nightlife area, the Dragonara Casino and Spinola Bay – the heart of St. Julians. The seafront and beautiful promenade with its many bars, restaurants and shops as well as the main bus routes to Valletta and Sliema and to the Gozo ferry terminal are all close by. The Cavalieri Hotel faces south and is right on the water’s edge. It is modern, stylish with comfortable furnishings and attractive décor and consists of well-appointed hotel rooms with full sea views of St. Julians Bay or the Portomaso Yacht Marina with the sea beyond.",Malta,47.286017,,,
Island Hotels Group,44853737.0,Malta,https://www.linkedin.com/company/island-hotels-group,www.islandhotels.com,"Island Hotels Group has been operating for the past twenty-eight years and from humble beginnings in 1987, with a small two hundred bed hotel, it has today become one of Malta’s leading companies in the hospitality industry, incorporating the Coastline Hotel, The Radisson Blu Resort in St Julians and Island Caterers which provides a range of catering services to a vast list of clients. In addition to this, through the Group’s partnership with Mayfair Overseas Holdings the group also owns 50% of The Radisson Blu Resort & Spa in Golden Sands and 50% of Azure Group, Malta’s leading promoters of the vacation ownership holiday concept.",Malta,44.853737,,,
Db Group Malta,38014249.0,"Malta, Mellieħa Mlh, Triq Il-marfa",https://www.linkedin.com/company/db-group-malta,www.dbgroupmalta.com,"The db Group has grown from a family-run business into Malta’s foremost corporate player in the tourism, hospitality & leisure sector, and beyond. In the 1980s, Silvio Debono, the Group’s founder, operated a small guesthouse. Today, as db Group Chairman, he sits at the helm of the largest operation in Malta. Over the last four decades the Group has forged strategic relationships with a range of global players including Hard Rock Café International, Starbucks, the Accor Hotel Group, and RIU Hotels & Resorts. As a result, we accumulated invaluable business acumen and operational experience.  This track record has enabled us to establish our very own unique brand, db Hotels + Resorts, driven by the fundamental principle of excellence in everything we do. Year-on-year, the Group won a number of prestigious global awards, positioning it at the forefront of the Maltese hospitality and catering industry. In due course, and prudently, the Group diversified its core operations, taking in contract catering, healthcare, and property development under its wing.",Malta,38.014249,,,
