Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
PHH Hotele,580842470.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/amw-hotele,www.phhhotele.pl,Spółka PHH Hotele posiada 12 hoteli i obiektów ulokowanych w 11 największych miastach Polski.,Poland,580.84247,,,
Sheraton Sopot Hotel,436128462.0,"Poland, Pomerania, Sopot",https://www.linkedin.com/company/sheraton-sopot-hotel,www.sheratonsopot.pl,"Sheraton Sopot Hotel is located by the Baltic Sea and sandy beach, close to the historic Sopot Pier. Sheraton Sopot Hotel offers 189 guest rooms equipped with comfortable Sheraton’s Signature Bed, 10 renovated suites, 2 dining restaurants: Restauracja Café serving polish-regional specialities, Wave Restaurant with Mediterranean cuisine and 512 Bar. An unique localization and specific vibe of the city of Sopot make Sheraton Sopot Hotel a perfect place not only for a leisure but also for a business meetings. The Sheraton Sopot Hotel Conference Center with 4000sq. m., offers the largest conference and banquet area in region. 10 multi-functional rooms are equipped with an extensive range of audiovisual technology where you can arrange any type of meeting, conference, workshops, presentation, group incentive tips or weddings in Baltic Panorama ballroom. The only one with sea view in the region. Contact us +48 58 767 1670 // Conference.Sopot@sheraton.com  _______________________________________ Sheraton Sopot Hotel zlokalizowany jest w pięknych okolicznościach nadmorskiej natury. Położony jest tuż przy plaży, w samym sercu kurortu, obok najdłuższego drewnianego molo w Europie. Bliskość Bałtyku, piaszczystej plaży oraz słynnego deptaka Monte Cassino czynią z Hotelu Sheraton nie tylko wspaniałe miejsce wypoczynku, ale również  idealną przestrzeń konferencyjną z wyjątkowym klimatem dla biznesu. Sheraton Sopot Hotel posiada największe w regionie Centrum Konferencyjne. Ponad 4000 m² przestrzeni konferencyjnej i bankietowej, dzieli się na 10 wielofunkcyjnych sal, które zostały wyposażone w nowoczesny sprzęt audiowizualny. Sale została zaprojektowana w sposób umożliwiający organizację każdego wydarzenia, od eventów, konferencji, po spotkania biznesowe, szkolenia, warsztaty, boardmeeting, uroczystości prywatne, imprezy integracyjne oraz wesela w sali balowej Baltic Panorama. Jedynej w Trójmieście z widokiem na morze. Zapraszamy do kontaktu 58 767 1670 // Conference.Sopot@sheraton.com",Poland,436.128462,,,
Orbis S.A.,146227000.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/grupa-orbis,www.essendi.com,"Essendi is a leading hotel owner and operator in Europe. Beyond hospitality, we create dynamic, valuable places where people connect and thrive. Through responsible investments and operations, we bring Positive Hospitality to life for our people, our guests, and the communities beyond our walls.",Poland,146.227,,,
Grupa Arche,135612970.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/grupaarche,www.arche.pl,"Grupa Arche is a prominent Polish development company specializing in the revitalization of historical properties, transforming them into modern business hotels and community spaces. With a mission to preserve cultural heritage while fostering local communities, Arche focuses on innovative investments that breathe new life into neglected landmarks. The company operates a network of 21 hotels across Poland, catering to a diverse clientele that includes business travelers and tourists seeking unique accommodations. Arche's commitment to social responsibility is evident through its initiatives that support marginalized groups and promote sustainable development. By actively engaging with local communities and stakeholders, Grupa Arche aims to create spaces that not only serve as hospitality venues but also contribute positively to their surroundings.",Poland,135.61297,,,
Grupa MTP,122471350.0,"Poland, Greater Poland, Poznań",https://www.linkedin.com/company/grupamtp,www.grupamtp.pl,"Grupa MTP is a leading organizer of trade fairs and events in Poland, renowned for its role in facilitating business connections and showcasing innovative solutions across various industries. With a mission to create dynamic platforms for networking and knowledge exchange, the company hosts a range of events, including international trade fairs, conferences, and promotional events both domestically and abroad. Grupa MTP serves a diverse clientele, including global industry leaders, local manufacturers, and startups, fostering collaboration and innovation within sectors such as woodworking, logistics, and technology. The company is committed to sustainable development and corporate social responsibility, as evidenced by its numerous awards and recognitions, including the Gold Medal and Acanthus Aureus. Through its extensive exhibition infrastructure and technical services, Grupa MTP aims to enhance the experience of exhibitors and visitors alike, solidifying its position as a key player in the event management landscape in Central and Eastern Europe.",Poland,122.47135,,,
Qubus Hotel,109504116.0,"Poland, Lower Silesia, Głogów",https://www.linkedin.com/company/qubus-hotel,www.qubushotel.com,"Qubus Hotel is a prominent hotel chain in Poland, renowned for its high-quality accommodations and exceptional service across 14 locations, including major cities such as Gliwice, Kraków, and Wrocław. The company is dedicated to providing memorable hospitality experiences, focusing on comfort, convenience, and customer satisfaction. With a mission to ensure guest satisfaction, Qubus Hotel emphasizes a welcoming atmosphere and modern amenities, including air-conditioned rooms, free internet access, and on-site dining options that showcase both local and international cuisine.  Catering to both business travelers and families seeking leisure, Qubus Hotel offers well-equipped conference facilities, making it an ideal choice for corporate events and meetings. The hotel chain targets a diverse market, including corporate clients, tourists, and families, ensuring a tailored experience for all guests. To enhance its offerings, Qubus Hotel collaborates with various partners in the travel and tourism sector, providing corporate agreements and special packages that cater to the unique needs of its clientele.  With a vision to be a leader in the hospitality industry, Qubus Hotel is committed to creating memorable stays that leave a lasting impression on its guests. The combination of modern amenities, exceptional service, and a focus on guest satisfaction positions Qubus Hotel as a preferred choice for travelers seeking both leisure and business accommodations in Poland.",Poland,109.504116,,,
PURO Hotels,104339636.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/3113731,www.purohotel.pl,"PURO Hotels is a contemporary hotel brand that operates in several key Polish cities, including Warsaw, Gdańsk, Cracow, Łódź, Poznań, and Wrocław. The company is dedicated to providing stylish accommodations that seamlessly blend modern design with local culture, creating unique experiences for both leisure and business travelers. PURO's mission is to offer a welcoming environment that fosters creativity and connection, while its vision emphasizes sustainability and community engagement. The brand caters to a diverse clientele, including tourists, business professionals, and event planners, ensuring that each guest feels at home in a vibrant and comfortable setting. With a commitment to quality and innovation, PURO Hotels seeks to be a leader in the hospitality sector, showcasing the best of Polish culture and hospitality. The company enhances the guest experience through personalized services and a focus on sustainability, striving to minimize its environmental impact. PURO Hotels targets young professionals, creative individuals, and tourists who are looking for a unique and engaging stay. By collaborating with local artists and culinary partners, PURO Hotels fosters a sense of community and cultural engagement, making each location a true reflection of its surroundings. This approach not only enriches the guest experience but also supports local economies and promotes cultural appreciation.",Poland,104.339636,,,
Interferie S.A.,79071471.0,"Poland, Lower Silesia, Legnica",https://www.linkedin.com/company/hotele-w-górach-i-ośrodki-nad-morzem-interferie,www.interferie.pl,"Interferie S.A. is a dynamic travel agency and a prominent Polish hotel chain based in Lower Silesia, specializing in group stays, MICE (Meetings, Incentives, Conferences, and Exhibitions) events, and active retreats. With over 30 years of experience, the company operates six hotels and facilities in picturesque mountain and seaside resorts, offering more than 1,900 accommodation options. Interferie's mission is to combine activity, regeneration, and integration in a comfortable environment, providing ideal conditions for learning, work, and relaxation. The company features modern facilities, including well-equipped conference rooms, wellness areas, and healthy dining options, catering to a diverse clientele that includes corporate clients, families, sports teams, schools, seniors, and friends. Interferie S.A. is committed to delivering high-quality services and experiences, focusing on customer satisfaction and community engagement. The company partners with various organizations to enhance its offerings, ensuring fulfilling experiences for all guests. As part of the Polski Holding Hotelowy group, Interferie also encompasses Interferie Medical SPA, which focuses on health and wellness tourism. The company's vision aims to strengthen its market position and expand its offerings, making it a key player in the Polish tourism and hospitality sector. Through its dedication to hospitality, wellness, and recreational activities, Interferie S.A. strives to create memorable experiences for its guests while actively participating in various events and initiatives within the community.",Poland,79.071471,,,
Hotel Grand Lubicz - Uzdrowisko Ustka,79071471.0,"Poland, Pomerania, Ustka",https://www.linkedin.com/company/hotel-grand-lubicz-uzdrowisko-ustka,www.grandlubicz.pl,"Hotel Grand Lubicz to nadmorski kompleks wypoczynkowo-uzdrowiskowy w pięciogwiazdkowym standardzie wyposażenia.  Obiekt położony jest w uzdrowiskowej części Ustki, oddalony jedynie 500 metrów od pięknych i czystych usteckich plaż. Pokoje, w liczbie 310 spełniające standardy najwyższej klasy, zostały utrzymane w jednolitej i nowoczesnej stylistyce. Wyposażone są w bezszmerową klimatyzację, a także w telefon, telewizor LCD, mini bar, szybkie łącze internetowe, szyfrowo zamykany sejf, suszarkę do włosów, szlafrok oraz czajnik.  Na łącznej powierzchni 27 458 metrów2  znajdują się liczne restauracje, bary kawiarnie oraz sale jadalne, centrum medyczno-rehabilitacyjne świadczące wiele usług zdrowotnych, profesjonalnie wyposażona część konferencyjna, aquapark z częścią Wellness, a także centrum SPA oferujące blisko 30 gabinetów, w których wykonywane są liczne zabiegi kosmetyczne i pielęgnacyjne.  Do dyspozycji gości hotelowych przeznaczona została także część rozrywkowa wraz z kręgielnią, klubem bilardowym, dyskoteką, a także pokojem gier i zabaw. Na terenie hotelu można skorzystać również z zajęć fitness, kursów tańca, jogi oraz z części siłowej.  Cały obiekt przystosowany jest dla osób niepełnosprawnych, a także dla rodzin z dziećmi, dla których przygotowane zostało przedszkole oraz wspomniany już pokój gier i zabaw. Rodzice najmłodszych gości hotelowych mogą skorzystać z pomocy wykwalifikowanej opiekunki, a także specjalnego  wyposażenia; łóżeczek, nawilżaczy powietrza oraz podgrzewaczy do butelek.  Restauracje oferują specjalne menu dla maluchów. Dla gości lubiących aktywnie spędzać czas na świeżym powietrzu, przygotowane zostało wielofunkcyjne boisko do gry w koszykówkę, siatkówkę i badmintona, a także kort tenisowy. Przy obiekcie znajduje się również plac zabaw dla dzieci oraz miejsce do grillowania. Istnieje możliwość wypożyczenia rowerów, a także kijków do Nordic Walking.",Poland,79.071471,,,
Polski Holding Hotelowy Sp. Z O.o.,78666750.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/polski-holding-hotelowy,phh.pl,"Grupa Polski Holding Hotelowy, operating under the name PHH Hotele sp. z o.o., was established in 2004 and has since developed a diverse portfolio of hotels located in major Polish cities such as Łódź, Lublin, Kraków, Poznań, and Wrocław. The company focuses on providing high-quality accommodations, often featuring professional conference facilities, and is committed to expanding its presence within international hotel networks. With a mission centered on sustainable development, PHH Hotele actively engages in environmental initiatives and community projects, aligning its operations with the United Nations' Sustainable Development Goals. The company targets both business and leisure travelers, partnering with well-known hotel brands like Best Western, Holiday Inn Express, and Four Points by Sheraton to enhance guest experiences. Through its Eco Challenge program and Green Key certification efforts, PHH Hotele demonstrates a strong commitment to ecological responsibility and social engagement, ensuring a positive impact on both guests and the environment.",Poland,78.66675,,,
