Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
NMBS Internationaal - SNCB International,3014032000.0,"Belgium, Brussels Capital, Brussels",https://www.linkedin.com/company/nmbs-europe---sncb-europe,www.b-europe.com,"NMBS Internationaal - SNCB International is a leading provider of international train travel services, specializing in group travel for parties of ten or more. The company aims to facilitate seamless and enjoyable travel experiences by offering tailored group booking services, including dedicated contact personnel, meal options on board, and the ability to reserve before the standard booking period opens. Its target market includes schools, businesses, and travel agencies looking to organize group trips across Europe, with popular destinations such as Paris, London, and Amsterdam. SNCB International partners with various train operators, including Eurostar and TGV, to provide a comprehensive range of travel options, ensuring that clients benefit from competitive pricing and flexible travel arrangements. The company's mission is to promote sustainable travel by encouraging the use of trains as an eco-friendly alternative to air travel.",Belgium,3014.032,,,
TUC RAIL,615074538.0,"Belgium, Brussels Capital, Brussels",https://www.linkedin.com/company/tuc-rail,www.tucrail.be,"TUC RAIL is a dynamic company specializing in the railway sector, focusing on multidisciplinary and environmental studies, land acquisition, utility management, and infrastructure projects including railways and roadworks. The company is committed to promoting sustainable mobility and aims to integrate innovative solutions from the early stages of project development, ensuring high-quality outcomes that meet client needs. TUC RAIL serves a diverse clientele, including public and private sector partners, and emphasizes collaboration within multidisciplinary teams to deliver comprehensive design and planning services. With a strong emphasis on employee development and a supportive work environment, TUC RAIL fosters a culture of communication and autonomy, making it an attractive workplace for professionals in the field. The company is also dedicated to diversity and inclusivity, welcoming individuals from all backgrounds to join its mission of enhancing transportation infrastructure.",Belgium,615.074538,,,
Lineas,532996100.0,"Belgium, Brussels Capital, Brussels",https://www.linkedin.com/company/lineasyff,www.lineas.net,"Lineas est le plus grand opérateur privé de fret ferroviaire en Europe, spécialisé dans le transfert de marchandises de la route vers le rail, contribuant ainsi à réduire les émissions de CO2 de 90 %. Avec son siège social en Belgique et des succursales en France, en Allemagne et aux Pays-Bas, Lineas a construit le plus grand réseau ferroviaire privé d'Europe, offrant des liaisons rapides, quotidiennes et fiables à ses clients. L'entreprise s'engage à rendre les chaînes d'approvisionnement climatiquement neutres et joue un rôle stratégique dans la logistique européenne, soutenue par des partenariats avec des acteurs majeurs tels que BASF et PSA Antwerp. Lineas vise à renforcer la compétitivité industrielle en Belgique et en Europe, tout en poursuivant une transformation interne pour améliorer sa rentabilité et sa performance financière. Avec près de 1700 employés, Lineas est déterminée à devenir un leader dans le transport ferroviaire durable et à répondre aux besoins croissants de ses clients dans divers secteurs économiques.",Belgium,532.9961,,,
Tabaknatie NV,72582820.0,"Belgium, Flanders, Antwerpen",https://www.linkedin.com/company/tabaknatie-nv,www.tabaknatie.be,"Tabaknatie, een familiebedrijf resulterend in één visie met snelle beslissingen, heeft zich door de jaren heen weten te positioneren als een wereldwijd marktleider in opslag, transport, logistiek en andere gerelateerde activiteiten rond organische en andere hoogwaardige producten. Vandaag beschikt Tabaknatie over gespecialiseerde magazijnen met een totale oppervlakte van meer dan 1.000.000m², deze bieden de meest geavanceerde technologieën voor opslag en behandeling alsook voor uw logistieke –en transport vraagstukken. Dit stelt ons in de mogelijkheid om een hele waaier aan high-quality services aan te bieden aan onze klanten.",Belgium,72.58282,,,
RAILREST,57899382.0,"Belgium, Brussels Capital, Brussels",https://www.linkedin.com/company/railrest,www.railrest.com,RAILREST provides high standards services on Thalys high speed trains. We provide lounge services in Paris and Brussels.,Belgium,57.899382,,,
Transurb,52474694.0,"Belgium, Wallonia, Namur",https://www.linkedin.com/company/transurb-technirail,www.transurb.com,"Transurb is a private company from Belgium active in Rail and Urban Mobility solutions and Rail Simulation dedicated to Training. * RAIL SIMULATION AND ADVANCED TRAINING SOLUTIONS  Transurb Simulation was born 20 years ago by combining the considerable expertise of Transurb with a young and dynamic team. The department specialises in the design, manufacture and delivering of bespoke rail simulation solutions. With its acute sense of pedagogy and innovation, Transurb Simulation offers modern and empowering solutions to companies aiming for state of the art training tools to support their education program. * RAIL & URBAN MOBILITY SOLUTIONS With 40 years of expertise  in technical assistance and project management, innovation engineering, ERTMS integration or support for certification, Transurb  successfully delivers projects worldwide. Working in total independence with any supplier, the department puts customers first by building long-term relationships, based on close cooperation and mutual understanding.",Belgium,52.474694,,,
ITC Antwerp NV,47214112.0,"Belgium, Flanders, Antwerpen",https://www.linkedin.com/company/551477,www.itcrubis.com,"ITC Antwerp NV was initially established in 2008 as a joint venture between RUBIS, an independent international operator specializing in the downstream petroleum and chemical sector, and MITSUI, a global 360 degree business solution provider. Shareholdings are through Rubis Terminal (a storage operator wholly owned by RUBIS), MITSUI & CO. Europe PLC, and Intercontinental Terminals Company “ITC” (a petrochemical storage terminal company based in Houston, USA - ITC is wholly owned by Mitsui).  Recently, Mitsui acquired full ownership of the facility and rebanded the company to ITC Antwerp NV. We are located in the port of Antwerp on the left bank of the River Scheldt at the Doel Dock, near the entrance of the Deurganck Dock with excellent access to sea, road and rail infrastructure. We have been in operation since October 2010. Our terminal is equipped in accordance with the latest standards for the storage and transhipment of liquid chemicals, liquefied gas and petroleum products. For more information, please visit our website www.itcantwerp.com",Belgium,47.214112,,,
VLOOT,45710010.0,"Belgium, Flanders, Ostend, 2 Sir Winston Churchillkaai, 8400",https://www.linkedin.com/company/vloot,www.agentschapmdk.be,"VLOOT is een rederij gespecialiseerd in overheidsvaartuigen. Ze maakt via het agentschap Maritieme Dienstverlening en Kust deel uit van de Vlaamse overheid en staat mee in voor een vlot en veilig scheepvaartverkeer. Ze richt zich voornamelijk op de publieke sector, maar ook de private sector doet beroep op de nautische expertise van VLOOT. VLOOT zet een veertigtal vaartuigen in en stelt meer dan 500 collega's te werk op vijf verschillende locaties: Oostende, Nieuwpoort, Antwerpen, Gent en Vlissingen.",Belgium,45.71001,,,
Magetra,44704558.0,"Belgium, Wallonia, Eupen",https://www.linkedin.com/company/magetra,www.magetra.com,"Magetra is een dynamisch bedrijf dat zich richt op logistiek en transport, met een sterke focus op het creëren van een stimulerende en flexibele werkomgeving voor zijn medewerkers. Het bedrijf streeft naar samenwerking en integriteit, waarbij elke stem binnen het team wordt gewaardeerd en bijdraagt aan het collectieve succes. Magetra bedient een diverse klantenkring in de transportsector, waaronder nationale en internationale klanten, en werkt nauw samen met leveranciers en partners om wederzijds voordelige relaties op te bouwen. De missie van Magetra is om goederen onder de best mogelijke omstandigheden te beheren en op tijd te leveren, terwijl de visie gericht is op voortdurende aanpassing aan nieuwe trends en het bevorderen van een cultuur van respect en toewijding. Met een breed scala aan functies, van chauffeurs tot HR-medewerkers, biedt Magetra volop kansen voor professionele groei en ontwikkeling binnen een collegiale sfeer.",Belgium,44.704558,,,
Televic Rail,44415840.0,"Belgium, Flanders, Izegem",https://www.linkedin.com/company/televicgsp,www.televic.com,"Televic Rail, based in Berlin, Germany, has been a leader in developing innovative passenger information systems for the rail industry for over 35 years. The company is dedicated to delivering reliable communication solutions that enhance the travel experience, with a mission centered on innovation, agility, and sustainability. Televic Rail's technology is utilized in more than 60,000 vehicles worldwide, showcasing its commitment to quality and customer satisfaction. The company serves a diverse clientele, including rail operators and transportation authorities, and collaborates with various partners to ensure its products meet the evolving needs of the market. With a focus on creating value and building trust, Televic Rail aims to shape the future of passenger information systems while fostering a supportive and dynamic work environment for its team.",Belgium,44.41584,,,
