Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Croatian Railways,110887161.0,Croatia,https://www.linkedin.com/company/croatian-railways,www.hzinfra.hr,"Railroad company. Employs  Transport, Civil , Electrical , Informatics, Mechanical and other engineers. It's goal is to provide support and development of Infrastructure essential for rail transport. It is state owned, public company, constantly undertaking process of restructuring.",Croatia,110.887161,,,
INTEREUROPA d.o.o.,36389615.0,"Croatia, City Of Zagreb, Zagreb, 3 Josipa Lončara, 10090",https://www.linkedin.com/company/intereuropa-d-o-o,www.intereuropa.hr,"INTEREUROPA d.o.o. is a main offerer of logistic services in Republic of Croatia for 60 years. The residence of the company is located in Zegreb, Josip Lončar 3 Street, with branches in Zagreb, Varazdin, Rijeka and Split and offices in Zadar, Osijek, Kutina and Pleso. Solving complex logistic solutions we base on the collaboration with the reliable partners all around Europe and World, verified personnel, as well as with highly trained employees with professional knowledge from different logistic fields and complete technological an IT support. We reassure the whole mosaic of logistic services which include road, rail, air, sea, express delivery, warehousing and custom services. INTEREUROPA d.o.o. is a regular member of FIATA (International Federation of Freight Forwarders Associations), IATA ( International Air Transport Association) and WCA ( world's largest and most powerful network of independent freight forwarders). INTEREUROPA d.o.o. vodeći je ponuđač logističkih usluga u Republici Hrvatskoj s tradicijom od 60 godina. Sjedište tvrtke nalazi se u Zagrebu, Josipa Lončara 3, s podružnicama u Zagrebu, Varaždinu, Rijeci i Splitu, poslovnicama u Zadru i Osijeku te ispostavama Kutina i Pleso.  Rješavanje kompleksnih logističkih rješenja temeljimo na suradnji s našim provjerenim partnerima širom Europe i svijeta,  provjerenoj kadrovskoj strukturi, na visoko osposobljenim zaposlenicima sa stručnim znanjima iz različitih logističkih područja te na cjelovitoj tehnološkoj i informatičkoj potpori. Osiguravamo cijelu lepezu logističkih usluga koje uključuju cestovni, željeznički, zračni, pomorski i expressni promet, skladišne i carinske sluge.  Redovni smo članovi FIATA (Međunarodnog udruženja međunarodnih otpremnika), IATA (Međunarodne udruga za zračni prijevoz) te WCA  kao najveće mreže neovisnih špeditera na svijetu.",Croatia,36.389615,,,
ZAGREBTRANS d.o.o.,17387547.0,"Croatia, City Of Zagreb, Zagreb, 1i Ulica Josipa Lončara, 10090",https://www.linkedin.com/company/zagrebtrans-d-o-o,www.zagrebtrans.hr,"Zagrebtrans d.o.o was established in 1989, and has grown into a comapny that employs over 160 professionals.  We specialise in transporting, lifting and handling heavy and oversized cargo.  Some of the services we provide are following: - Transportation of heavy and over-sized cargo via domestic and international road, rail, river and sea transport - Crane services - Manipulation of cargo of up to 800 tons using hydraulic equipment (loading, unloading, assembly and disassembly at / from foundations) - Combined cargo transportation road/ rail - river - maritime - Transportation services - reloading - assembly for ''turn-key'' projects - Regular cargo transportation in domestic and international traffic - Obtaining approvals and permits, and organisation of escorts for over-sized cargo transportation - Writing transport feasibility studies and expert opinions International forwarding services ""Zagrebtrans""-a provides its services according to a management system that meets the requirements of ISO 9001, ISO 14001 and ISO 45001.",Croatia,17.387547,,,
AGIT Ltd,8810676.0,"Croatia, City Of Zagreb, Zagreb, 51 Heinzelova, 10000",https://www.linkedin.com/company/agit-ltd,www.agit.hr,"AGIT Ltd. - Agency for Integrated Transport - is a Croatian company dealing with the organization of railroad and road transport, customs brokerage and provision of shipping services on domestic and international markets. Availability is not the only criterion of successful transport. Today's customers require speed, security and reliability. Only a company with a clear vision, effective organization, experience and above all, the knowledge of an excellent team of experts can achieve this according to today's business standards. These are the characteristics of AGIT Ltd. AGIT is organized into two business units: Cargo and Dom Express. The company headquarters are located at the Istočni kolodvor train station, Heinzelova ulica 51 in Zagreb, while branches in all major cities in Croatia (Varaždin, Rijeka, Pula, Zadar, Split, Ploče, Dubrovnik, Slavonski Brod, Osijek, Vinkovci) provide coverage of the whole territory. Since 2005, the sister company Agit BiH in Sarajevo has been the leading company on the market of Bosnia and Herzegovina in the organization of railway transport of general cargo and intermodal units. Since 2008, we have been operating on the Serbian and Eastern European market through the Agit 2008 company, which is headquartered in Belgrade and offers general and combined cargo transport services. Since October 2009, we are also operating on the Austrian market in the field of organization of railway transport of general cargo and intermodal units. A short-term plan for extending rail transport organization services comprises opening branch office in Hungary. Nowadays, Agit Ltd. is the leading company in the segment of the organization of general cargo and intermodal unit rail transport. We successfully deal with the demanding issues of integrated transport, fulfilling realistic expectations of a rising number of business partners.",Croatia,8.810676,,,
Maritime School Zadar,4297728.0,"Croatia, Zadarska, Zadar, 1 Ulica Ante Kuzmanica, 23000",https://www.linkedin.com/school/pomskzd,www.pomskzd.hr,"Maritime School Zadar is situated on the Zadar peninsula, next to the Land Gate in a small harbour called Foša. The school was founded in 1957. More than 4000 students are proud of having the school’s diploma.   The school today trains students in two main departments:   1. Nautical department 2. Marine engineering department   The courses in the Maritime School Zadar comply with the STCW standards of navigation and have to meet all the requirements set by IMO (International Maritime Organization).   After successful completion of education, students acquire internationally recognized certificates and as su.ch are fully competitive on the world’s market. There are 50 members of school’s staff, 38 of them are highly qualified teachers and others are employees in the accompanying departments.  The classes are held in the morning exclusively. Workshop exercises and practice, extra classes for weaker students and additional for stronger students, as well as those preparing for the State Final Exam are held in the afternoon.",Croatia,4.297728,,,
Sedra Rail d.o.o.,1776627.0,"Croatia, City Of Zagreb, Zagreb, 37 Trnjanska Cesta, 10000",https://www.linkedin.com/company/sedra-rail-d-o-o,sedrarail.hr,"We organise rail freight transport in collaboration with national and private rail carriers and logistics companies throughout Europe. Our team’s experience and expertise, along with our partner's reliability, mean we can fulfil even the most demanding tasks in organising the transportation of various goods.",Croatia,1.776627,,,
Savez Za Željeznicu,1468704.0,"Croatia, City Of Zagreb, Zagreb, 11f Trnjanska Cesta, 10000",https://www.linkedin.com/company/savez-za-željeznicu,szz.hr,"Pro rail Alliance is a non-profit association of all stakeholders gathered for the benefit of rail transport in Croatia. Founded in 2008,  with headquarters in Zagreb, this non-governmental organization is founded by the members of trade unions and companies in the railway sector combined. Currently, Pro rail Alliance counts more than 30 members, companies, or various associations. OUR VISION Our vision is Croatia where public transport and railway equal the backbone of sustainable development with satisfaction of citizens in mind. OUR MISSION We are committed on informing the public about sustainable public transport, particularly rail, and supporting industry in Croatia. We are creating and implementing projects for better mobility of people and goods, environmental protection, energy efficiency, and what is particularly important to us – environmental benefits and safety of public transport.",Croatia,1.468704,,,
PROFI TRANS d.o.o.,1258668.0,"Croatia, Primorsko-goranska, Rijeka, Industrijska Zona Kukuljanovo Kukuljanovo, 51227",https://www.linkedin.com/company/profi-trans-d-o-o,www.profitrans.hr,"Međunarodno otpremništvo i pomorska agencija Profi trans (PTG) d.o.o. je osnovana 1997. Od samih početaka poslovanja, naša tvrtka radi isključivo prema Općim uvjetima poslovanja međunarodnih otpremnika Hrvatske. Služimo interesima robe i naših klijenata te uvijek nastojimo pronaći najbolja i najpovoljnija rješenja u organizaciji transporta. Tvrtka Profi trans d.o.o. je specijalizirana za pružanje usluga u svim područjima međunarodnog prijevoza, što uključuje prijevoz morem, željeznicom i cestovni prijevoz. Osim tradicionalnih prijevoza, naša tvrtka također pruža usluge lučke agenture brodova, carinjenja robe, skladištenja, osiguranja tereta i stručnog savjetovanja. Naši su zaposlenici licencirani profesionalci s dugogodišnjim iskustvom u svim poslovima međunarodnog otpremništva i pomorske agenture. Osposobljeni su za potpuno samostalno obavljanje i rješavanje kako uobičajenih, tako i vrlo zahtjevnih poslova iz domene međunarodnog prijevoza, carinjenja i skladištenja robe i sl. Iza nas su gotovo dva desetljeća kontinuiranog poslovanja, širok raspon kontakata i  dugogodišnja suradnja s mnogim domaćim i inozemnim poslovnim partnerima. Zahvaljujući tome, u mogućnosti smo brzo reagirati i uspješno odgovoriti na individualne ili posebne zahtjeve naših klijenata. Svijet u kojem živimo i radimo, ubrzano se mijenja i traži od nas gotovo svakodnevno prilagođavanje. Ono što se nikada ne mijenja je kvaliteta i pouzdanost, a to je naše poslovno načelo kojega su u protekla dva desetljeća prepoznali i prihvatili mnogi naši suradnici. Težite li i vi istim načelima, tada ne tražite dalje. Obratite nam se bez obveza i brzo ćete od klijenta postati naš lojalni partner. International freight forwarding and shipping agency Profi trans (PTG) Ltd. was established in 1997. From the very beginning of the business, our company works particularly according to General Terms and Conditions of Croatian International Freight Forwarders. We serve the interests of the goods and our customers, always striving to find the best and most effective solutions in providing transportation. Profi trans Ltd. is specialized in providing services in all areas of international transport, including transport by sea, rail and road transport. Apart from the traditional transportation, our company also provides port agency service of ships, customs clearance of goods, warehousing, cargo insurance and professional counseling. Our employees are professionals with extensive experience in all activities concerning international forwarding and shipping agency services. They are trained and qualified for completely independent performance in solving as usual and as very demanding tasks in the domain of international transport, customs clearance, and storage of goods, etc. Behind us are nearly two decades of continuous operations, a wide range of contacts and long-term cooperation with many domestic and foreign business partners. Thanks to that, we can respond quickly and successfully to the individual or specific requirements of our customers. The world which we live and work in is rapidly changing, demanding from us almost daily adjustments. What never changes is the quality and reliability, and it is our business principle which is in the past two decades recognized and accepted by many of our associates. If you also strive to the same principles, then look no further. Contact us no strings attached and, from a client, you will quickly become our loyal partner.",Croatia,1.258668,,,
Euromar Plus Ltd,839142.0,"Croatia, Primorsko-goranska, Rijeka",https://www.linkedin.com/company/euromar-plus,euromar.hr,"Euromar Plus Ltd is an international shipping and forwarding agency. We offer the best service in intermodal transport of commodities at import, transit or export, especially for container freight. Besides being the agent of world-known international logistics company Bolloré Logistics for Croatia, we offer the following services: Shipping of cargo during each stage, ensuring on-time delivery Booking of container transport with all carriers included in import and export from/to any port in the world Organizing intermodal transport with door-to-door services Organizing the stuffing of containers with all types of goods Organization of transport of oversized load (OOG) Project-cargo Storage of cargo Rail and road transport Cargo Insurance Chartering Port Clearance, etc.",Croatia,0.839142,,,
ArrsLog d.o.o.,734352.0,"Croatia, Koprivničko-križevačka, Koprivnica, 17 Dravska, 48000",https://www.linkedin.com/company/arrslog,arrslog.hr,"ArrsLog Ltd. specializes in providing logistics services, primarily for the organization of international and domestic transports for all types of cargo through the air, road, rail and sea segments.",Croatia,0.734352,,,
