Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
ShoreLink AB,32195275.0,"Estonia, Harjumaa, Tallinn",https://www.linkedin.com/company/shorelink-ab,www.shorelink.se,"Effektiv logistik för en starkare industri i norra Sverige ShoreLink är en ledande aktör inom transport och logistik i norra Sverige med verksamhet i Skellefteå, Piteå, Luleå och Kalix. Vi ser till att gods rör sig sömlöst – till sjöss, på räls och väg – med tjänster som spänner över skeppsklarering, spedition, lastning, lossning samt maskin- och transportlösningar. Med rötterna i Piteå och nära samarbete med regionens tunga basindustri erbjuder vi skräddarsydda, hållbara lösningar för varje kund. Vår moderna fordonsflotta, engagerade team på cirka 250 medarbetare och en omsättning på 300 Mkr gör oss till en stabil och framåtblickande partner. Vi tror på smart logistik som förenklar vardagen, driver utveckling och stärker industrin – alltid med lokal närvaro, lång erfarenhet och stort engagemang.",Estonia,32.195275,,,
Elron | Eesti Liinirongid,11472701.0,Estonia,https://www.linkedin.com/company/elron-eesti-liinirongid,www.elron.ee,"Elron (Eesti Liinirongid Ltd) core business is the organization of passenger transportation using new Stadler FLIRT passenger trains in Estonia. The total length of Estonian passenger railways is 792.9 kilometres, out of which 131.6 is electrified. Total of 2.7 million travels were made with passenger trains in Estonia at the first half of 2014.",Estonia,11.472701,,,
Baltic Rail,5749799.0,"Estonia, Harjumaa, Tallinn, 15/17 Tulika, 10613",https://www.linkedin.com/company/baltic-rail,www.balticrail.com,"Baltic Rail is a container-train operator owned by the Rail World Group. We run freight services in the Baltic Adriatic Corridor – an intermodal land bridge within the TEN-T Corridors. It connects Scandinavia and Nordic Europe with the Mediterranean, North Africa and Gulf Regions. Being both wholly-owned subsidiaries of Rail World, Baltic Rail works very closely with its sister company Rail Polska, a private railway operator in Poland.  We serve markets from railway offices in 4 countries of Estonia, Poland, Hungary, Ukraine, and agent offices in Slovenia. Baltic Rail manages container terminals in Poland - Wroclaw Olesnica and Katowice Wlosienica, in Hungary - Szekesfehervar, and provides services at the Terminal Paskov in Czech Republic.",Estonia,5.749799,,,
Snabbtrans OU,1888002.0,"Estonia, Viljandimaa, Mäeltküla, 48a Tööstuse Tee, 10416",https://www.linkedin.com/company/snabbtrans-ou,www.snabbtrans.com,"Snabbtrans OU is a branch of TRM Holding, which is responsible for logistics and transportation. More than 10 years' experience in logistics allows us to provide our customers with the best solutions in goods delivery.       Strategic location of Snabbtrans OU in Estonia - efficient transportation between Europe, Scandinavia and CIS countries. Presence of TRM branches in 6 countries makes our services convinient.  Our main goal is to make our clients happy by meeting their highest expectations.  Our services:   - Road freight   - Rail Freight   - Sea freight   - Customs services   - Warehousing   - Trade",Estonia,1.888002,,,
SilSteve JSC,1720905.0,"Estonia, Ida-virumaa, Sillamäe, 2 Kesk, 40231",https://www.linkedin.com/company/silsteve-jsc,www.silsteve.ee,"SILSTEVE: A Leading Multifunctional Terminal at the Port of Sillamäe SILSTEVE operates as a highly versatile terminal in the Port of Sillamäe, the easternmost EU port on the Baltic Sea. Strategically located near major 1520 mm railway lines and highways, the port is only 25 km from the European Union-CIS border. As a modern deep-sea port, Sillamäe is accessible year-round and is rapidly developing as a premier logistics hub. Key Services Provided by SILSTEVE: *Loading and discharging of bulk, general, Ro-Ro, project cargo, and containers transported by sea, road, and rail *Comprehensive storage options with over 110 hectares of open storage and 80,000 m² of covered warehousing *Customs and shipping documentation assistance *Freight forwarding solutions *Cargo packing, sorting, marking, and a range of value-added services Located within a Type 1 Free Zone, the Port of Sillamäe allows for VAT-free transfer of goods ownership and enables tax-exempt transit storage of cargo. Additionally, SILSTEVE operates customs warehouses and a customs terminal outside the free zone, providing flexibility for a range of logistics needs. As a member of the Estonian Chamber of Commerce and Industry and the Estonian Logistics and Freight Forwarding Association, SILSTEVE holds Authorised Economic Operator (AEO) status, ensuring high standards of compliance, security, and efficiency.",Estonia,1.720905,,,
URALEST,1258668.0,"Estonia, Harjumaa, Tallinn, 12a Ahtri, 10151",https://www.linkedin.com/company/uralest,www.uralest.com,"Uralest forwarding company established over 19 years ago, by experts working in the field of transport and forwarding services for over 35 years. Leading experts have acquired extensive experience with a variety of goods. Our employees have worked in the Commercial Port of Tallinn since 1985 in the position of a stevedore, port CEO, customs warehouse and freight forwarding companies. Currently Uralest is one of the leading companies in Estonia in sea, land and railway container, with the total annual volume of about 2,000 TEUs. At the time, the company was established with the priority of import-export traffic in the Urals direction and one of the first successfully developed transportation of chemical liquid cargo tank containers (Beraton, Berezniki). It’s no secret that the effectiveness and efficiency of today’s business depends on the stability and reliability of business partners. Understanding, support, and constant communication with our clients over 12 years of mutually beneficial partnerships can provide you with prompt, reliable and efficient service international freight forwarding and container shipping. We’ll get to the most shortest time and provide you with the most affordable price in the market. Guarantee of our success lies in years of experience working with clients in this area, and in close cooperation with the leading sea and rail operators such as: APL; CMA-CGM; HANJIN, HAPAG-LLOYD, MSC; MAERSK; URALKONTEYNER; Sovmortrans, TRANSCONTAINER; EVR. We are committed to our work and treat our clients as VIP’s – for us, every client is important regardless of the number and frequency of freight. Our team of highly qualified professionals with common goals and strategies will guarantee you an optimal solution to any transportation problems that you put in front of us.",Estonia,1.258668,,,
MNC Transport OÜ,1113526.0,"Estonia, Haabneeme Viimsi Vald, 3 Paadi Tee, 74001",https://www.linkedin.com/company/mnc-transport-oü,www.mnctransport.ee,"Dear Madam / Sir By the means of this letter, we would like to introduce our company MNC Transport OU. The company is existing since 1994 and specialized on a transit and multimodal transport  via Estonian and Tallinn ports. Has a highly trained stuff with more, then 20 year experience in intermodal transport. Our company have a direct agreements with: - Ocean shipping lines - Estonian ports - Stevedoring companies in Tallinn ports - Estonian railway - Russian and CIS railway operators - Air lines - Trucking companies MNC Transport OU offers railway forwarding which include following: - railway transport on the territories of Estonia, Latvia, Lithuania, and CIS countries; - commercial lease of special-purpose railcars and containers; - loading operations in railway terminals and ports; - preparation of cargo documents; - preparation and arrangement of the transportation of project and out of gauge shipments MNC Transport OU is mainly involved in transportation of following cargoes : - 20ft and 40ft and own shippers - railway containers; Timber - products; second-hand and vehicles - oversize and (machinery); - shipments project - materials - building - foodstuff - LCL cargoes MNC Transport OU provides special services for the transportation of oversized and  heavyweight cargoes which includes: - organization of transport by sea, road and / or rail; - loading and lashing; - checking of the road conditions or railway route, receiving of necessary permissions; - guard escort; - chartering of required vessels. MNC Transport OU, acting as an agents for Vanguard Logistics Services is providing service for  delivery of consolidated cargoes (LCL) all around the world MNC Transport OU is a member of association of Estonian International road carriers,  Estonian Logistics and Freight Forwarding Association If you have some questions or rate requests, we will reply on these with grate pleasure !",Estonia,1.113526,,,
Trains2people - T2p Solutions Oü,1113526.0,"Estonia, Harjumaa, Tallinn, 2a Lõõtsa, 11415",https://www.linkedin.com/company/trains2people,www.t2psolutions.com,"Bringing trains2people: an independent, international and passionate consultancy firm delivering cutting edge railway advisory services!  We are transportation professionals with expertise in strategic management planing, business development, railway infrastructure & operations, bid support and management, and procurement processes. Our core services: ~ Strategic advice in the areas of O&M, railway system integration and program delivery ~ Procurement option analysis and delivery models ~ Financial, economic and business modelling ~ Tendering: RFP/RFQ/EOI/Bid Support ~ Compliance/ quality and safety management system incl. reporting & auditing ~ Railway operations & management solutions ~ Training & development ~ Providing experts on a short-term basis in various rail and transit disciplines",Estonia,1.113526,,,
TS Laevad,17265710.0,"Estonia, Harjumaa, Tallinn, 25 Sadama, 10111",https://www.linkedin.com/company/ts-laevad,www.praamid.ee,Offering the best travel experience in Estonia and being a long-term sound partner both to our customers and the state by providing an effective and high-quality ferry service.,Estonia,17.26571,,,
BlueQbit,1258668.0,"Estonia, Harjumaa, Tallinn, 7 Sakala Tn, 10141",https://www.linkedin.com/company/bluebitm,www.blueqbit.space,",BlueQbit is a Branch of GMS SaS which develop and implement a Blockchain with AI For the Maritime Industrie  ICO , Blockchain road map, Banking and accounting. Cripto Currency Fiat conversion and relative wallet are all company tool to provide Blockchain to ship  registered to perform logistic of Shipping  worldwide ,maritime Brokerage of Cargo and Vessels and assisting passenger  booking the cruise . all with the implementation of Smart contract technologies ready to integrate with  IoT and AI",Estonia,1.258668,,,
