Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
ΣΤΑΘΕΡΕΣ ΣΥΓΚΟΙΝΩΝΙΕΣ Α.Ε.,167839837.0,"Greece, Attica, Athens, 67 Athinas St.",https://www.linkedin.com/company/urban-railtransport-s-a-stasy-a-e-,www.stasy.gr,"Urban Rail Transport S.A was founded on June 17th, 2011. The new company incorporated the three rail companies that existed up to that point: AMEL S.A (metro system operation), ISAP S.A (urban rail), and TRAM S.A. (tramway). The incorporation of all three companies to one, aims at reducing costs through economies of scale and at providing integrated services that will promote the use of public transport throughout Athens, both for residents and for visitors. Our primary goal remains to identify and meet the needs of our customers in the most efficient way. As a company, we wish to deliver a safe, reliable, environment friendly and comfortable means of transport. Rest assured that our staff strives daily to raise the quality of our offered services, to the highest standards.",Greece,167.839837,,,
Athens Urban Transport Organization S.A.,47200050.0,"Greece, Attica, Athens, 15 Metsovou, 106 82",https://www.linkedin.com/company/athenspublictransportoasa,www.oasa.gr,"Athens Urban Transport Organization S.A. - with the distractive title O.A.S.A. S.A. -  is a public utility company. Its key mission is the strategic and operational planning, coordination and control of the public transport carried out by (ground and underground) public transport means in the Attica Region. O.A.S.A. S.A. was established under Law 2175/1993 (Α΄211) and is subject to Law 3920/2011 (A' 33), Law 3429/2005 (A' 314), Law 4389 / 2016 (A' 94) and Law 4548/2018 (A' 104). O.A.S.A. S.A. is the sole shareholder (participation rate 100%) of its subsidiaries transport companies O.SY. S.A. and STA.SY. S.A. The three companies constitute the O.A.S.A. Group. • OSY S.A. is the distinctive title of the company called “Road Transport S.A.”, that provides urban transportation services with thermal and trolley buses in the Attica Region. • STA.SY S.A. is the distinctive title of the company called “Urban Rail Transport S.A”, that provides urban transportation services with metro, underground and tram in the Attica Region. In accordance with the provisions of article 380 of Law 4512/2018, O.A.S.A. S.A. shares (and its subsidiaries O.SY. S.A. and STA.SY. S.A) are owned by the HELLENIC CORPORATION OF ASSETS & PARTICIPATIONS S.A. (HCAP S.A.) after a transfer from the Greek State.",Greece,47.20005,,,
COSCO Shipping Lines SA,14119709.0,"Greece, Attica, Piraeus",https://www.linkedin.com/company/coscogreece,www.coscoshipping.gr,"COSCO SHIPPING Lines (Greece) S.A.  was established on FEB of 1997 in Piraeus, the country’s main harbor city and now consists of 172 employees. COSCO SHIPPING Lines (Greece) S.A.:  -Provides shipping agency services to develop brokerage, shipping, transport and commercial activities. -Undertakes to transport goods in containers by any means such as sea, land, rail and air transport -Completion of relevant connections and coordination of containers’ transport to various destinations within Greece or abroad. -Provides customs clearance, import, export, storage, packaging and shipping, cargo transshipments to other ships and freight management of goods in transit . -Taking any necessary action relating to the transfer and transit trade of goods. Additionally, factoring passenger and cargo ships, including but not limited to ships of the line and ships carrying containers. -The last development of COSCO Shipping Lines (Greece) S.A. is the new section established in January 2013, COSCO Greece Control Tower, to promote Greece and its geographical position as a gateway and transit Centre of loads for the EMEA region.",Greece,14.119709,,,
Kmt,8181342.0,"Greece, Peloponnese, Kalavrita, 25001",https://www.linkedin.com/company/kalavrita-mountain-trvl,www.kmt.gr,TRAVELS - EVENTS - ACTIVITIES TOURISM SERVICES - ODONTOTOS TRAIN STATION 25001 KALAVRITA - PELOPONNESE GREECE Τ. (+30) 26920 23050 - F. (+30) 26920 22022 - www.kmt.gr mail@kmt.gr,Greece,8.181342,,,
PCT S.A.,6455228.0,"Greece, Attica, Neo Ikonio, 18863",https://www.linkedin.com/company/pct-coscoshippingports,www.pct.com.gr,"Piraeus Container Terminal Single Member S.A., one of the leading container terminals in the Mediterranean region, is a company founded in Greece, and a fully controlled subsidiary of COSCO SHIPPING Ports Limited (a leading container terminal operator ranked third in the world). As of October 1st 2009, PCT S.A. has undertaken for 35 years the implementation of the Concession Agreement for Piers II and III, which, following an international tender process, PPA S.A. assigned to COSCO Pacific Limited (now COSCO SHIPPING Ports Limited), to which the tender was awarded. Main activities of PCT S.A. is the provision of loading/unloading and storage services for imported and exported containers moving through the Port of Piraeus, including cargoes that use Piraeus only as a transit station (transshipment cargoes). The strategic location of Piraeus , being the first European Port after Suez canal with direct connection to E.U road and rail network  makes it not only an ideal port-hub for destinations in the Mediterranean and  Black Sea, but a sustainable partner for all stakeholders of distribution and Logistics services in Europe Middle East and Africa.",Greece,6.455228,,,
Ziegler Hellas SA,6330002.0,Greece,https://www.linkedin.com/company/ziegler-hellas-sa,zieglerhellas.gr,"Our company ZIEGLER HELLAS SA, a subsidiary of ZIEGLER Group, is active in the field of international transport (road, air, shipping, rail) and logistics. ZIEGLER HELLAS SA through its worldwide network specializes also in 2 additional departments: Temperature controlled for the transport of pharmaceutical goods based on GDP rules Special transports for exhibitions",Greece,6.330002,,,
Haikalis Trans SA,5932977.0,"Greece, Metamorfosi Attiki, 53 Tatoiou, 144 51",https://www.linkedin.com/company/haikalis-trans-sa,www.haikalis.gr,"HAIKALIS TRANS SA for over 20 years been provides services  in transport  forwarding, logistics , and customs clearance procedures.  Transport forwarding(road, rail, shipping): The countries of our specialty are France, Belgium, Holland, Germany where we conduct weekly  full loads and groupage (road, rail, shipping, dry and fresh or frozen products). Logistics: The firm operates a  privately-owned storage in Athens 4000m2 as bonded warehouse , cross docking, picking, inland deliveries.",Greece,5.932977,,,
Hellas Transfers,4158544.0,"Greece, Attica, Athens",https://www.linkedin.com/company/hellas-transfers,hellastransfers.com,"Hellas Transfers is a Private Transfer company, offering transfers from & to Airports, Seaports, Hotels,bus & Train Stations as well as Tours. By choosing Hellas Transfers for your convenience, you choose a company which with experience and respect to the passenger, is committed to quality services, providing stable and competitive prices based on the legislation and arising healthy competition. Well-trained professional drivers as well as our entire team of staff resources thinks valuable the provided security and luxury during your commute and guarantees consistency, ethics and professionalism as a primary target your best possible service. Another way to prove it is the fact that we are the only company in Greece that enables customers to choose the driver of their preference but also their confidence. Hellas Transfers serves passengers daily either individually or after corporate deals, addressing to every market (private or not) and covering every relevant need. It shows its professionalism by providing a fully equipped and in excellent condition car fleet, with constant services and biological cleanings while at the same time it prepares, informs and evaluates regularly its staff, aiming at your essential service and total satisfaction.",Greece,4.158544,,,
Euro Container Services Maritime And Transport Ltd.,3146670.0,"Greece, Attica, Athens",https://www.linkedin.com/company/euro-container-services-maritime-and-transport-ltd.,www.eurocontainer.gr,"We have committed ourselves to provide reliable transport at the most competitive rates. Having in mind the true needs of the global trade and transportation, we are always aiming higher, keeping our primary promises: *Respecting our clients. They come first! *Wide and deep knowledge of clients needs. *Trading trustworthiness. *Care for the cargo. *High class services and 24/7 support. *We value our people as the most important asset of our company. Passionate and enthusiastic employees lead directly to happy customers! We desire to maintain and cultivate not only the business, but also the social parameter in our company as well, trying to develop strong competitive benefits, which differentiate our company in transportation market. We can offer a wide range of ideas for the transportation of any kind of merchandise at the speediest and most economical way. At the same time the company can secure the proper solutions to any carriage problem related to the field of Transport and Forwarding. In particulars the offered services are covering: Ships agency in all Greek ports Air shipments handling Train shipments handling Container and Truck services International Forwarding Customs clearence FCL and LCL services Private warehousing facilities",Greece,3.14667,,,
Sail With Us,1422371.0,Greece,https://www.linkedin.com/company/sail-with-us-volos,sailwithus.gr,"We are a yacht charter company, based in port of Volos city, Greece, compiled with a group of enthusiastic experienced professionals that aim to show you and your clients the hidden beauty of Sporades islands and surrounding area, such as Pelion coast, through the exciting magic of sailing. Our fleet consists of five sailing fully equipped yachts for comfortable and safe cruises for either daily or weekly cruises. Sailing with our company offers a lot of choices that make your holidays unforgettable memories. You can rent our boats either bareboat (without skipper) or crewed (with skipper and hostess), enjoy activities, such as snorkeling, diving, trekking, yoga and stand up paddling (S.U.P). Also, we can arrange your guide in some destinations and you can taste healthy Mediterranean local food. Our basement is located in the port of the city of Volos, under Pelion mountain, in Central Greece. You can arrive in Volos either by the airports of Skiathos (SKG) and Nea Anchialos (VOL) with charter flights during summer or using public transportation, such as bus and train, from Athens (331 km) or Thessaloniki (212 km).",Greece,1.422371,,,
