Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
MÁV-csoport,38352549.0,"Hungary, Budapest, Budapest",https://www.linkedin.com/company/mav-csoport,www.mavcsoport.hu,"A MÁV-csoport a magyar állam tulajdonában lévő, 150 éves múlttal rendelkező vasúttársaság.  A folyamatosan fejlődő, mintegy 30 tagú vállalatcsoport széles körű tevékenységet folytat: többek között közel 7000 kilométernyi vasúti pályahálózat és az ahhoz kapcsolódó kiszolgáló létesítmények üzemeltetését, karbantartását, valamint a forgalom irányítását végzi, személyszállítási közszolgáltatási feladatokat lát el (naponta közel 3000 vonat, az éves utasszám megközelíti a 142 millió főt). Emellett vontatási szolgáltatásokat nyújt teherszállító vasúttársaságok számára, vasúti járművek karbantartásával, gyártásával is foglalkozik.  Informatikai rendszerek teljes körű kialakítása, működtetése, és fejlesztése éppúgy a profiljába tartozik, mint a pénzügyi, számviteli és kontrolling tevékenység, valamint a humánerőforrás gazdálkodás.  A több mint 37 ezer főt foglalkoztató MÁV-csoport az ország egyik legnagyobb felelős munkaadója és gazdálkodója.",Hungary,38.352549,,,
Raaberbahn AG,13216014.0,"Hungary, Győr-moson-sopron, Sopron",https://www.linkedin.com/company/raaberbahn-ag,raaberbahn.at,"Raaberbahn AG is a modern, cross-border private railway company based in Austria, known for its commitment to providing efficient and sustainable transportation solutions. The company aims to enhance public mobility by improving infrastructure and expanding its services, with a focus on customer satisfaction and environmental responsibility. Raaberbahn serves a diverse clientele, including daily commuters, tourists, and event participants, and collaborates with local municipalities and organizations to support regional events and initiatives. The company is actively involved in infrastructure projects, such as the modernization of the Wulkaprodersdorf station, which aims to create a barrier-free mobility hub and improve access to public transport. Through its innovative offerings and community engagement, Raaberbahn AG strives to promote the benefits of rail travel and contribute to a sustainable future for the regions it serves.",Hungary,13.216014,,,
Continental Railway Solution Ltd,8703569.0,Hungary,https://www.linkedin.com/company/continental-railway-solution-ltd,continentaltrain.com,"We are the solution for special consignments in the Hungarian export, import or transit traffic. Feel free to contact us if you need shunting services, or you organize train excursions and looking for Hungarian representative. Together with our partners our activities cover the rail transport as a whole.",Hungary,8.703569,,,
MÁV Rail Tours,6838571.0,Hungary,https://www.linkedin.com/company/mavrailtours,www.mavrailtours.hu,"A MÁV Zrt., amelynek alapvető tevékenysége a pályaüzemeltetés, küldetésének tekinti a történelmi értékek megőrzését és a kapcsolódó társadalmi szerepvállalást (pl. Vasúttörténeti park, MÁV Szimfonikusok) is. Ezzel a küldetéstudattal összhangban került 2020 februárjában megalapításra a MÁV Rail Tours Kft. 100%-os MÁV-csoport leányvállalatként (99 % MÁV Zrt., 1 % MÁV-START Zrt.). Az új cég fő tevékenysége a vasúti személyszállítás, melynek keretében a klasszikus gőzfelhős nosztalgia utak mellett ún. élményvonatokat is közlekedtetni tervez elsősorban környező országok fővárosaiba. Ennek az elemeiben megújuló szolgáltatásnak (családbarát zóna, fedélzeti vendéglátás, szelektív hulladékgyűjtés, stb.) a biztosításához érkeztek az „új nosztalgia” kocsik (MRT Expressz). A járműveket eredetileg az 1950-es évek végén gyártottak, de 2000-ben egy átfogó felújításon estek át, így megfelelnek a jelen kor műszaki elvárásai mellett az utasok fokozódó kényelmi igényeinek is (légkondicionált utastér, zárt rendszerű WC, téli időszakban padlófűtés, stb.). Reményeink szerint még hosszú ideig szolgálják a szabadidejüket aktívan tölteni kívánó, városlátogatással is egybekötött pihenésre vágyó utasok kényelmét és kikapcsolódását. A felsoroltakon túl különböző ömlesztett áru és vasútépítéshez használt anyagok szállításon túl vállaljuk speciális szerelvények és vasúti munkagépek továbbítását, valamint vasúti járművek karbantartását is, melyek fenntartása fő tevékenységeink kiegészítőjeként üzemel.",Hungary,6.838571,,,
Ferroport Kft,6527676.0,Hungary,https://www.linkedin.com/company/ferroport-kft,ferroport.hu,"Ferroport Ltd. was established as a subsidiary of M. Preymesser GmbH logistic company and MAHART Hungarian Shipping Co. Ltd. in 1988. Since 2006 Ferroport Ltd. is a 100% owned subsidiary of M. Preymesser GmbH. Our site in port of Csepel/Budapest is tri-modal (barge, train, truck), has direct connection to the river, rail and road, thus offering to the clients complex transloading services. On a surface of 62.000 m2 we guarantee you professional, reliable logistic services.",Hungary,6.527676,,,
Austromar Hungary,5932977.0,"Hungary, Budapest, Budapest, 51-53 Building B Árpád Út, 1042",https://www.linkedin.com/company/austromar-hungary,www.austromar.hu,"Austromar is a member of group OSK (A1 Transport & Logistics, EDS). It is acting as independent liner agency offering all kinds of ocean freight and related services.  On the Hungarian market Austromar is doing business for 30 years.  Services:  • LCL – Consolidated service  • FCL – Deepsea shipping  • Breakbulk – Project cargo   • Shortsea shipping  • Rail service  • Warehousing • Related services",Hungary,5.932977,,,
Baulog LTD,5932977.0,Hungary,https://www.linkedin.com/company/baulog-ltd,www.baulog.hu,"Heavy lifting mobile and crawler crane Transportation between 1 – 40 tonns Tail lift   Folk lift  Double driver  Security escort CMR Insurance: 25.000.000,-Huf / claim or         8,33SDR coverage / kg.  Additional insurance / FPA, WPA, All Risk, TPND  Tempeturte controlled loadings ,between  + 20 / - 20 C FRC insurance Palettes to change  HACCP requirements  Continouse temperature control( Thermoscript, )  GPS High Value Cargo’s GPS control Tapa 2 requirements / SBS BDL espical door lock /  Continues route monitoring Custom code/ seal  Simply order Cargo Insurance when       booking your next Air, Road or       Rail Freight shipment.",Hungary,5.932977,,,
Pultrans Kft,5932977.0,"Hungary, Budapest, Budapest, Kerék Utca, 1035",https://www.linkedin.com/company/pultrans-kft,www.pultrans.hu,Specialists in rail transport of powdered goods. International freight forwarding and wagon leasing with more than 30 years experience.,Hungary,5.932977,,,
VPE - Vasúti Pályakapacitás-elosztó Kft.,5373316.0,"Hungary, Budapest, Budapest, 7 Szabadság Tér, 1054",https://www.linkedin.com/company/vpe-vasuti-palyakapacitas-eloszto-kft,www.vpe.hu,"A Vasúti Pályakapacitás-elosztó Korlátolt Felelősségű Társaság 2004-ben jött létre. Vasúti társaságoktól független, országos hatáskörű szerv, melynek kizárólagos tulajdonosa a magyar állam. A VPE Kft. hatáskörébe tartozik: - a vasúti pályahálózat kapacitásának elosztása, beleértve mind az egyes menetvonalak meghatározását, mind azok rendelkezésre állásának felmérését, mind pedig azok elosztását, - nem független pályahálózat-működtető esetén a nem független pályahálózat-működtető által működtetett vasúti pályahálózathoz történő hozzáférése költségeinek a meghatározása, - a Díjképzési Módszertan és a Díjszámítási Dokumentum megállapítása, illetőleg a hozzáférésre jogosult által fizetendő hálózat-hozzáférési díjak összegének meghatározása, valamint a díjak beszedése, amely szolgáltatás nem minősül adóköteles tevékenységnek, valamint - a nem független pályahálózat-működtető Hálózati Üzletszabályzatának kidolgozása. ---------- VPE Ltd., the Rail Capacity Allocation Office was established in 2004 by virtue of national law. VPE Ltd. is independent from Railway Undertakings and Infrastructure Managers, and is owned exclusively by the Hungarian state. VPE is responsible for: - allocating railway capacity for open access network - developing and publishing the Network Statement of Infrastructure Managers - determining network access charges and also collecting of charges, which is not meant to be a taxable activity - developing and publishing the Performance Regime.",Hungary,5.373316,,,
I-CONT Freight Forwarding,3146670.0,"Hungary, Sármellék, 8391",https://www.linkedin.com/company/i-cont-shipping,www.icontshipping.com,"At I-Cont we handle Full Container Load (FCL) shipping from end to end giving you a worry-free complete service.  Through our established partner network I-Cont sea freight forwarding provides reliable and efficient services, offering not just door to port but door to door should you wish.   We have shipping and forwarding experts in Hong Kong, Greece and Romania, from where we’re able to provide freight forwarding and warehousing across the world: with partner networks across Europe, Asia, Australia and South American we’re well positioned to handle your import/export needs.   Our extensive experience in freight forwarding between China and Europe makes us the go to specialists for many traders who rely on our knowledge for this shipping route.   Whether you want to ship straightforward goods in pallets or have more complex, bulky or non-standard shipments that require special options, we have the expertise to meet your import/export requirements.   Our long-standing alliances with the world’s leading shipping companies, gives you access to a wide range of vessels and cost competitive solutions that provide the best combination of transit time and cost efficiency. We offer:   •        Flexible scheduling and sailing times. •        Administration of all necessary documents so you don’t have to worry. •        A full service that includes all additional foreseen costs (BAF, CAF, THC, etc.). •        FCL (20 '/ 40') full container shipping to import-export directions to any point or point in the world. •        Rail or road chassis but also trans-shaped canopy / box pre- and post-trawlers from Hamburg / Koper / Rotterdam / Felixstowe harbors. •        45 'container transport and handling.   We make it simple and straightforward: just give us your starting and finishing points and leave the rest to us, knowing your cargo is being handled by qualified specialists. Feel free to contact us at: ✉ hello@i-cont.eu ☎ + 36 70 779 0903",Hungary,3.14667,,,
