Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
LTG,481956441.0,"Lithuania, Vilniaus, 10 Pelesos Gatvė",https://www.linkedin.com/company/ab-lietuvos-gelezinkeliai,www.litrail.lt,"LTG grupė yra viena didžiausių įmonių grupių Lietuvoje, administruojanti šalies geležinkelių tinklą. Jungiame žmones ir verslus, veždami keleivius ir krovinius, valdydami ir nuolat atnaujindami geležinkelių infrastruktūrą, inžinerines bei IT sistemas. Nuo pat Nepriklausomybės paskelbimo augame kartu su Lietuva. Ko pasiekėme iki šiol? Tapome didžiausia Baltijos šalyse geležinkelių grupe, aktyviai prisidedame prie Lietuvos verslo plėtros užsienyje, taip pat sėkmingai bendradarbiaujame ir už Lietuvos ribų. Šiandien LTG grupės komandą sudaro ~ 6 000 darbuotojų, atsakingų už sklandų krovinių ir keleivių judėjimą – ir už tai, kokią valstybę kuriame šiandien.  -----  LTG group is one of the largest groups of companies in Lithuania, administering the country's railway network. It connects people and businesses by transporting passengers and goods, managing and constantly updating rail infrastructure, engineering and IT systems. Since the declaration of independence, we have not stopped growing and progressing together with Lithuania. What have we achieved so far? We have become the largest railway group in the Baltic States that actively contributes to the development of Lithuanian business abroad, and also successfully cooperates outside Lithuania. Today the team of LTG group consists of ~ 6 000 employees responsible for the smooth movement of freight and passengers.",Lithuania,481.956441,,,
HOPTRANS,174490635.0,"Lithuania, Ramučiai, 13 Silvestro Zukausko St., lt-54464",https://www.linkedin.com/company/hoptransa,www.hoptrans.eu,"HOPTRANS is a constantly growing transport and logistics company serving its clients with own 1600+ trucks all over Europe.    Established in 1993, Hoptrans earned its name as being reliable, innovative and customer-oriented international #logistics provider. We specialize in road, air, rail, sea, #multimodal & #intermodal freight and organize entire projects for E-commerce business.   Our core strength lies in the strategic utilization of our own assets, ensuring a seamless and controlled process from start to finish. This approach not only guarantees reliability but also allows us to uphold the highest standards of #operational efficiency. We prioritize client satisfaction through a laser-focused approach, consistently adapting to their requirements with unparalleled flexibility. With a steadfast dedication to total #process control, employee excellence, client-centricity, flexibility, and swift problem-solving, our aim is to ensure smoothest possible #transport and logistics services.",Lithuania,174.490635,,,
DLG Uab,44743534.0,Lithuania,https://www.linkedin.com/company/dlg-uab,www.dlg.lt,"The group of international logistics companies “Delta Logistics Group” offers all logistics services: international transportation by all types of transport, consolidation and warehousing and customs clearance services. The company has offices in Vilnius and Moscow. International transport Transportation of full load, partial load and oversize cargo from all Europe to Russia and CIS countries. Consolidation for clients from Russia and CIS countries. Multimodal transportation “Door-to-door” transportation anywhere in the world. Selection of vehicle type and itineraries based on the specificity of the cargo. Sea transportation Transportation of full load and partial load cargo in containers. We maintain cooperation with the sea ports in Helsinki, Klaipėda, Riga, Sankt Petersburg, Vladivostok, Vostochnyj, Novorosijsk, Kotka. Rail transportation Transportation of full load, partial load and oversize cargo, containers in the following directions: Finland, Lithuania, Latvia, Estonia, China. Avia transportation “Door-to-door” cargo transportation anywhere in the world. Warehousing Possibility to store all types of cargo. Warehouse terminals are open day and night (24/7). Responsible storage of cargo, loading, weighing, palletizing, packing, sorting, marking, order assembly, labeling. Customs clearance Services are provided at the customs of Vilnius, Moscow area, Smolensk, Briansk, Blagoveshchensk, Vladivostok, Rostov, Pskov and also in Sheremetjevo and Domodedovo airports.",Lithuania,44.743534,,,
AD REM TRANSPORT,26786033.0,"Lithuania, Vilnius, Vilnius, 7 Jurgio Dobkeviciaus, lt-02189",https://www.linkedin.com/company/adremtransport,www.adrem.lt,"AD REM TRANSPORT is the leading freight forwarding company based in Vilnius, Lithuania with Baltic states coverage since 1997. We provide transportation by road, air, ocean, rail and relocation services.  The core business – groupage shipments transportation from/to Europe and CIS countries via own terminals in Vilnius and Klaipėda. Our main services: -Door to door deliveries; -Regular LTL lines  between Europe and CIS countries; -Express deliveries in Baltics (Lithuania,Latvia, Estonia) and Belarus within 24/48 hours; -ADR and DG shipments handling; -AOG services; -Relocation services including white gloves service; -Diplomatic cargo handling; -Customs clearance; -Warehousing, 3 PL, E-commerce; -Fulfillment By Amazon (FBA) services; -AEO operator. AD REM  TRANSPORT  are members of FIATA, IATA, WCA, LINEKA, LINAVA, Lithuanian Logistics Association and others. AD REM TRANSPORT is certificated by Bureau Veritas Quality Assurance to ISO 9001:2015 Standards. Contact us:  info@adrem.lt",Lithuania,26.786033,,,
BPA UAB,11957346.0,"Lithuania, Klaipėda County, Klaipėda, 37 S. Daukanto Gatvė, 92229",https://www.linkedin.com/company/uab-bpa,www.bpa.lt,"BPA, UAB – is a transport-logistics company based in Klaipėda, Lithuania. ● 20 years in the market. ● Door-To-Door transportation by any transport mode. ● Completed orders - more than 37000 ● Wide range of services including door-to-door cargo delivery Worldwide. ● Our team of professionals and years of experience allow us to find the best freight solutions and offer tailor – made logistic package. ● Working closely with our customers we optimize transport routes, delivering their freight on time and reducing costs. It  helps to gain a competitive advantage and build long-term, values-based business partnerships. Vision - create effective logistics solutions for your business in the environment where cooperation becomes easy and cargo transportation becomes efficient and high-quality. Our services: ● Warehousing. ● Port agency. ● Sea freight. ● Rail transport. ● Road transport. ● Oversized and heavy loads. ● A partial load. ● Multimodal transport. ● Unique logistical solutions and project management. Main routes:  ● Worldiwide - Lithuania, Klaipeda - Ukraine, Kazkhstan, Uzbekistan, Turkmenistan, Kirgizia, Georgia,  We are a member of both Lithuanian Shipbrokers and Agents Association (LSAA). The company is also a member of Lithuanian National Association of Forwarders and Logistics (LINEKA). The latter is a member of the International Federation of Freight Forwarders Associations (FIATA). Contacts: ● sales@bpa.lt ●  +37068788317 ● www.bpa.lt",Lithuania,11.957346,,,
AD REM LEZ,8181342.0,"Lithuania, Klaipėda County, Klaipėda, 5a Svepeliu Gatve, 94103",https://www.linkedin.com/company/adremlez,www.adremlez.lt,"AD REM LEZ is a leading Lithuanian 3PL logistics and bespoke solutions provider, operating our of Klaipeda, the northernmost Baltic ice-free port and the major hub of road, rail, air and sea transport. Our customers represent a broad array of industries such as manufacturing, retail & e-commerce, fashion and technology from the Baltic countries, Scandinavia and the EU.  Get in touch with us to explore how can we make your logistics operations smarter, leaner and more efficient!",Lithuania,8.181342,,,
NETO LOGISTIKA,7475172.0,"Lithuania, Klaipėda County, Klaipėda, 12a-19 Baltijos Pr., lt-94108",https://www.linkedin.com/company/neto-logistika-uab,,"Neto Logistika is a professional freight forwarding company based out of Klaipeda, Lithuania.  Our young and energetic team of Logistic‘s professionals will take care of your logistics needs in a fast, reliable, and cost-effective way. A significant majority of well-known trading and manufacturing organizations choose to work with us because we guarantee flexible cooperation possibilities, excellent customer service, and advice on avoiding pitfalls in the global trade arena. Our team of Logistic‘s professionals and overseas partners will take care of your cargo from the beginning up to the point of destination, ensuring that your valuable goods will reach the destination without any worries. We provide the following door to door  import & export services: 👈Sea freight Less (LCL) and Full (FCL) container load‘s 👈Rail freight, Less (LCL) and Full (FCL) container load‘s 👈Air freight  👈 Road transportation 👈 Warehousing services Other services: 👈Custom brokerage 👈Freight insurance ►If you are interested to learn more, follow us here on LinkedIn, or ✍ info@neto.lt, or visit: http://www.neto.lt",Lithuania,7.475172,,,
Gelna UAB,7004388.0,"Lithuania, Klaipėda County, Klaipėda, Taikos Av. 52c, 91184",https://www.linkedin.com/company/gelna-uab,www.gelna.lt,"Gelna is an award-winning, Family owned freight forwarding company based out of Klaipeda, Lithuania. With over 20 years of experience in freight forwarding, we know how to take the stress out of importing and exporting your goods. As a family-run business, integrity, honesty, and good customer service are at the heart of everything we do. Our customers are like Family to us.  Our team of freight experts and overseas partners will take care of your cargo every step of the way – making sure your goods get to where they need to go, safely and on schedule.   Busy Logistic‘s managers and Logistic‘s executives revert‘ to us when they are looking for hustle-free freight forwarding services or advice on how to move their freight most efficiently and how to avoid all the mistakes in between.  We provide the following door to door services: 👈Sea freight Less (LCL) and full (FCL) container load‘s; 👈Rail freight from China, Less (LCL) and full (FCL) container load‘s; 👈Air freight. Other services:  👈Custom brokerage; 👈Freight insurance. 🏳 If you are interested to learn more, follow us here on LinkedIn, or ✍info@gelna.lt, or visit: https://gelna.lt/en/",Lithuania,7.004388,,,
Railana Multimodal,6293340.0,"Lithuania, Vilnius, Vilnius, 11b Kareiviu Gatve, lt-09109",https://www.linkedin.com/company/railana-multimodal-jsc,www.railanamultimodal.lt,"JSC Railana Multimodal is one of the leading companies in the Lithuanian market in the field of transport and logistics. Highly qualified specialists of the company develop a strategy of railway logistics and implement the most complex projects. Over the entire period of activity, Railana Multimodal JSC has gained extensive experience in organizing rail and multimodal transportation, therefore it guarantees high-level service and a full package of services. In addition, Railana Multimodal JSC owns its own rolling stock and provides its own railcars for customers to increase economic efficiency. A variety of types of wagons allows satisfying the needs of each client, providing high-quality services and stably performing planned transportation.",Lithuania,6.29334,,,
Lithuanian Maritime Academy - LAJM,4723675.0,"Lithuania, Klaipėda County, Klaipėda, 7 I. Kanto Gatvė, 92123",https://www.linkedin.com/school/lajm,www.lajm.lt,"Lithuanian Maritime Academy (LMA) is a modern leader training maritime professionals for international maritime sector and a member of the global maritime and academic community. This constantly improving institution trains highly qualified specialists that meet international standards for the sea and ports in Lithuania and the world. The maritime academy that everyone knows and recognizes is at the same time always changing, offering numerous maritime study programmes, scientific and cultural ideas and projects. Initiative, innovations, openness, maritime culture and traditions – these are the major characteristics of the modern-day activity. LMA’s Seafarers Training Center (STC) implements Lithuanian transport safety administration approved non–formal adult education and continuing vocational training programs for the development of qualifications and competencies of marine and inland waterway transport specialists, upon completion of which CoC is issued required for obtaining or certifying maritime degrees. STC’s programs complies STCW Convention and the Code and the IMO Model Courses. STC operates the practical training simulators and laboratories. Training is provided by instructors, which are subordinate to the STC.  Studies at LMA are organised in modern classes and laboratories. Practical  classes take place in newly installed or renewed simulators. Classes are held by experienced lecturers  - professional seafarers, educators and researchers. Practical training are an integral part of the studies, and students accomplish introductory, training and professional activity practices (apprenticeships). During studies, students have opportunities to study abroad for a limited period of time according to international exchange programmes in European universities and have their apprenticeships in foreign enterprises.",Lithuania,4.723675,,,
