Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Vy,1104999490.0,"Norway, Oslo, Oslo, 23 Schweigaardsgate, 0048",https://www.linkedin.com/company/vygruppen,www.vy.no,"Vy is the largest land-based transport company in the Nordic region, operating extensively in Norway and Sweden across various sectors, including rail, bus, freight, and tourism. As a wholly state-owned entity, Vy's mission is to provide efficient, accessible, safe, and environmentally friendly transport solutions, making it easier for individuals and businesses to choose sustainable travel options. The company is dedicated to reducing greenhouse gas emissions and has set ambitious targets to achieve net-zero emissions by 2050, reflecting its commitment to sustainability and innovation. With a workforce of over 12,000 employees, Vy serves a diverse clientele that includes daily commuters, international tourists, local municipalities, and freight customers. The company collaborates with various stakeholders, including government entities like the Ministry of Transport and the Norwegian Railway Directorate, to enhance public transport services and infrastructure. Vy's partnerships extend to the tourism sector, where it works with organizations such as Fjord Tours Group AS to develop unique travel experiences that showcase Norway's natural beauty. Vy emphasizes operational excellence and customer satisfaction, continuously striving to improve service delivery through innovative digital solutions and sustainable practices. The company's vision focuses on creating a seamless travel experience while promoting inclusivity and equality within its workforce. Vy is recognized as Norway's most sustainable transport brand, reflecting its dedication to minimizing environmental impact and fostering a culture of safety and responsibility. Through its comprehensive range of services, Vy aims to lead the transition towards greener transportation solutions, positioning itself as a key player in the Nordic transport sector while contributing positively to society and the environment.",Norway,1104.99949,,,
Boreal Norge AS,434187800.0,"Norway, Rogaland, Stavanger",https://www.linkedin.com/company/boreal-norge-as,www.boreal.no,"Boreal Norge AS is a leading provider of public transportation services in Norway and Northern Sweden, specializing in sustainable solutions that encompass bus, ferry, and rail operations. The company is dedicated to leading the green transition in mobility, with a mission focused on delivering environmentally responsible transport options while prioritizing safety and quality. Boreal has made significant strides in reducing greenhouse gas emissions by expanding its fleet to include electric buses and vessels, aligning 70% of its activities with environmental objectives. The company's vision, ""Let’s go together,"" underscores its commitment to collaboration with employees, partners, and clients in fostering a greener future. Boreal serves a diverse clientele, including municipal and county authorities, regional governments, and various organizations, enhancing public transport services across both urban and rural areas. Its target market includes residents, tourists, and businesses, reflecting a broad commitment to meeting the growing demand for eco-friendly transportation options. The company is owned by the green infrastructure fund Core Infrastructure III S.A.R.L., which supports Boreal's sustainability goals, including achieving net-zero emissions by 2040. In addition to its focus on electrification, Boreal is committed to maintaining high social and governance standards, ensuring ethical practices and compliance with human rights regulations throughout its operations. The company aims to be an attractive employer, emphasizing employee well-being, safety, and promoting equality and diversity within its workforce. Through innovative strategies and a strong commitment to sustainability, Boreal Norge AS is positioned as a key player in shaping the future of public transport in Norway and beyond.",Norway,434.1878,,,
NTEX AB,370553090.0,Norway,https://www.linkedin.com/company/ntex-ab,www.ntex.com,"NTEX AB is one of Sweden's largest privately owned freight forwarding agents, specializing in customized transport and logistics solutions both domestically and internationally. Founded in 2003 by Thomas Ström, the company has grown to employ over 1,000 people and operates in 13 countries, with a turnover of approximately SEK 3.8 billion. NTEX is committed to sustainability, aiming for net-zero greenhouse gas emissions by 2050, and focuses on reducing its environmental impact through innovative transport solutions and collaboration with customers and suppliers. The company serves a diverse clientele, including businesses requiring efficient logistics for various modes of transport, such as road, sea, air, and rail. With a strong emphasis on safety, employee development, and social responsibility, NTEX strives to create a positive impact on society while maintaining competitive and cost-effective services.",Norway,370.55309,,,
CargoNet AS,117379639.0,"Norway, Oslo, Oslo, 23 Schweigaards Gate, 0185",https://www.linkedin.com/company/cargonet-as,www.cargonet.no,"Intermodal transport based on rail is our core business. Our customers are carriers, freight forwarders, shipping companies and logistics companies. In 2014, CargoNet relieved the roads in Norway of about 525 articulated lorries every day, throughout the year.   Our shuttle trains carry trailers, swap bodies and containers from 20 to 45 feet as well as tanks. CargoNet carries freight for industry and commerce in an efficient shuttle net of intermodal terminals in Norway with connections to/from Sweden and the rest of Europe.",Norway,117.379639,,,
Entur AS,100215302.0,"Norway, Oslo, Oslo",https://www.linkedin.com/company/15215304,www.entur.no,"Entur AS is a Norwegian company that specializes in providing ticket sales for public transportation, including train journeys within Norway and across Europe. The company acts as an intermediary, allowing customers to purchase tickets through various channels such as the Entur app, the Entur website, and ticket machines at train stations. Entur's mission is to facilitate seamless travel experiences by offering comprehensive ticketing solutions while ensuring that customers are informed about the terms and conditions associated with their purchases. The company collaborates with multiple transport operators, including Vygruppen AS, SJ Norge AS, and GoAhead Norge AS, to serve a diverse clientele that includes both domestic and international travelers. By prioritizing customer service and real-time travel information, Entur aims to enhance the overall efficiency and convenience of public transport in Norway and beyond.",Norway,100.215302,,,
Bring Intermodal AS,85648900.0,"Norway, Oslo, Oslo, 4 Alfaset 3 Industrivei, 0614",https://www.linkedin.com/company/bringlinehaul,www.bring.com,"Bring Intermodal er Bring-spesialistenes felles løsning for miljøvennlig og kostnadseffektiv fremføring med tog. Bring Intermodal syr sammen og tilrettelegger intermodale transportløsninger for kunder med store import og eksport volumer både nasjonalt og internasjonalt. Med unik spisskompetanse og optimale løsninger for transport frakter vi varene dine over hele Norge og Europa. Vi kan tilby tog løsninger, bil løsninger med semitrailere, containere og 25,25 meter modulvogntog. Vi tilpasser oss dine behov og har hele tiden fokus på at du som kunde alltid skal ha de beste og mest effektive valgmulighetene på markedet. Konsernets målsetning er at 80 prosent av all frakt til områder med jernbane skal gå på skinner. Målbare miljøgevinster gjøres tilgjengelig for deg og dine kunder. Via miljøvennlige løsninger med høy kvalitet skaper Bring Intermodal forutsigbarhet og økt konkurransekraft for våre kunder.",Norway,85.6489,,,
Skyss,75520080.0,"Norway, Hordaland, Bergen",https://www.linkedin.com/company/skyss,www.skyss.no,"Skyss is owned by Hordaland county authority. Skyss' purpose is to plan, purchase and market public transport services. Contracts for the operation of bus routes and the Bergen light-rail system (Bybanen) are awarded to traffic companies via tender competitions. Skyss is responsible for planning itineraries, developing ticket systems, information and marketing.",Norway,75.52008,,,
SJ Norge,53358169.0,"Norway, Sør-trøndelag, Trondheim, 6 Sjøgangen, 7010",https://www.linkedin.com/company/sj-norge,www.sj.no,"Train operator. We drive Norway's most beautiful railway lines under the brand name ""SJ NORD"". These are the Dovre line, the Nordland line, the Røros line, the Rauma line, the Trønder line, the Meråker line and the Salten Pendle. We focus on delivering quality and excellent customer service.",Norway,53.358169,,,
NSB-konsernet,44053380.0,"Norway, Oslo, Oslo",https://www.linkedin.com/company/nsb-konsernet,www.nsbkonsernet.no,"NSB AS operates as a transport company in Norway. Its activities primarily comprise passenger traffic on trains and buses, as well as freight traffic on railways. It has operations in Norway, Sweden and Denmark. Norges Statsbaner was founded in 1854 and is headquartered in Oslo, Norway.",Norway,44.05338,,,
Grenland Rail AS,23914692.0,"Norway, Telemark, Skien",https://www.linkedin.com/company/grenland-rail-as,www.grenlandrail.no,"Grenland Rail AS is a company dedicated to providing high-quality rail services while adhering to strict ethical guidelines and principles. The company’s mission emphasizes professionalism, integrity, and respect in all business practices, ensuring fair competition and the protection of human rights. Grenland Rail fosters an inclusive and transparent work environment, encouraging open communication and constructive feedback among its employees. The company serves a diverse clientele, including various stakeholders in the rail industry, and collaborates with partners who share its commitment to sustainability and ethical conduct. By prioritizing safety, confidentiality, and responsible decision-making, Grenland Rail aims to build trust and maintain a positive reputation within the industry.",Norway,23.914692,,,
