Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Zarząd Transportu Metropolitalnego,516620820.0,"Poland, Silesia, Katowice",https://www.linkedin.com/company/zarzad-transportu-metropolitalnego,www.metropoliaztm.pl,"Zarząd Transportu Metropolitalnego (ZTM) is the governing body responsible for organizing public transportation within the Upper Silesian-Zagłębie Metropolis. The company aims to provide efficient, modern, and environmentally friendly transport solutions that enhance the quality of life for residents. ZTM operates a network of urban transport services, including buses and trains, and offers a range of ticketing options, such as the integrated Metroticket system, which allows passengers to travel seamlessly across different modes of transport within the metropolitan area. The organization collaborates with various municipalities, transport carriers, and local businesses to promote public transport usage and support sustainable urban mobility initiatives. ZTM's target market includes local commuters, event participants, and employers looking to provide transportation benefits to their employees. Through its services, ZTM strives to reduce traffic congestion, improve air quality, and foster a culture of public transport use in the region.",Poland,516.62082,,,
Koleje Mazowieckie - KM Sp. Z O.o.,248876730.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/koleje-mazowieckie---km-sp-z-o-o-,mazowieckie.com.pl,"Koleje Mazowieckie - KM Sp. z o.o. is a regional railway operator in Poland, established in 2004 by the Mazowieckie Voivodeship Government and PKP Przewozy Regionalne, marking it as the first government-owned railway company in the country. The company commenced its transport operations on January 1, 2005, primarily serving the Mazovia Region. With a mission to provide safe, reliable, and punctual transport, Koleje Mazowieckie has emerged as a leader in the Polish passenger rail market, serving over 61.5 million passengers in 2023 alone. The company is dedicated to modernizing its rolling stock, having recently completed a record order for 61 electric multiple units, which reflects its commitment to enhancing service quality and capacity. Koleje Mazowieckie targets a diverse clientele, including daily commuters, students, and tourists, while promoting eco-friendly travel options. The company actively engages in social and cultural initiatives, such as the ""By Train to Culture"" campaign, which fosters collaboration with cultural institutions and local businesses to promote regional tourism and public transport usage. In 2023, KM introduced various initiatives, including a 35% discount transportation service for employers and a video interpreter service to assist passengers with disabilities, showcasing its inclusive approach to customer service. With a fleet of over 330 vehicles and nearly 800 trains operating daily across 16 railway lines, Koleje Mazowieckie is committed to expanding its technical facilities to meet the growing transportation needs of local communities. The company collaborates with financial institutions like BGK and PKO Bank Polski to secure funding for new, environmentally friendly trains, contributing to sustainable public transport solutions. Through strategic partnerships and continuous investment in infrastructure, Koleje Mazowieckie aims to strengthen its market position and enhance passenger satisfaction, solidifying its role as a key player in the regional transport landscape.",Poland,248.87673,,,
JAS-FBG S.A.,225589127.0,"Poland, Silesia, Katowice",https://www.linkedin.com/company/jas-fbg-s.a.,www.jasfbg.com.pl,"JAS-FBG S.A. is one of the leading logistics operators in the Polish market, specializing in tailored solutions that meet the dynamic needs of its clients. The company offers a comprehensive range of services within the transport and logistics sector (TSL), including international and domestic road freight, rail, sea, and air freight, as well as an extensive warehousing network. With a focus on flexibility and synergy, JAS-FBG utilizes modern transport means, a network of customs agencies, and advanced IT solutions to ensure efficient service delivery. The company is committed to maintaining high standards of service quality and timely deliveries, catering to a diverse clientele across various industries. JAS-FBG also emphasizes compliance and ethical practices, providing mechanisms for reporting legal violations and ensuring the protection of whistleblowers within its operations.",Poland,225.589127,,,
LOTOS Kolej,141669967.0,"Poland, Pomerania, Gdańsk",https://www.linkedin.com/company/lotos-kolej,lotoskolej.pl,LOTOS Kolej Sp. z o. o. - Spółka Kapitałowa Grupy LOTOS S.A.,Poland,141.669967,,,
Koleje Śląskie,110118228.0,"Poland, Silesia, Katowice",https://www.linkedin.com/company/koleje-śląskie,www.kolejeslaskie.pl,"Koleje Śląskie Sp. z o.o. to regionalny przewoźnik kolejowy, który koncentruje się na zapewnieniu dostępnego i komfortowego transportu kolejowego dla wszystkich pasażerów, w tym osób z niepełnosprawnościami. Misją firmy jest eliminowanie barier w dostępie do usług transportowych oraz tworzenie przyjaznego środowiska dla podróżnych, co jest integralną częścią jej strategii. Koleje Śląskie dążą do ciągłego doskonalenia swoich usług, w tym poprzez rozwój cyfrowych narzędzi, takich jak strona internetowa i aplikacja mobilna, które są zgodne z najwyższymi standardami dostępności. Klientami firmy są zarówno mieszkańcy regionu, jak i turyści, a partnerami lokalne instytucje kultury, z którymi współpracują w ramach programów promocyjnych. Dzięki innowacyjnym rozwiązaniom i zaangażowaniu w dostępność, Koleje Śląskie stają się liderem w regionie w zakresie transportu kolejowego.",Poland,110.118228,,,
Morska Agencja Gdynia Sp Z O.o.,80640200.0,"Poland, Pomerania, Gdynia",https://www.linkedin.com/company/morska-agencja-gdynia-sp-z-o.o.,www.mag.pl,"Morska Agencja Gdynia one of the oldest companies in the sectors of transport and logistics operating in the Polish market. Our company guarantees delivery of cargoes to any place in the world - by sea and on land. Thanks to our long experience and creativity of our staff, Morska Agencja Gdynia is a brand which cooperates with exporters and importers from all over the world, shipowners, shipping lines, freight forwarders, ports, maritime offices, customs and immigration, banks and financial institutions as well as insurance companies.       We organize road and sea transport of several thousand containers a year, freight vessels, arrange road and rail transport, deal with heavy and over-size goods, dry and liquid loads as well as with general cargo. Our company ensures storage and distribution of our customers' goods in modern warehouses and also provide bonded storage. The company's offer also includes offices to let. For years we have been a correspondent of protection and indemnity clubs. We work as an emergency agent for the benefit of foreign insurance associations, supporting them during settlement of claims in road, rail and sea transport. Polish Seafarers are offered attractive and safe work. Each year our company arranges about 1500 contracts for officers and ratings to the vessels of reputable shipowners from Germany, Great Britain, Denmark, Ireland, Greece and the USA. Our professional team may challenge any task related to logistics of international trade. To learn more contact with our experts: Bartłomiej Rozmus, tel: +48 58 785 37 42, handlowy@mag.pl Facebook: https://www.facebook.com/MorskaAgencjaGdynia/ Youtube: http://bit.ly/2DSwHvr http://bit.ly/2DNyzGn http://bit.ly/2Fn6LFh",Poland,80.6402,,,
Grupa Delta Trans,61045398.0,"Poland, Silesia, Świętochłowice",https://www.linkedin.com/company/grupadeltatrans,www.deltatrans.pl,"Grupa Delta Trans is a comprehensive logistics and transportation company specializing in both domestic and international freight services. With a fleet of approximately 300 vehicles, the company offers a wide range of transport solutions, including full truckload (FCL) and less-than-truckload (LCL) shipments, as well as sea, air, rail, and road freight services. The company's mission is to enhance workplace safety and minimize occupational hazards, as evidenced by their recent project aimed at improving air quality in welding environments. Grupa Delta Trans serves a diverse clientele, including individuals and businesses across Europe, and collaborates with a network of reliable agents and subcontractors to ensure efficient service delivery. Their commitment to professionalism and compliance with regulations is supported by a team of experienced personnel and advanced telematics systems for real-time tracking of shipments.",Poland,61.045398,,,
Koleje Dolnośląskie,56354904.0,"Poland, Lower Silesia, Wrocław",https://www.linkedin.com/company/koleje-dolnośląskie,www.kolejedolnoslaskie.eu,"Koleje Dolnośląskie S.A. zostały utworzone przez Samorząd Województwa Dolnośląskiego w celu zapewnienia sprawnego systemu kolejowej komunikacji regionalnej. Naszym priorytetem jest rzetelna i fachowa obsługa pasażerów oraz podniesienie komfortu podróży i punktualności. Pomaga nam w tym nowoczesny tabor i dobrze wyszkolony personel. Dla nas klienci są najważniejsi. Chcemy, aby czuli się u nas dobrze, wiedzieli, że o nich zabiegamy i liczymy się z ich opinią. Wszystkie nasze działania koncentrują się na zmianie postrzegania regionalnego transportu kolejowego. Niewątpliwie mamy przed sobą jeszcze bardzo dużo pracy do wykonania, niemniej jednak każdego dnia staramy się tworzyć Twoją przyjazną kolej",Poland,56.354904,,,
Loconi Intermodal S.A.,52664156.0,"Poland, Pomerania, Gdynia",https://www.linkedin.com/company/loconi-intermodal,www.loconi.pl,"Loconi Intermodal SA is one of the largest Polish intermodal operators specializing in handling containerized cargo to and from Polish ports. We organize the transport of containerized cargo in a timely, environmentally friendly, and safe manner, efficiently combining rail transport over the longest possible distance with road transport for the last-mile segment. Currently, Loconi operates up to 280 intermodal connections per month on six main routes. The company also offers rail transport to most European Union countries. In 2024, the company achieved an impressive volume of 270,000 TEUs. In December 2024, Loconi Intermodal officially joined the PSA International group.",Poland,52.664156,,,
Koleje Małopolskie,50976054.0,"Poland, Lesser Poland Voivodeship, Kraków",https://www.linkedin.com/company/kolejemalopolskie,kolejemalopolskie.com.pl,"Koleje Małopolskie sp. z o.o. to polski przewoźnik multimodalny, który rozpoczął działalność w 2014 roku, po uzyskaniu licencji na przewozy kolejowe. Firma obsługuje regularne połączenia kolejowe w Małopolsce, w tym trasy łączące Kraków z Wieliczką, Miechowem, Tarnowem oraz innymi miastami, a także wprowadza innowacyjne rozwiązania transportowe, takie jak Małopolskie Linie Dowozowe. Misją Kolei Małopolskich jest zapewnienie komfortowego, ekologicznego i dostępnego transportu dla mieszkańców oraz turystów, co potwierdzają rosnące liczby pasażerów, które w 2023 roku przekroczyły 60 milionów. Współpracując z lokalnymi samorządami i instytucjami, firma dąży do rozwoju infrastruktury transportowej w regionie, a jej oferta skierowana jest zarówno do codziennych podróżnych, jak i grup zorganizowanych. Koleje Małopolskie stawiają na nowoczesność, wprowadzając nowoczesne pojazdy oraz udogodnienia dla osób z niepełnosprawnościami, co czyni ich usługi bardziej dostępnymi dla wszystkich.",Poland,50.976054,,,
