Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
ADIF,483543221.0,"Spain, Madrid, Madrid, 3 Calle De Sor Ángela De La Cruz, 28020",https://www.linkedin.com/company/adif,www.adif.es,"Adif, el Administrador de Infraestructuras Ferroviarias, es una entidad pública empresarial dependiente del Ministerio de Transportes y Movilidad Sostenible. Ejercemos un papel principal como dinamizador del sector ferroviario, haciendo del ferrocarril el medio de transporte por excelencia y facilitando el acceso a la infraestructura en condiciones de igualdad. Tiene como objetivo potenciar el transporte ferroviario español mediante el desarrollo  y la gestión de un sistema de infraestructuras seguro, eficiente, sostenible desde el punto de vista medioambiental, y con altos estándares de calidad. Adif asume: La administración de infraestructuras ferroviarias (vías, estaciones, terminales de mercancías, etc.) La gestión de la circulación ferroviaria. La adjudicación de capacidad a los operadores ferroviarios. La percepción de cánones por el uso de la infraestructura, estaciones y terminales de mercancías. Todo ello, desde el compromiso de responsabilidad social con los ciudadanos basada en principios éticos relacionados con la gestión y con el papel de la empresa en la sociedad. Tiene como eje vertebrador la transparencia y el diálogo con los Grupos de Interés, y su finalidad última es contribuir a la sostenibilidad del desarrollo que propicia nuestra actividad, desde una perspectiva integral.",Spain,483.543221,,,
Conway - The Convenience Company S.A.,174744313.0,"Spain, Castille-la Mancha, Quer, Calle Vega Del Henares S/n Parcela Nº6, 19209",https://www.linkedin.com/company/8365986,www.conway.es,"Conway es una empresa líder en el mercado de la conveniencia en España. La compañía opera en los sectores de la restauración organizada, servicio al viajero y tiendas de conveniencia de todo tipo. El modelo de negocio de Conway está basado en mejorar la eficiencia y rentabilidad del negocio de sus clientes proporcionándoles soluciones como mayorista y soluciones de distribución logística integral. Más de 7.600 clientes (restaurantes, minimarkets, estaciones de servicio, aeropuertos, estaciones de tren, etc...) en España, Portugal y Francia confían en la amplia gama de productos de Conway, en su logística flexible y sus servicios diseñados a medida.  Queremos contribuir al éxito de nuestros clientes ofreciendo un servicio integral tanto en el sector de Restauración como en el de Conveniencia: un modelo de negocio probado y exitoso, enfocado a mejorar la rentabilidad de nuestros clientes, en el que integramos todas las funciones relevantes de la cadena de suministro. Para ello, ofrecemos nuestro know-how como mayoristas y gestores de la cadena de suministro, tras más de 25 años de experiencia en el mercado español. La compañía respeta la legalidad vigente, vela por la igualdad de oportunidades entre hombres y mujeres, por su desarrollo profesional a través de planes de formación multidisciplinares establecidos con carácter anual, y por el equilibrio personal y laboral de sus trabajadores. Conway pertenece al grupo Lekkerland, que opera en cinco países europeos. En 2020, Lekkerland contaba con más de 85.800 puntos de venta y 5.000 empleados. El volumen de negocio superó los 13.100 millones de euros. Desde 2020, Lekkerland forma parte del Grupo REWE, uno de los principales grupos de alimentación y turismo en Alemania y Europa. En 2020, el Grupo REWE alcanzó una facturación de 75.000 millones de euros. El Grupo REWE, fundado en 1927, está presente en 22 países europeos con unos 384.000 empleados.",Spain,174.744313,,,
OUIGO España,154089060.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/rielsfera,www.ouigo.com,"Llega OUIGO, una forma diferente, cómoda y económica de viajar. Nuestros trenes de alta velocidad y sus  billetes a bajo precio van a hacer que Madrid, Barcelona, Zaragoza y Tarragona estén más cerca que nunca. Redescubre con nosotros el placer de viajar.",Spain,154.08906,,,
Ferrocarrils De La Generalitat De Catalunya,119941556.0,"Spain, Catalonia, Barcelona",https://www.linkedin.com/company/ferrocarrils-de-la-generalitat-de-catalunya,www.fgc.cat,"Ferrocarrils de la Generalitat de Catalunya (FGC) is a public transportation company that operates a network of rail services in Catalonia, primarily focusing on the Barcelona-Vallès and Llobregat-Anoia lines. The company is dedicated to providing efficient, safe, and sustainable transport solutions, with a mission to enhance mobility for all users, including students through its specialized school train service. FGC also emphasizes the preservation of its historical railway heritage, showcased in its exhibition spaces like the Espacio de la vía métrica and the Espacio Expositivo de la Cochera de Rubí, which display vintage locomotives and educate the public about the evolution of rail transport in the region. Its clientele includes daily commuters, students, and tourists, while partnerships with educational institutions support its initiatives for school transportation. FGC aims to foster a more sustainable and accessible transport system, contributing to the overall improvement of urban mobility in Catalonia.",Spain,119.941556,,,
Metro Ligero Oeste S.A.,86875040.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/metro-ligero-oeste,metroligero-oeste.es,"Metro Ligero Oeste S.A. is a prominent transportation company operating in the Madrid metropolitan area, specializing in light rail services. The company is dedicated to providing efficient and reliable public transport solutions, with a focus on sustainability and customer satisfaction. Its mission is to enhance urban mobility while minimizing environmental impact, and it aims to be a leader in innovative transport solutions. Metro Ligero Oeste serves a diverse clientele, including daily commuters, tourists, and residents, and collaborates with various partners within the public transport network to ensure seamless connectivity. The company is committed to maintaining high standards of service and accessibility, making it a vital component of Madrid's public transport infrastructure.",Spain,86.87504,,,
SEMAF,85340246.0,"Spain, Madrid, Madrid, 20 Paseo De Las Delicias, 28045",https://www.linkedin.com/company/sindicato-semaf,www.semaf.org,"SEMAF es el Sindicato Español de Maquinistas Ferroviarios. Representamos al 85% de todos los Maquinistas en España. Fundado en 1986 para trabajar por los avances profesionales, laborales y sociales de los Maquinistas. SEMAF ostenta la Presidencia y la Secretaría General de ALE - Federation of European Train Drivers Unions, desde donde trabaja con los organismos europeos para el desarrollo del Ferrocarril en la Unión.",Spain,85.340246,,,
NERTUS,81529331.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/nertus-mantenimiento-ferroviario-y-servicios-s-a,www.nertus.es,"NERTUS Mantenimiento Ferroviario y Servicios, empresa del Grupo Siemens y Renfe, fue constituida en 2002 con el propósito de ofrecer servicios integrales de mantenimiento para material rodante ferroviario. Su creación marcó un hito en el sector, al establecer un modelo de colaboración innovador y sin precedentes en aquel momento. Actualmente, con más de 700 personas en el equipo, seguimos dedicándonos al mantenimiento de trenes en todo el territorio nacional y al desarrollo de proyectos nacionales e internacionales de diseño e implantación de sistemas de señalización ferroviaria. Nuestro compromiso sigue siendo ofrecer servicios de máxima calidad y eficiencia, orientados a la innovación y la mejora continua. En el centro está el equipo humano, que representa los valores de Nertus: honestidad, transparencia, espíritu de equipo, motivación y compromiso personal.",Spain,81.529331,,,
Europcar España,67968072.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/europcar-spain,www.europcar.es,"Europcar es especialista en el alquiler de coches en España y el mundo: cuenta con más de 100.000 oficinas de alquiler de coches presentes en más de 150 países. Alquila un coche en aeropuertos, en estaciones de tren, principales ciudades y poblaciones. Europcar ofrece una amplia gama de vehículos que se adaptan a tus necesidades.",Spain,67.968072,,,
CSP Spain,52113738.0,"Spain, Valencia, Valencia",https://www.linkedin.com/company/14020030,www.cspspain.com,"➖ COSCO SHIPPING Ports (Spain) Terminals is an outstanding sea and intermodal port operator in Spain with two maritime terminals in Valencia and Bilbao, two railway terminals in Zaragoza and Madrid (Conterail), a Rail Operator  and the property of the maximum shareholding of CSP Logitren.  ➖ CSP Spain became the only container operator with this portfolio in its offer, having the capacity to offer first-class door-to-door solutions, with its own low standards of high competitiveness, quality and agility to its wide range of clients.",Spain,52.113738,,,
Algeposa,42794712.0,"Spain, Asturias, Gijón",https://www.linkedin.com/company/algeposa-grupo,www.algeposagrupo.com,"The integration of sea and rail activity under single management and the closeness of the rail terminals to the consumption and production centres converts us in a leading comprehensive logistics operator. An operator which collaborates with the main European rail ways and holds a leading position in the transportation of iron and steel products, general cargo and bulk cargo. The Group is present at the most representative ports on the Iberian Peninsula and has rail terminals spread out in the most strategic points. Border areas (Irún - Hendaya, Port Bou - Cerbere - Perpignan), Madrid,Valencia, Barcelona, etc.",Spain,42.794712,,,
